Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/9/2019, Section Manager,"New York, NY",Current Employee ,Construction,More than 10 years,0,Many Opportunities and Good People,Demanding —nights and weekends needed sometimes,,5,3,4,5,5,5
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/16/2019, Engineer,"New York, NY",Former Employee ,Good for Starting Out,More than 5 years,0,"Management program, not overloaded, lots of training",Groups like Transmission Planning are inflexible with work schedule. Huge CYA mentality.,There are too many people for some engineering jobs. I had too much free time. They should hire fewer people.,4,3,4,4,5,3
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/10/2019, Specialist,"New York, NY",Current Employee ,god place to work,More than a year,0,"benefits, people, location, work and others","managemenent, supervisors, training, and other thinks",,4,4,3,4,3,
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/4/2019, Gas Construction Mechanic A,"Valhalla, NY",Current Employee ,"I am a hard worker, fast learner and feel I can be an asset to this company because of similar previous work experience.",More than 10 years,0,Working and helping customers. Learning new things on a daily basis while in the field.,Just dealing with the extreme hot and cold weather.,,5,4,4,4,4,4
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/4/2019, Technical Operation Supervisor,"New York, NY",Current Employee ,Great Company Overall,More than 8 years,0,"Great Company, many opportunities to move around, good benefits.","Not many, sometimes is more like ""Who you know"" instead of ""What you know"" to move into higher positions.",adopt Artificial Intelligence,5,4,4,3,5,4
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/8/2019,,,Current Employee ,Ok place depending where you work,,0,Jobs are available for movement around three company.,"Lots of politics, Nepotism, and cronyism.",,3,4,2,3,3,2
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,3/18/2019, Project Manager,,Current Employee ,Good experience,More than 10 years,0,"Job stability, hours, people, location","Low bonuses, low raises, nepotism, unfair promotional process that does not recognize career experience.",Value and promote experienced team members.,4,4,4,4,4,4
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,3/29/2019, Staff Accountant,"New York, NY",Former Employee ,Gaddafi Section Manager at Corporate Accounting.,,0,Pay is good the type of work you do.,One Gaddafi dictates other puppet Section Managers.,One has too much control over others please take into consideration.,2,5,3,5,5,3
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,3/29/2019,,,Current Employee ,Leadership is chosen based on nepotism,More than 10 years,0,"Working in new york city, you get involved with big projects that you see or hear about in the news","After several years, you will see the ones being promoted are not based on qualification but nepotism and other questionable characteristics.",Promote those who can do the job instead of those who just speak vaguely and hits all your buzzwords.,2,2,2,2,4,1
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,3/21/2019, Customer Service Representative,"Brooklyn, NY",Current Employee ,Customer service rep,More than a year,0,Great company with room for growth,work/life balance is almost none,,3,2,3,4,4,3
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,2/25/2019, Senior Systems Analyst,"New York, NY",Former Employee ,Excellent perks and stability,More than 3 years,0,"- Benefits: Despite frequent changes, they are still better than most other companies
- Stability: If you do your work properly and don't step on anyone's toes, you can have a long and growing career
- Salary: The compensation is very fair and you are often paid for extra time you work, although this is more unlikely as you rise in the ranks
- Work/Life balance: Some departments allow flex time and they also offer floating holidays. It's a great offering.","- Sometimes the ""old ways"" of doing things stifle productivity. It is slowly changing as younger generations move in and older generations retire though.",,4,5,5,5,5,5
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,4/4/2019, Customer Service Representative,,Current Employee ,Horrible work life balance,More than a year,0,the training is truly great,They micromanage you to the ground. Big brother is always watching should be their motto. They even bug you about how long you take at the bathroom and god forbid u get sick you can’t call out,,1,,,,,
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,2/17/2019, Engineering Aide,,Former Employee ,Great pay for an internship and adds experience,More than a year,0,"Pay depends on number of credits taken in college, starts with $20+/hour. Company is nationally recognized so looks good on a resume",Has to be current and continuing student. Treated as temporary.,,4,,,,,
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,2/15/2019, Computer Aide,"New York, NY",Current Employee ,It a secure gig for a student,More than 3 years,0,Flexable company they work with your schedule as an intern so you can take classes in the middle of the day and go back to work make some hours. Nice Pay,Not any really. It would be nice to get paid on friday.,,5,5,5,4,5,5
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,2/13/2019, Associate,"New York, NY",Current Employee ,"Not Terrible, Has Some Challenges",More than 8 years,0,"Solid benefits, safety-centric, opportunity to advance, good pay","Can be difficult to change jobs/advance, co-worker conflict",,4,4,4,5,5,5
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,1/26/2019, Senior Specialist,,Former Employee ,Great place to work and to learn,More than 3 years,0,"Collaborative work environment, team-based, and many opportunities to learn. Tuition remission is a huge plus.","Very difficult to move up, unless you're willing to wait for your turn which can take years. Internal mobility is an issue.","Let driven, productive high performers move up the ladder.",4,5,4,2,4,4
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,1/22/2019, Intern,"New York, NY",Former Employee ,intern,Less than a year,0,"easy work, relaxing job, you
ok",non as far as i iknow,,4,5,5,5,5,5
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,1/28/2019,,,Current Employee ,A slow moving dinosaur reluctant to change,More than 5 years,0,Decent pay with a flexible work life balance. Great tuition reimbursement.,Highly political with many bureaucracies. Things never proceed due to numerous red tapes and execution processes of the early 1900s.,,3,3,4,4,3,1
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,1/12/2019,,,Former Employee ,Customer Service,,0,"Great Pay, Benefits and vacation time",Very hard to get out of call center,,5,,,,,
Con Edison,https://www.glassdoor.com/Reviews/Con-Edison-Reviews-E16462.htm,1/7/2019, Customer Service Represintitive,"New York, NY",Current Employee ,Customer serivcce represintitvw,More than 3 years,0,"good culture, work environment, bonuses","Some staff,
Floors, No free lunch",None needed,4,3,3,3,4,3
