,company
5,AdTech Holding
19,Maersk
21,Honeywell
40,Financial Fabric
45,Brickendon Consulting
47,PayPal
57,Northern Trust Corp.
74,Creditas Solutions
88,TGS the global skills
90,Climate Connect
91,Maruti Suzuki India Ltd
96,Serendipity corporate services
107,Ericsson
129,Vv Consultancy
133,Nielsen
143,Benchmark Digital Partners
150,Vodafone
153,Genpact
155,Mind Works Global
174,Trucknetic (Savir Logistics Pvt Ltd)
180,Oracle
197,"JPMorgan Chase Bank, N.A."
200,Fictiv
203,Accenture
206,Amex
207,Mercedes-Benz Research and Development India...
212,Oracle
217,Amex
231,TGS the global skills
245,Exusia
257,Amex
263,Foxx Life Sciences Pvt Ltd
268,IQVIA
277,Barclays
279,PayPal
282,EY
284,Accenture
288,GUVI GEEK NETWORK PRIVATE LIMITED
291,Patra Corp
310,Quotient Technology
312,Benchmark Digital Partners
319,McKinsey & Company
326,Accenture
328,GunjanApps Studios & Solutions LLP
330,Google
332,McKinsey & Company
336,MasterCard
341,Deloitte
344,BuzzBoard
356,Serendipity corporate services
361,Maxim Research Private Limited
367,T&N Business Services Pvt. Ltd.
368,Travitons Technologies Pvt Ltd
373,DR Global HR Services
377,NetApp
380,Honeywell
381,FENG GROUP
384,Carifer Technologies
390,Mercedes-Benz Research and Development India...
392,GSK
403,Culture Arc
405,Great Place to Work
408,Masalabox Food Network Private Limited
428,NatWest Group
432,NatWest Group
442,UnitedHealthcare
452,Khelo Tech & Strategy Pvt Ltd
456,Infosys Limited
459,iptiQ
461,FactSet Research Systems
471,Wakefit
475,Wakefit
482,Deloitte
489,GSK
490,Intelliworx Consulting
493,Almug Technologies Pvt Ltd
494,McKinsey & Company
504,Arnowa
509,Nuware Systems
511,Deloitte
527,FENG GROUP
529,Accenture
532,FENG GROUP
535,Accenture
543,Financial Fabric
544,Carousell Group
545,XShip Design & Analytics Pvt Ltd
550,Deloitte
553,Mercedes-Benz Research and Development India...
608,Foundation to Educate Girls Globally
612,Deloitte
631,Deloitte
637,Quotient Technology
647,Unisys
659,Oracle
681,Unisys
686,Great Place to Work
692,Sworks Software India Pvt Ltd
694,Transoft Solutions
697,Providence Global Center
705,Heart It Out
733,UBS
748,SuperProcure
770,Deloitte
771,SITA
802,Kiash Soluitons LLP
815,BCD Travel Corporate
828,PayU
836,Make Visions Outsourcing Pvt Ltd
838,Exusia
839,Osmipro
840,AdTech Holding
841,Wells Fargo
842,Wells Fargo
843,SuperK
844,Foxx Life Sciences Pvt Ltd
845,NielsenIQ
846,Knowledgehut solutions pvt ltd
847,Probo
848,Zocket
849,Indus Net Technologies Pvt Ltd
850,Innowrap Technologies
851,GeekFerry
852,UST Global
853,VAANTECH
854,Textricks Pvt Ltd
855,TGS the global skills
856,Axismobi
857,Hestabit Technologies Pvt ltd
858,Maruti Suzuki India Ltd
859,Derivatives Connect Private Limited
860,T&N Business Services Pvt. Ltd.
861,GUVI GEEK NETWORK PRIVATE LIMITED
862,Wizikey
863,Zotto Ltd
864,CAPCO
865,LEADS 2 BUSINESS SOLUTIONS P LTD
866,Edubex
867,Standard Chartered
868,Oracle
869,Virtusa
870,Frontier Agrotech Pvt. Ltd.
871,Proziod Analytics Pvt Ltd
872,Deloitte
874,Valiance Solutins
875,Foxberry Technology Pvt Ltd
876,Wipro Limited
