,job_title,company,job_location,job_summary,post_date,today,job_salary,company_id,job_requirement,eligibility,experience_req
5,Senior Data Analyst,AdTech Holding,"Bengaluru, Karnataka","Work on the development of the PropellerAds product: conduct exploratory analysis - put forward hypotheses, select metrics, and conduct research and experiments…",EmployerActive 5 days ago,2022-07-26,"₹80,045 a month",6,"- Supervises financial management and administrative staff, including
assigning responsibilities, reviewing employees' work processes and
products, counseling employees, giving performance evaluations, and
recommending disciplinary action;
- Serves as member of management team participating in both strategic
and operational planning for the company;
- Directs and oversees the company's financial management activities,
including establishing and monitoring internal controls, managing cash
and investments, and managing the investment portfolio in collaboration
with the Investment team leader. This includes, but is not limited to,
evaluation of investment risk, concentration risk, fund deployment
levels, adequacy of loss and liquidity reserves Assists investment team
in development of proper documentation and internal systems;
- Directs and oversees the annual budgeting process, including
developing projections for financial planning, and preparing budgets;
- Prepares external and internal financial management reports, such as
audited financial statements, tax returns, and reports for the board of
directors and company staff;
- Develops, implements, and maintains efficient and effective accounting
systems and controls to ensure compliance with national and
international accounting standards and principles, sufficiency of fund
accounting, and comprehensiveness of data for reporting and compliance
requirements;
- Ensures contract compliance, including interpreting and monitoring
contracts with clients, submitting required reports, and monitoring
covenants and other contract terms;
- Oversees the design, implementation and maintenance of computer-based
information system. Oversees records retention (both manual and
computer-based) and file maintenance activities;
- Serves as company's risk manager, including evaluating loss exposure
and obtaining insurance as appropriate;
- Manages other administrative operations, such as facilities
management, payroll administration, office operations, and
administrative support;
- Monitors corporate compliance with by-laws and articles of
incorporation regarding corporate registration and reporting of
fundraising operations.",All capable people,2 Years Job Exp.
19,Data Analyst,Maersk,"Chennai, Tamil Nadu","Analyze data and develop machine learning models to support decision making in the business.,Data exploration, analysis, synthesis, and presentation.",PostedPosted 7 days ago,2022-07-26,,20,"- Working with the Country Director to provide environmental information
to the general public via regular electronic communications and serving
as the primary local contact to Armenian NGOs and businesses and the
Armenian offices of international organizations and agencies;
- Helping to organize and prepare CENN seminars/ workshops;
- Participating in defining the strategy and policy of CENN in Armenia,
the Caucasus region and abroad.",University students,2 Years Job Exp.
21,Data analyst,Honeywell,"Bengaluru, Karnataka","Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data…",PostedPosted 7 days ago,2022-07-26,,22,"- Identify gaps in knowledge and overseeing information collection to
fill them;
- Consolidate partnerships with center of excellence of technical
support, working with local NGOs/COs, LCEs, and LGUs;
- Work with LEAD team to develop assessment tools for LGUs to identify
barriers and supports to quality service provision;
- Assist LGUs and NGOs to design and implement multifaceted (if
necessary), systematic interventions, based on assessment results, to
enhance quality service provision, especially through provider behavior
change. For example, ensure that not only providers, but their
supervisors are trained and that monitoring and supervisory systems
promote provider change, quality services, and sustainability of change;
- Assist other LEAD specialists and units to enhance the quality of
services, especially through BCC and provider behavior change, and
assure that programs serve community needs;
- Oversee and, when practical, co-facilitate behavior change training
activities and proposal development and coordinate these activities, as
needed, with other project components and counterpart agencies;
- Participate in developing programs to address common barriers (e.g.,
strengthen service providers' interpersonal communication skills through
on-the-job training and use of innovative training approaches based on
TSAP-FP and other projects' approaches);
- Provide training to local groups in developing programs in community
mobilization and advocacy to participate in health planning process; 
- Develop monitoring and evaluation systems for client-centered quality
care/ provider behavior change;
- Reinforce inter-organization collaboration and coordination of BCC
interventions to improve the overall quality of interventions;
- Serve as primary LEAD liaison with BCC agencies, projects, and
consultants.",Everyone,< 1 Year
40,Operation Analyst,Financial Fabric,"Kolkata, West Bengal","It combines traditional big data and machine learning technologies to solve different classes of data and analytical problems.,MS-Excel, MS-Word, Outlook.",Hiring ongoing,2022-07-26,"₹12,000 - ₹15,000 a month",41,"- Rendering technical assistance to Database Management Systems;
- Realization of SQL servers maintenance activities: back-up and
replication;
- Participation in designing of software development projects.",All Interested Candidates,Job for Fresh Graduates
45,KYC System Analyst,Brickendon Consulting,"Remote in Hyderabad, Telangana","Focused on three practice areas of digital, data and automation, our aim is to disrupt the market with the latest machine learning, automation, data analytics…",Posted7 days ago,2022-07-26,,46,"- Coordinating the work of subordinate employees;
- Maintaining liaison with the other subdivisions within the Company;
- Managing correspondence flow;
- Realizing written and verbal translations;
- Organizing meetings and conferences; compiling minutes of meetings;
- Drawing reports;
- Operating office equipment.","Applicants must hold Armenian
citizenship
Grade: GL-5 
Post No: 691021",< 1 Year
47,Data Analyst 2-8,PayPal,"Bengaluru, Karnataka+1 location","For example, using machine learning to determine how we identify fraud.,And you will do it all by collaborating with a global team of colleagues across sales,…",Posted4 days ago,2022-07-26,,48,"- Assist the Tavush Marz communities and community unions in developing
and strengthening their capacities and structures of local self
governance;
- Identify impacts and further needs for capacity building measures at
local level including civil society actors;
- Conduct surveys, analysis and monitoring of local conflict and make
necessary recommendations;
- Organize meetings, discussions and prepare reports (in the Armenian,
Russian and English languages).","Residence & citizenship - Tbilisi,
Georgia",5 Years Job Exp.
57,"Analyst, Risk Analytics (PPNR/Machine Learning)",Northern Trust Corp.,"Bengaluru, Karnataka","Develops understanding of time series analysis and AI/ML algorithms used in supervised and unsupervised learning.,Gender Equality Index Member, Bloomberg.",Posted11 days ago,2022-07-26,,58,"- Manage and control the company's activities in Armenia;
- Suggest, Modify and Secure the realization of corporate policies;
- Promotes efficiently the image, products and services of the company;
- Develop beneficial cooperation with old and new customers;
- Creates mutually beneficial alliances with local authorities.",All Interested Candidates,3 Years Job Exp.
74,Data Analyst,Creditas Solutions,"Gurgaon, Haryana","Solutions to the top Financial Institutions in India.,Our growing technology firm is looking for an experienced Data Analyst who is able to turn project.",Posted19 days ago,2022-07-26,,75,"- Network monitoring and administration;
- Database administration (MS SQL 2000).","Applicants must hold Georgian
citizenship.",4 Years Job Exp.
88,Business Analyst,TGS the global skills,"Gurgaon, Haryana","Gather and analyse data and provide technology solutions with a systems approach.,Interpreting business requirements into understandable development tasks to…",EmployerActive 11 days ago,2022-07-26,"₹12,00,000 a year",89,"The incumbent under direct supervision of UNDP
Resident Representative will be responsible for the following issues:
regularly track economic data, undertake periodic analyses of economic
and development issues and produce relevant reports aimed at promoting
equitable economic growth and human development; advocate for the
Millennium Development Goals, Human Development and equitable economic
growth by participating in relevant forums, conferences and trainings;
manage the production and launch of economic reports, including White
papers and National Human Development Reports; provide high quality
economic input to all relevant UNDP programmes and projects and ensure
that UNDP programmes are in line with national ""policies and priorities;
provide capacity building support in economic management to public
institutions; assist the efforts of the Government and UNDP to mobilize
resources by preparing documentation for donor and consultative
meetings; facilitate policy dialogue on economic issues with the
Government, private sector, civil society and donors; contribute to
sub-regional, regional and inter-agency initiatives related to
development issues.","Non U.S. citizen student in good
academic standing at his/her current educational institution",< 1 Year
90,Intern - Business Analyst,Climate Connect,Remote,"We believe that machine learning and other software technologies will be key in enabling this vision.,Our multi-layered support system, comprising a global…",PostedPosted 14 days ago,2022-07-26,,91,"- Maintain CHAP/Armenia pool of vehicles and personal vehicle in working
condition and in a high degree of readiness;
- Operate CHAP/Armenia pool of vehicles and personal vehicle;
- Report about use of CHAP/Armenia and personal vehicles;
- Help maintain the CHAP/Armenia warehouse;
- Help manage all aspects of the project implementation, including
humanitarian assistance customs clearance, unloading, inventorying,
distribution, monitoring, and providing feedback information;
- Carry out spot-checks of recipient organizations for two years after
assistance has been provided as assigned by CHAP/Armenia Country Program
Director;
- Help identify recipients and their needs within the project framework;
- Help professionally answer telephone calls while in the CHAP/Armenia
office;
- Record photographically most effective use of HA items by recipient
organizations;
- Help prepare and submit to CHAP/Armenia Country Program Director
feedback information about use of HA;
- Perform other duties as assigned;
- Report to CHAP/Armenia Country Program Director.","Non U.S. citizen student in good
academic standing at his/her current educational institution",7 Years Job Exp.
