,Eligibility
185,All capable people
210,University students
212,Everyone
215,All Interested Candidates
225,"Applicants must hold Armenian
citizenship
Grade: GL-5 
Post No: 691021"
243,"Residence & citizenship - Tbilisi,
Georgia"
248,All Interested Candidates
263,"Applicants must hold Georgian
citizenship."
272,"Non U.S. citizen student in good
academic standing at his/her current educational institution"
274,"Non U.S. citizen student in good
academic standing at his/her current educational institution"
295,Females under 30 y.o.
297,All Qualified Candidates
298,"At least 3 years of work experience in
the relevant field."
299,"Currently Ordinary Resident and Not
Ordinary Resident U.S. Citizens"
320,no restrictions
326,"Business & Finance Consulting (BFC)
GmbH, specializing in microfinance in CIS or Eastern European countries,
offers a challenging job opportunity in Georgia."
328,All qualified candidates
329,Candidates must be female.
330,All qualified candidates
331,"Citizens of Armenia, 22-30 y.o."
333,"All interested Volunteers from Vanadzor
NGOs!"
343,"Applicants must be US citizens willing
to relocate to Vermont."
346,"Everybody, who is interested in cross 
cultural development in Caucasus."
351,"The role of Finance Officer/Accountant
is to provide day-to-day professional finance services to Save the
Children Armenia Field Office, including accounting and reporting in
compliance with Armenian law and regulations."
352,"All those with higher education are
encouraged to apply"
357,Expatriates
368,All qualified persons
369,Everyone
376,Everyone
377,All Interested Candidates
378,"All applicants with Native Armenian and
Good knowledge of Engish"
380,All interested applicants
386,"Applicants must come from CIS countries
and be aged 17 to 30"
395,"All Armenian Citizens, who qualify to
the requirements"
398,"Suitable professional individuals or
firms"
400,"Interested and highly quallified
individuals in all of these fields with both professional expertise and
personal characteristics ( dynamism, proven ability to get things done,
ability in both work in and to lead teams, who seems likely to
contribute to our work on sustainable development within the Armenia
project."
404,Everyone
420,All qualified candidates.
424,All interested candidates
426,All interested candidates
427,All interested candidates
428,Female candidates
429,"Training companies and qualified
trainers"
433,"Males and females, 32-50 years of age"
434,"males and females, not more than 35"
435,Males and females of any age
436,"Males and females, not more than 35
years of age"
437,All interested candidates
439,All Interested candidates
441,"Male or female between 24-40 years of
age"
445,"University degree in economics related
fields"
446,All qualified candidates.
447,All qualified candidates.
448,All interested candidates
449,All interested candidates
452,All interested and qualified applicants
454,"Undergraduates and all Qualified
Candidates"
459,Everyone
464,All interested candidates
465,All Interested Candidates
466,All interested candidates
473,"Male or female, more than 30 years of
age"
474,"Male or female, above 27"
475,MBA Students
477,"Young graduates from AUA, YSU and SEUA"
484,Everyone
485,Everyone
486,Everyone
487,All Interested Candidates
488,All Intersted Candidates
489,All Interested Candidates
490,All Qualified Candidates
491,All qualified candidates.
493,All Qualified Candidates
499,"Armenian, Diaspora and non-Armenian
scholars and professionals involved in the areas of relevance for
economic, social and governance development."
501,All eligible candidates
502,Male or Famale from 27-55 years of age
503,All Interested Candidates
504,All Interested Candidates
505,Male or female not more than 35
506,All Interested Candidates
508,"Male or female not more than 35 years of
age"
509,All interested candidates
518,"- University degree
- Excellent written and spoken Armenian.
- Excellent written and spoken English.
- Eligibility to work in Armenia"
520,"- University degree
- Excellent written and spoken Armenian.
- Excellent written and spoken English.
- Eligibility to work in Armenia"
522,All qualified candidates
523,All experienced programmers
533,Everybody interested
546,24-35 years old.
549,up to 35 years young
551,Females up to 32 years young
555,University students
567,University students/ Recent graduates
574,"Anyone may apply to be a consultant.
Alumni of US government-sponsored exchange programs are encouraged to
apply."
582,"Only professional consultants from ADB
member countries  those preferably have familiarity with ADB TAs and
working experience in  Tajikistan or in the region are requested to
apply."
584,Females up to 32 years young
588,"The workshop is aimed at leaders or PR
specialists of NGOs working with various minority groups, including:
ethnical, sexual, religious groups, refugees, women, the disabled, the
elderly, as well as journalists, specializing in minority/diversity
reporting."
592,Everyone
593,Everyone
599,FLEX Alumni
602,"Management Sciences for Health is an
equal opportunity employer offering employment without regard to race,
color, religion, sex, sexual orientation, age, national origin,
citizenship, physical or mental handicap, or status as a disabled or
Vietnam Era veteran of the U.S. Armed Forces."
610,All qualified candidates
616,"An Armenian national, residing in
Armenia."
629,"Students who are currently enrolled in a
secondary school(8th or 9th grade, are born after 1 January 1989 and
before 15 July 1990, have academic standing of ""good"" or better, and
meet US visa eligibility requirements are welcome to apply."
630,"The Alliance to Save Energy is an equal
opportunity employer. Applications will be held in strict confidence."
634,"Qualified candidates with expert-level
skills"
636,"Qualified candidates with expert-level
skills."
638,"The position is open to all candidates
with the relevant skills and experience."
646,Environmental NGOs of Armenia
647,"The position is open to all candidates
with the relevant skills and experience."
654,Pupils
658,Everyone
659,Everyone
660,Everyone
663,"Technical eligibility requirements:
Competition for the Eurasian Undergraduate Exchange Program is
merit-based and open to anyone who:
- Is a citizen, national or permanent resident qualified to hold a valid
passport issued by the country of Armenia, Azerbaijan, Belarus, Georgia,
Kazakhstan, Kyrgyzstan, Moldova, Russian Federation, Tajikistan,
Turkmenistan, Ukraine, or Uzbekistan;
- Is enrolled as a first-, second- or third-year full-time undergraduate
student at the time of application at a registered academic institution
in one of the 12 eligible Eurasian countries and in good academic
standing.  Third year students must be enrolled in a five-year program
at their home university or institution and will be required to submit a
spravka stating enrollment status and program year if selected as a
semifinalist.  Part-time students (for example, zaochno or
correspondence students) are not eligible;
- Was born between November 12, 1983 and July 1, 1987;
- Submits a complete original application with two copies by the
application deadline;
- Is able to begin the academic exchange program in the United States in
the summer of 2005;
- Is able to receive and maintain a US J-1 visa."
664,All qualified
665,Everyone
666,Everyone
668,The jobholder must be living in Yerevan.
669,The jobholder must be living in Yerevan.
670,Social NGOs of Armenia
673,Everybody
674,"Applications are expected from the
institutional development training specialists."
677,"Professional Translators of any
language."
684,Everybody
685,Everybody
686,Everybody
691,Everyone
698,Young lawyers and advocates.
700,Everyone
705,"Professional teachers of the Italian
language."
707,"Professional teachers of the Italian
language."
714,Everybody
715,Everybody
723,All
724,All
731,Everybody
737,"Any national legally residing in
Armenia. The company employs both male and female staff."
742,All
743,Everybody
750,Everybody
766,Everyone Interested
772,All qualified candidates
781,All qualified candidates
787,All qualified candidates
799,To all qualified candidates
801,All qualified persons.
814,All qualified candidates
815,"All medical students of the Yerevan
State Medical University after Mkhitar Heratsi."
816,"MA graduate students, post-graduates of
Journalism, International Economics, International Relations
departments. FLEX graduates are most welcome to apply."
