,job_summary
5,"Work on the development of the PropellerAds product: conduct exploratory analysis - put forward hypotheses, select metrics, and conduct research and experiments…"
19,"Analyze data and develop machine learning models to support decision making in the business.,Data exploration, analysis, synthesis, and presentation."
21,"Join a company that is transforming from a traditional industrial company to a contemporary digital industrial business, harnessing the power of cloud, big data…"
40,"It combines traditional big data and machine learning technologies to solve different classes of data and analytical problems.,MS-Excel, MS-Word, Outlook."
45,"Focused on three practice areas of digital, data and automation, our aim is to disrupt the market with the latest machine learning, automation, data analytics…"
47,"For example, using machine learning to determine how we identify fraud.,And you will do it all by collaborating with a global team of colleagues across sales,…"
57,"Develops understanding of time series analysis and AI/ML algorithms used in supervised and unsupervised learning.,Gender Equality Index Member, Bloomberg."
74,"Solutions to the top Financial Institutions in India.,Our growing technology firm is looking for an experienced Data Analyst who is able to turn project."
88,"Gather and analyse data and provide technology solutions with a systems approach.,Interpreting business requirements into understandable development tasks to…"
90,"We believe that machine learning and other software technologies will be key in enabling this vision.,Our multi-layered support system, comprising a global…"
91,"Knowledge of machine learning, deep network.,Story telling with the help of data.,Explore data and generate insights such as patterns, seasonality, trend, cause…"
96,"Hands-on expertise in predictive modeling, machine learning, and other advanced analytical techniques.,Key skills: Marketing Analytics, Risk Analytics, SAS,…"
107,"We are looking for a Data Analyst who will design, develop and maintain high quality Tableau Dashboards.,We organize in cross functional design teams in which…"
129,"A bit of machine learning, such as regression analysis, and time series modeling.,Define and document source to target data interfaces."
133,"We provide clients with a comprehensive global database of compositions, writers and publishers - linking compositions to recordings at scale using machine…"
143,"Excellent pattern recognition, natural language processing (NLP), predictive and machine learning modelling.,Innovate with Benchmark Digital as a Data Analyst."
150,"The Business Intelligence Advisor supports in the delivery of Business Intelligence (BI) capabilities, which play a key role in strategic planning and allow the…"
153,"Facility with one or more data analytical methods such as regression, decision trees, experimental designs, support vector machines, machine learning and text…"
155,"What we offerFast-growth career in a high-learning environmentFlexibility to work from homeWork ScopeWrite data-driven reports, whitepapers and newsletters…"
174,Trucknetic* aims to play a crucial role in India's booming logistics sector and become the first platform in the world to provide any truck for any commodity…
180,"Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.,You will be responsible for defining and developing…"
197,"A working level domain knowledge on machine learning concepts.,Work on data labeling tool(s) and annotate data for machine learning models."
200,"Our cutting-edge cloud platform uses AI and machine learning algorithms to help companies build hardware at the speed of software.,Come join our growing team!"
203,"Knowledge of statistical techniques and machine learning algorithms.,Knowledge of statistical techniques and machine learning algorithms."
206,"Knowledge of machine learning will be an added advantage.,As part of GSG, the Global Servicing Enablement (GSE) team is responsible for process design &…"
207,"Data Scientist: The primary focus will be in applying advanced statistical analysis, and evaluating machine learning or deep learning models that will get…"
212,"Innovate our offerings using advanced Technologies such as AI and Machine learning.,Responsible for developing, applying and maintaining quality standards for…"
217,The ICS (LFO) team provides a broad spectrum of financial and portfolio analysis to support product and investment decisions for the International Consumer &…
231,Responsibilities* • Gather and analyze data and provide technology solutions with a systems approach • Interpreting business requirements into understandable…
245,"Data experience working with complex large datasets / big data performing data analysis, data profiling, data mapping and data modeling is required."
257,"Services business and is responsible for developing data science solutions for marketing use cases through best-in-class.,Track and diagnose market changes."
263,"Techniques in data design and data management.,Provide data to users by extracting that data from the ERP system.,Other projects and duties as assigned."
268,"Provides high quality, on-time input to client projects in the life sciences field.,Proactively develops a basic knowledge of consulting methodologies and the…"
277,"Use insights based on data to inform decisions.,Job Title: Data Science Platform Support Analyst.,Barclays is a British universal bank.,What will you be doing?"
279,"Leveraging data analysis tools and technologies.,Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…"
282,"EY is looking for Analyst in IT Advisory.,An important part of your role will be to assist Seniors & Managers while actively participating within the client…"
284,"Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value."
288," Reorganizing data in a readable format., A bachelor degree in computer science., Supporting initiatives for data integrity and normalization."
291,"Research opportunities for data acquisition and new uses for existing data.,Recommend ways to improve data reliability, efficiency and quality (e.g. data…"
310,"Identify and assess key opportunity areas where data and science can enhance products.,3 to 6 years’ experience in applying data and science to improve products…"
312,"Able to understand various data structures and common methods in data transformation.,Must be able to clearly understand and articulate a data science problem…"
319,"You will apply data science expertise to assure sustainable impact of ML solutions developed.,Graduate or postgraduate degree in computer science, engineering,…"
326,"In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…"
328,"Developing and maintaining databases, data systems – reorganizing data in a readable format.,Knowledge of data visualization software like Tableau, Qlik."
330,"You will weave stories with meaningful insight from data.,You will work to effectively turn business questions into data analysis, and provide meaningful…"
332,"Outstanding attention to detail and dedication to data accuracy.,Our GBP team specifically focuses on product-level market-sizing across full spectrum of…"
336,"Experience in hands-on data modeling, programming, querying, data mining and report development using large volumes of granular data to deliver business…"
341,"Provides end-to-end support around database management, data visualization, data science, data reporting and technology development.,1 to 3 years of experience."
344,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, data base design development…"
356,"Data science: 6 years (Preferred).,*6*+ years of experience in data analytics and consulting.,Advanced programming skills; proficiency with R or Python;…"
361,"Working knowledge of data science/analysis programing languages such as R or Python.,Demonstrated experience using SQL (Structured Query Language) to query…"
