,job_location
5,"Bengaluru, Karnataka"
19,"Chennai, Tamil Nadu"
21,"Bengaluru, Karnataka"
40,"Kolkata, West Bengal"
45,"Remote in Hyderabad, Telangana"
47,"Bengaluru, Karnataka+1 location"
57,"Bengaluru, Karnataka"
74,"Gurgaon, Haryana"
88,"Gurgaon, Haryana"
90,Remote
91,"Gurgaon, Haryana"
96,"Remote in Hyderabad, Telangana"
107,"Noida, Uttar Pradesh"
129,"Remote in Bengaluru, Karnataka"
133,"Bengaluru, Karnataka"
143,"Bengaluru, Karnataka"
150,"Pune, Maharashtra"
153,"Noida, Uttar Pradesh"
155,Remote in India
174,"New Delhi, Delhi"
180,"Bengaluru, Karnataka"
197,"Hyderabad, Telangana"
200,"Pune, Maharashtra"
203,India
206,"Gurgaon, Haryana"
207,"Bengaluru, Karnataka"
212,"Bengaluru, Karnataka"
217,"Gurgaon, Haryana"
231,"Gurgaon, Haryana"
245,"Temporarily Remote in Bengaluru, Karnataka"
257,"Gurgaon, Haryana"
263,Remote
268,"Bengaluru, Karnataka+1 location"
277,"Pune, Maharashtra"
279,"Bengaluru, Karnataka+1 location"
282,"Bengaluru, Karnataka+2 locations"
284,India
288,"Temporarily Remote in Chennai, Tamil Nadu"
291,"Temporarily Remote in Visakhapatnam, Andhra Pradesh"
310,"Bengaluru, Karnataka"
312,"Bengaluru, Karnataka"
319,"Gurgaon, Haryana"
326,"Bengaluru, Karnataka+1 location"
328,"Unknown, Kolkata, West Bengal"
330,"Bengaluru, Karnataka"
332,"Gurgaon, Haryana"
336,"Hybrid remote in Gurgaon, Haryana"
341,"Hyderabad, Telangana"
344,Remote
356,"Remote in Hyderabad, Telangana"
361,"Remote in Pune, Maharashtra"
367,"Gurgaon, Haryana"
368,"Pune, Maharashtra"
373,"Chennai, Tamil Nadu"
377,"Bengaluru, Karnataka"
380,"Bengaluru, Karnataka+1 location"
381,"Patna, Bihar+1 location"
384,"Erode, Tamil Nadu"
390,"Bengaluru, Karnataka"
392,"Bengaluru, Karnataka"
403,"Bengaluru, Karnataka"
405,"Bengaluru, Karnataka+1 location"
408,"Remote in Bengaluru, Karnataka"
428,"Gurgaon, Haryana+2 locations"
432,"Gurgaon, Haryana+2 locations"
442,"Bengaluru, Karnataka"
452,"Delhi, Delhi"
456,"Hyderabad, Telangana"
459,"Bengaluru, Karnataka"
461,"Hyderabad, Telangana"
471,"Bengaluru, Karnataka"
475,"Bengaluru, Karnataka"
482,"Gurgaon, Haryana"
489,"Bengaluru, Karnataka"
490,"Chandigarh, Chandigarh"
493,"Bengaluru, Karnataka"
494,"Gurgaon, Haryana"
504,"New Delhi, Delhi"
509,"Bengaluru, Karnataka"
511,"Hyderabad, Telangana"
527,"Kolkata, West Bengal+1 location"
529,"Bengaluru, Karnataka"
532,"Kolkata, West Bengal+1 location"
535,"Bengaluru, Karnataka"
543,"Kolkata, West Bengal"
544,"Bengaluru, Karnataka"
545,"Kochi, Kerala"
550,"Hyderabad, Telangana"
553,"Bengaluru, Karnataka"
608,"Remote in Gonda, Uttar Pradesh+2 locations"
612,"Hyderabad, Telangana"
631,"Bengaluru, Karnataka+1 location"
637,"Bengaluru, Karnataka"
647,"Bengaluru, Karnataka"
