City,State,Cost of Living Index
Abilene,TX,89.1
Adrian,MI,90.5
Akron,OH,89.4
Alamogordo,NM,85.8
Albany,GA,87.3
Albany,OR,105.4
Albany,NY,100.1
Albertville,AL,90.9
Albuquerque,NM,92.9
Alexandria,LA,86.2
Allentown,PA,98.9
Altoona,PA,90.8
Amarillo,TX,88.2
Ames,IA,91.5
Anchorage,AK,110.7
Ann Arbor,MI,99.3
Anniston,AL,85.7
Appleton,WI,90.7
Asheville,NC,103.3
Ashtabula,OH,87.4
Athens,OH,88.5
Athens,TX,92.9
Athens,GA,95
Atlanta,GA,100.3
Atlantic City,NJ,102
Auburn,NY,93.7
Auburn,AL,91.9
Augusta,GA,91.6
Augusta,ME,100
Austin,TX,106.6
Bakersfield,CA,102.9
Baltimore,MD,107
Bangor,ME,98
Barnstable Town,MA,122.4
Baton Rouge,LA,91.1
Battle Creek,MI,85.9
Bay City,MI,85.4
Beaumont,TX,88.6
Beaver Dam,WI,92.9
Beckley,WV,80
Bellingham,WA,111.6
Bend,OR,115.9
Billings,MT,95.7
Binghamton,NY,93.3
Birmingham,AL,90.7
Bismarck,ND,93.1
Blacksburg,VA,94.5
Bloomington,IN,92.4
Bloomsburg,PA,93.2
Bluefield,WV,81.2
Boise City,ID,100.3
Boston,MA,132.6
Boulder,CO,118.7
Bowling Green,KY,87
Bozeman,MT,125.3
Brainerd,MN,97.9
Branson,MO,89.5
Bremerton,WA,115
Brownsville,TX,87.8
Brunswick,GA,94.4
Buffalo,NY,97.3
Burlington,NC,91.8
Burlington,VT,112.8
Canton,OH,88.2
Cape Girardeau,MO,88.1
Carbondale,IL,83.5
Carson City,NV,103
Casper,WY,94.2
Cedar Rapids,IA,88.1
Centralia,WA,103.3
Chambersburg,PA,95.7
Champaign,IL,89
Charleston,WV,83.9
Charleston,SC,101.7
Charlotte,NC,97.9
Charlottesville,VA,102.1
Chattanooga,TN,91.2
Cheyenne,WY,96.9
Chicago,IL,100.1
Chico,CA,110.5
Chillicothe,OH,89.8
Cincinnati,OH,92.4
Claremont,NH,102.3
Clarksburg,WV,83.4
Clarksville,TN,88.7
Clearlake,CA,108.8
Cleveland,TN,89.5
Cleveland,OH,90
Coeur d'Alene,ID,103.3
College Station,TX,92.3
Colorado Springs,CO,102.2
Columbia,MO,89.8
Columbia,SC,91.9
Columbus,GA,88.5
Columbus,IN,89.1
Columbus,OH,93.9
Concord,NH,108.3
Cookeville,TN,90.9
Coos Bay,OR,102
Corning,NY,90.9
Corpus Christi,TX,93.3
Corvallis,OR,110.6
Cullman,AL,90.5
Cumberland,MD,90.9
Dalton,GA,89.1
Danville,IL,83.9
Danville,VA,87.1
Dayton,OH,88.4
Decatur,AL,88.6
Decatur,IL,84.9
Denver,CO,112.1
Des Moines,IA,91.7
Detroit,MI,93.2
Dothan,AL,86.3
Dover,DE,101.3
DuBois,PA,88.2
Dubuque,IA,89.6
Duluth,MN,93.2
Dunn,NC,91.4
Durham,NC,99.8
East Stroudsburg,PA,96.1
Eau Claire,WI,91.8
El Centro,CA,102.3
El Paso,TX,88.6
Elizabeth City,NC,91.1
Elizabethtown,KY,88.1
Elkhart,IN,88.5
Elmira,NY,92.5
Enid,OK,82.9
Erie,PA,91.8
Eugene,OR,108.4
Eureka,CA,116.5
Evansville,IN,87.2
Fairbanks,AK,107.9
Fargo,ND,91.4
Faribault,MN,102.3
Farmington,MO,85.4
Farmington,NM,88.4
Fayetteville,NC,89.5
Fayetteville,AR,90.4
Findlay,OH,91.1
Flagstaff,AZ,108.5
Flint,MI,85.7
Florence,SC,87.7
Florence,AL,86.8
Fond du Lac,WI,88
Forest City,NC,89.4
Fort Collins,CO,109.2
Fort Smith,AR,84.2
Fort Wayne,IN,86.8
Frankfort,KY,88.1
Fresno,CA,105.9
Gadsden,AL,86
Gainesville,FL,97.3
Gainesville,GA,97
Gallup,NM,90
Gettysburg,PA,98.2
Glens Falls,NY,98.6
Goldsboro,NC,88.5
Grand Forks,ND,90.7
Grand Island,NE,88.8
Grand Junction,CO,98.1
Grand Rapids,MI,93.7
Grants Pass,OR,106.6
Great Falls,MT,91.1
Greeley,CO,106.1
Green Bay,WI,91.4
