,Rank,State,Rates 2022,Rates 2021
0,1,California,13.30%,13.30%
1,2,New Jersey *,10.75%,10.75%
2,2,Washington D.C.,10.75%,8.95%
3,4,Oregon *,9.90%,9.90%
4,5,Minnesota,9.85%,9.85%
5,6,New York *,8.82%,8.82%
6,7,Vermont,8.75%,8.75%
7,8,Iowa *,8.53%,8.53%
8,9,Wisconsin *,7.65%,7.65%
9,10,Hawaii *,7.25%,7.25%
10,11,Maine,7.15%,7.15%
11,12,South Carolina *,7.00%,7.00%
12,12,Washington †,7.00%,0.00%
13,14,Connecticut,6.99%,6.99%
14,15,Idaho,6.93%,6.93%
15,16,Montana *,6.90%,6.90%
16,17,Nebraska,6.84%,6.84%
17,18,Delaware *,6.60%,6.60%
18,19,West Virginia,6.50%,6.50%
19,20,Rhode Island,5.99%,5.99%
20,21,New Mexico *,5.90%,5.90%
21,22,Georgia,5.75%,5.75%
22,22,Maryland *,5.75%,5.75%
23,22,Virginia,5.75%,5.75%
24,25,Kansas,5.70%,5.70%
25,26,Arkansas *,5.50%,5.90%
26,27,Missouri *,5.40%,5.40%
27,28,Alabama *,5.00%,5.00%
28,28,Kentucky *,5.00%,5.00%
29,28,Massachusetts,5.00%,5.00%
30,28,Mississippi,5.00%,5.00%
31,32,North Carolina,4.99%,5.25%
32,33,Illinois,4.95%,4.95%
33,33,Utah,4.95%,4.95%
34,35,Ohio *,4.80%,4.80%
35,36,Oklahoma,4.75%,5.00%
36,37,Colorado,4.55%,4.55%
37,38,Arizona,4.50%,4.50%
38,39,Louisiana,4.25%,6.00%
39,39,Michigan *,4.25%,4.25%
40,41,Indiana *,3.23%,3.23%
41,42,Pennsylvania *,3.07%,3.07%
42,43,North Dakota *,2.90%,2.90%
43,44,Alaska,0.00%,0.00%
44,44,Florida,0.00%,0.00%
45,44,Nevada,0.00%,0.00%
46,44,New Hampshire,0.00%,0.00%
47,44,South Dakota,0.00%,0.00%
48,44,Tennessee,0.00%,0.00%
49,44,Texas,0.00%,0.00%
50,44,Wyoming,0.00%,0.00%
