,UserName,College,TweetFollowers,Tweet,TweetTime,Retweets,ScreenName
0,Tim Duncan,GoNUathletics,2838,GETTING IT DONE! #HowlinHuskies https://t.co/wFPM9OTg7H,2019-04-26 02:11:18,0,TimDuncanAD
1,Northeastern Alumni,GoNUathletics,5114,"Join us for the 16th annual @GoNUathletics Golf Classic on Tuesday, June 4 at Pinehills Golf Club. #HowlinHuskies… https://t.co/vvEgMaYQhb",2019-04-25 22:45:00,0,AlumniNU
2,Northeastern Huskies,GoNUathletics,14055,"RT @GoNUbaseball: Last year, the #HowlinHuskies and Elon finished 1⃣-2⃣ in the CAA standings.

This year, NU is eager to pick up its first-…",2019-04-25 21:26:06,2,GoNUathletics
3,Ashlee Feldman,GoNUathletics,21124,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 20:31:11,13,AshleeFeldman
4,Mad DogHouse,GoNUathletics,421,I'm going to push the rebrand #HowlinKonya https://t.co/c2dYzfa9Yg,2019-04-25 19:37:56,0,Mad_Doghouse
5,Northeastern Hockey Blog,GoNUathletics,1154,"Big missed opportunity to make #KonyaKlub a real official thing @zgordo33 

#TellThatToKonyaKlub https://t.co/cViO2buKrU",2019-04-25 19:21:52,0,NUHockeyBlog
6,Hockey East,GoNUathletics,33841,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 17:44:07,13,hockey_east
7,Northeastern WSWIM,GoNUathletics,671,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:14:23,13,GoNUwswimming
8,Northeastern VB,GoNUathletics,703,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:14:14,13,GoNUwvolleyball
9,Northeastern Women’s Soccer,GoNUathletics,1450,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:13:41,13,GoNUwsoccer
10,Northeastern WROW,GoNUathletics,808,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:13:39,13,GoNUwrowing
11,Northeastern Women’s Hockey,GoNUathletics,4483,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:13:36,13,GoNUwhockey
12,Northeastern Men’s Soccer,GoNUathletics,1228,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:13:32,13,GoNUmsoccer
13,Northeastern MROW,GoNUathletics,1266,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:13:28,13,GoNUmrowing
14,Northeastern MHKY,GoNUathletics,11978,"RT @GoNUathletics: Welcome to the first episode of Konya's Korner!

In our premiere episode, the #HowlinHuskies AD and @AshleeFeldman look…",2019-04-25 16:13:25,13,GoNUmhockey
15,Healthcare Innovation & EntrepreNURSEship,NUBouve,154,Meet the speakers for our 2019 NP conference! Register now: https://t.co/TMdxFjg7bj @NUBouve #innovative… https://t.co/wMVdxiMQIt,2019-04-25 18:34:55,0,NUinnovate
16,Jenny M Gormley,NUBouve,350,"RT @NEUSHA2019: LAST CALL: Register by tomorrow (April 25th) for the Human Trafficking CNE Conference at .@NUBouve. 
Hear from experts on #…",2019-04-25 14:10:59,1,jennymgormley
17,NEUSHA,NUBouve,263,"LAST CALL: Register by tomorrow (April 25th) for the Human Trafficking CNE Conference at .@NUBouve. 
Hear from expe… https://t.co/5DhtSlQXpa",2019-04-24 18:07:13,1,NEUSHA2019
18,Care Dimensions,NUBouve,1638,".@NUBouve New and soon-to-be #nursing grads, apply now for #Hospice #Nurse Residency: https://t.co/6yJhi1vEb0 https://t.co/rfcpVuQEsS",2019-04-24 16:05:00,0,CareDimensions1
19,Healthcare Innovation & EntrepreNURSEship,NUBouve,154,"Meet the speakers for our 2019 NP Conference, The Journey of Entrepreneurship. July 19th-20th at Northeastern Unive… https://t.co/bzkUt5AeZZ",2019-04-24 14:28:39,0,NUinnovate
20,Healthcare Innovation & EntrepreNURSEship,NUBouve,154,Are you a clinician interested in #DiagnosticUltrasound? @NUBouve is hosting a Hands-on Ultrasound Symposium for Fr… https://t.co/5h0Ws7ULld,2019-04-24 13:13:03,0,NUinnovate
21,Healthcare Innovation & EntrepreNURSEship,NUBouve,154,"Meet the speakers for our 2019 NP Conference, The Journey of Entrepreneurship. July 19th-20th at Northeastern Unive… https://t.co/UXiicXrvTj",2019-04-23 17:58:30,0,NUinnovate
22,Center for Healthcare Leadership and Management,NUBouve,329,Give your PAs and NPs the edge they need to step up as leaders and provide them with the tools to succeed. We’ve pa… https://t.co/ocnzWUjIPC,2019-04-22 19:59:42,0,CHLM_org
23,Zhanbing REN,NUBouve,9,"RT @NUBouve: It’s no surprise that #exercise decreases depression and increases self-esteem, but did you know exercise can increase #brain…",2019-04-21 13:06:44,9,Rzb2008
24,"Savannah Redston, SPT",NUBouve,19,RT @NUBouve: Kudos to our Physical Therapy team for supporting the Boston Marathon again this year. Photo of Prof Dave Nolan (far left with…,2019-04-20 16:56:55,9,savannahr_SPT
25,Rick Gaeta DPT,NUBouve,32,RT @NUBouve: Kudos to our Physical Therapy team for supporting the Boston Marathon again this year. Photo of Prof Dave Nolan (far left with…,2019-04-20 02:58:57,9,docgaeta_dpt
26,john scannell,NUBouve,20,@NUBouve @DavidNolanPT This is great to see. The best helping the best. Dave is amazing.,2019-04-20 01:40:22,0,nursejohns
27,john scannell,NUBouve,20,RT @NUBouve: Kudos to our Physical Therapy team for supporting the Boston Marathon again this year. Photo of Prof Dave Nolan (far left with…,2019-04-20 01:37:50,9,nursejohns
28,Kristin Greenwood,NUBouve,50,RT @NUBouve: Kudos to our Physical Therapy team for supporting the Boston Marathon again this year. Photo of Prof Dave Nolan (far left with…,2019-04-19 22:30:58,9,Dr_KCGreenwood
29,David Nolan,NUBouve,326,RT @NUBouve: Kudos to our Physical Therapy team for supporting the Boston Marathon again this year. Photo of Prof Dave Nolan (far left with…,2019-04-19 21:18:05,9,DavidNolanPT
30,NUCityAffairs,NUCityAffairs,550,"RT @FriendsofBLA: The Spring BLAst, the fundraiser for @BostonLatinAcad  is happening Thursday!  https://t.co/nbY1CMYmKr https://t.co/H17Ps…",2019-04-24 09:55:06,5,NUCityAffairs
31,Johanna Brewer,NU_CAMD,884,If you missed my talk at @NU_CAMD last month on inclusive live streamers and the aesthetics of @Twitch... you can c… https://t.co/ylFaFOqVG2,2019-04-26 03:35:31,0,deadroxy
32,NortheasternCAMD,NU_CAMD,2204,RT @CAMDCoOp: Fantastic #Games student work at the Senior Show game design showcase! Come to Curry indoor quad to play some beautiful and f…,2019-04-25 22:59:28,2,NU_CAMD
33,Dr. Heidi K Feldman 🤯,NU_CAMD,321,Happiness is getting a shout out on the conference app. #Northeastern @NU_CAMD #dispatch #IAEDNAV19 https://t.co/T4GyFPEgmf,2019-04-25 19:30:27,0,Hkevoefeldman
