Name,Date,Likes,Comments,Captions
gonuathletics,03/31/2019 12:15,484,4,Not the way we wanted it to go  but we’re proud of our boys. Heck of a season.
gonuathletics,03/30/2019 12:24,277,0,• Championships
gonuathletics,03/29/2019 12:36,239,0,Best of luck to @gonuwrowing  which opens the spring slate at the Doc Hosea Invite on Saturday!
gonuathletics,03/27/2019 17:06,285,0,Saturday is right around the corner: so get your NCAA tournament tickets and register for the #HowlinHuskies pre-game reception! Head to NUHuskies.com/NCAA for more info
gonuathletics,03/25/2019 14:59,517,5,ICYMI: The #HowlinHuskies are heading to Providence to take on Cornell on Saturday at 4:30 p.m. on ESPNews in the @ncaaicehockey tournament!
gonuathletics,03/24/2019 3:41,882,2,CHAMPIONS! 
gonuathletics,03/23/2019 14:01,190,2,Best of luck to @gonuwswimming’s Megan Clark  who competes in the 100y freestyle at the NCAA Championships today!
gonuathletics,03/23/2019 0:37,643,1,Zach Solow’s overtime heroics have the #HowlinHuskies back in the Hockey East title game! See you all at TD Garden on Saturday night at 7pm!
gonuathletics,03/22/2019 16:02,269,0,Back to the Garden: the #HowlinHuskies and Terriers are set to collide in the Hockey East Semifinals on Friday afternoon!
gonuathletics,03/21/2019 23:55,779,3,Certainly not our day  but it doesn’t diminish what this group accomplished in 2018-19.
gonuathletics,03/21/2019 15:17,364,5,Today  we dance. #HowlinHuskies #MarchMadness
gonuathletics,03/21/2019 14:16,271,0,“You have to come to play  and we’re going to make sure we’re prepared to play.” Hey #HowlinHuskies fans  today’s the day! 
gonuathletics,03/21/2019 0:48,185,0,‪Feelin’ confident and right at home in Salt Lake City‬ ‪#HowlinHuskies | #MarchMadness ‬
gonuathletics,03/20/2019 19:09,745,4,A BUSY morning here at #MarchMadness  and the #HowlinHuskies are locked in and ready to go!
gonuathletics,03/20/2019 2:14,244,0,Travel day: ☑️
gonuathletics,03/19/2019 13:36,702,3,Next stop: Salt Lake City!
gonuathletics,03/19/2019 3:36,204,0,@gonuwbasketball is postseason bound during consecutive seasons for the first time since 1983 & 1984 - the #HowlinHuskies are headed to Butler on Thursday to contest the first round of the 2019 #WNIT.
gonuathletics,03/17/2019 23:28,805,16,@gonumbasketball is headed to Salt Lake City to face the Kansas Jayhawks on Thursday at 4 pm ET in the NCAA Tournament! #HowlinHuskies #MarchMadness
gonuathletics,03/17/2019 15:03,325,0,It's Selection Sunday! Join the #HowlinHuskies in the Curry Student Center today at 5 p.m. to find out where we're going dancing!
gonuathletics,03/17/2019 13:24,300,0,ICYMI: the #HowlinHuskies are heading back to the Hockey East Semifinals for the third time in the last four seasons!
gonuathletics,03/16/2019 20:40,610,3,Hit the ❤️ to congratulate @gonuwhockey on an incredible season. #HowlinHuskies
gonuathletics,03/16/2019 14:16,347,1,Austin Goldstein was the overtime hero for the #HowlinHuskies on Friday vs. Maine  helping us to a Game 1 win. We’ll go for the sweep Saturday at Matthews!
gonuathletics,03/16/2019 13:57,238,0,It’s an @ncaaicehockey Quarterfinal game day at Matthews Arena! Join the #HowlinHuskies for the first-ever women’s NCAA Tournament game at the old barn!
gonuathletics,03/15/2019 22:18,238,0,One final practice for @gonuwhockey ahead of Saturday’s @ncaaicehockey Quarterfinal at 1 p.m. Students  get your free ticket at the door with valid Husky Card! #HowlinHuskies
gonuathletics,03/15/2019 4:11,280,0,The postseason wins keep piling up for the #HowlinHuskies! Sixth-seeded @gonuwbasketball defeated third-seeded UNCW  75-64  during Thursday’s #CAAChamps quarterfinals to advance to its second semifinal as a league member (2016).
gonuathletics,03/14/2019 14:31,198,0,Students  get your free ticket to Saturday’s @gonuwhockey NCAA Quarterfinal game TODAY from 3-7 p.m. at Matthews Arena! Must bring valid Husky Card! #HowlinHuskies
gonuathletics,03/14/2019 11:33,750,5,Returning home #CAAChamps.
gonuathletics,03/13/2019 13:14,699,2,Get your dancing shoes on  #HowlinHuskies!
gonuathletics,03/13/2019 3:04,848,6,How’s the mood on Huntington Avenue?! We can’t wait to see everyone back on campus on Wednesday.
gonuathletics,03/13/2019 2:05,791,10,WE ARE DANCING!
gonuathletics,03/12/2019 15:12,217,0,🚨STUDENTS🚨
gonuathletics,03/12/2019 13:33,261,3,One. More.
gonuathletics,03/12/2019 4:23,551,3,Hey #HowlinHuskies  your thoughts on going BACK to the #CAAChamps title game? ⬇️ 📸: @modoonophoto
gonuathletics,03/12/2019 3:14,419,2,Back in the CAA Championship! #LEGGO
gonuathletics,03/11/2019 23:42,191,1,Almost go time. 
gonuathletics,03/11/2019 13:44,156,1,The #HowlinHuskies were feelin’ it Sunday vs. UNCW.
gonuathletics,03/11/2019 2:01,375,0,Get ready @nudoghouse! For the first time in program history  @gonuwhockey will be hosting an NCAA tournament game! It’ll be Northeastern vs. Cornell on Saturday at Matthews Arena at 1 p.m. with a ticket to the Frozen Four on the line. #HowlinHuskies
gonuathletics,03/11/2019 0:01,404,1,Quarterfinals ✔️ On to the next for the #HowlinHuskies
gonuathletics,03/10/2019 22:51,581,3,What a day for the #HowlinHuskies! 🏆
gonuathletics,03/10/2019 20:35,913,13,The #HowlinHuskies are back-to-back Hockey East champions!!!
gonuathletics,03/10/2019 17:46,123,0,We all know what’s on the line. Time to go to work!
gonuathletics,03/10/2019 17:29,206,0,Go-time for @gonuwhockey at the Hockey East championship! Watch live on NESNplus at 1:35 p.m. #HowlinHuskies
gonuathletics,03/10/2019 13:54,233,1,The #HowlinHuskies got their reps in during practice yesterday in anticipation of Sunday’s #CAAChamps vs. UNCW!
gonuathletics,03/09/2019 22:11,234,2,No. 3 @gonuwhockey is on to the Hockey East championship game! Behind a 32-save effort from Aerin Frankel  the #HowlinHuskies edged Providence to move on to Sunday’s title match!
gonuathletics,03/09/2019 13:43,381,0,ICYMI: the #HowlinHuskies locked up home ice for the HEA Quarterfinals with a 4-0 win over UNH on Senior Night! @gonumhockey will host Maine next weekend - tickets available at NUHuskies.com/tickets
gonuathletics,03/09/2019 2:13,264,0,✅ Coach of the Year ✅ Goaltender of the Year ✅ Rookie of the Year! What a night for @gonuwhockey at the Hockey East postseason awards banquet! #HowlinHuskies
gonuathletics,03/09/2019 1:55,118,1,Travel Day: ☑️ The #HowlinHuskies have arrived in Charleston and are dialed in for the #CAAChamps!
gonuathletics,03/08/2019 17:44,168,2,Congrats to this duo from @gonumbasketball on their All-Conference honors!
gonuathletics,03/08/2019 5:09,186,1,@gonuwbasketball freshman Kendall Currence recorded a career high  five steals  during the #HowlinHuskies’ 75-71 come-from-behind win on Thursday at William & Mary. NU clinched the No. 6 seed in the 2019 #CAAChamps and will open the postseason in the quarterfinal round on Thursday  March 14  at 7:30 p.m.
gonuathletics,03/06/2019 20:08,172,1,Congratulations to @gonuwswimming’s Megan Clark  who is heading back to the NCAA Championships!
gonuathletics,03/05/2019 19:38,164,0,#Repost @gonubaseball with @get_repost
gonuathletics,03/03/2019 23:07,308,1,@gonuwbasketball senior point guard Jess Genco saved her best offensive performance for her last regular season game at Cabot Center  offloading a career high  35 points  during the #HowlinHuskies’ 81-69 Senior Day win. The Gen-🐐 achieved the eighth highest scoring game during program history.
gonuathletics,03/03/2019 14:39,327,0,ICYMI: Four different goal scorers and 4️⃣1️⃣ saves from Cayden Primeau gave the #HowlinHuskies a BIG response victory on Saturday vs. BC  4-2
gonuathletics,03/02/2019 23:41,261,0,No. 3 @gonuwhockey is on to the Hockey East semifinals after a 1-0 win over Vermont on Saturday! Senior Kasidy Anderson scored the only goal for her 100th career point  and head coach Dave Flint earned his 200th win at Northeastern in the process! #HowlinHuskies
gonuathletics,03/02/2019 23:12,301,3,This guy went over 1 000 points in his two year NU career  the two seed is locked down and the Huskies gave back-to-back 20 win seasons for the first time since 85-86/86-87!
gonuathletics,03/02/2019 22:32,205,1,This  this  all of this. @gonuwhockey is onto the WHEA Semis!
gonuathletics,03/02/2019 0:23,319,1,Too. Much. Firepower. Seven different #HowlinHuskies found the back of the net on Friday as No. 3 @gonuwhockey skated past Vermont in game one of the Hockey East quarterfinals!
gonuathletics,03/01/2019 16:25,281,6,Good luck to @gonuwvolleyball’s Athena Ardila  who will participate in the 2019 U.S. Women's National Team open tryouts this weekend! 
gonuathletics,03/01/2019 2:41,236,0,@gonumbasketball will be the No. 2 seed in the CAA tournament after a 75-64 win at Delaware on Thursday! The #HowlinHuskies wrap up the regular season on Saturday at Drexel and still have a chance to clinch a share of the CAA regular season crown.
gonuathletics,02/24/2019 15:02,356,0,ICYMI: 23 stops from Primeau  two goals from Griffin  four points from Davies and the 💯th career point for Hawkins all added up to a 6-0 victory at UNH on Saturday!
gonuathletics,02/23/2019 21:11,398,1,Senior Day W. 
gonuathletics,02/23/2019 17:14,253,1,It's the final day of competition here at the CAA Championships. Don't forget to catch all the action LIVE on CAA.tv!
gonuathletics,02/23/2019 16:05,341,0,ICYMI: Liam Pecararo’s four-point night  including his first collegiate hat trick  five unanswered goals and 33 saves from Cayden Primeau gave the No. 12/13 #HowlinHuskies a 6-3 victory on the road at New Hampshire on Friday night at the Whittemore Center.
gonuathletics,02/23/2019 0:06,311,1,It’s a senior day shutout for Brianna Storms as No. 3 @gonuwhockey silences Merrimack at Matthews! #HowlinHuskies
gonuathletics,02/21/2019 16:32,298,0,Huge congratulations to @gonuwhockey freshman Alina Mueller on being named a top-10 finalist for the Patty Kazmaier Memorial Award! Alina is the first freshman in program history (and 8th player overall) to be named a top-10 finalist for the most prestigious individual award in the sport.
