UserName,UserID,Followers,Biography,Followees,FullName
nuadmissions,1081224653,3200,A glimpse into our undergraduate experience. Managed by The Office of Undergraduate Admissions at Northeastern University.,86,Northeastern Admissions
gonuathletics,1394844468,7084,The official Instagram home of Northeastern Athletics. #HowlinHuskies,1117,Northeastern Huskies
nubouve,7125158717,718,Training the next generation of interprofessional healthcare leaders at Northeastern University,116,@NUbouve
nucityaffairs,1594422413,300,Northeastern City & Community Affairs,416,NU City & Comm Affairs
khourycollege,1738719038,786,Northeastern University Khoury College of Computer Sciences 🐾🖥️,93,Khoury College
nucoe,525447349,1092,Located in Boston  the College of Engineering at Northeastern University offers cutting-edge research and one of largest co-op programs in the world.,59,NU College of Engineering
northeasterncos,349758142,1251,The College of Science at Northeastern University in Boston offers programs in physical sciences  life sciences  and mathematics.,100,NU College Of Science
nu_business_club,6716945252,1708,,11,🅽🆄 BusinessClub
neuwomeninfinance,8971020869,266,Our initiative is an effort to empower  support and mentor our women students exploring careers in finance.,39,Northeastern Women in Finance
northeasternhro,6687487496,34,Founded Fall 2017 at Northeastern University 🌎,4,NU Human Rights Organization
northeasterngeo,952661167,2779,🌎Study Abroad
🗺Dialogue of Civilizations
✈️Global Co-Op support
Tag #NUgoesglobal for a chance to be featured! 
Dialogues are open  check the site,3311,NU Global Experience Office
clubsnell,360582245,965,The intellectual hub of Northeastern University and beyond.,214,Snell Library
northeasternpd,1491469115,2876,This is the official Instagram page for the Northeastern University Police Department (NUPD) in Boston  Massachusetts.,3,Northeastern Police Department
nu_hrl,1521177963,609,Take the LLC Quiz! http://ow.ly/aLgS30arSc5,180,Northeastern Housing & ResLife
nu_slearning,1662313268,522,Official Instagram of Northeastern's Service-Learning Program!
#nuservicelearning #service #engagedhuskies,402,NU Service-Learning
northeasternsga,1566031252,955,🐾 Northeastern University’s Student Government
📍 Boston  MA
📩 Contact via DMs or our website
〰️
👇 Website & other links below!,190,Student Government Association
nucareeradvance,1435105865,777,Guiding @NorthwesternU students to discover their passions and launch their careers. Go ‘Cats.🐱 Go Careers! 💼 #GoCatsGoCareers #InternsofNU,193,NU Career Advancement
nu_uhcs,5507514377,64,University Health and Counseling Services (UHCS) is a resource for student health care needs throughout your experience at Northeastern.,46,Northeastern UHCS
northeastern,4558614,41304,A global  experiential  research university. Share your #NUexperience.,88,Northeastern University
