Position Title,Requisition Number,Division/College,Interdisciplinary Division/College,Location,Full-time_Part-time,Grade,Posting Date,Responsibilities,Qualifications,Additional Information
"Administrative Assistant, Program Design",STFR005443,Global Experience Office,Not Applicable,Boston Main Campus,Full Time,51,04/19/2019,"Global Experience Office Overview:
The Global Experience Office (GEO) is a central office of global education at Northeastern University, committed to ensuring that every Northeastern student has an opportunity to engage in intellectually challenging and culturally enriching experiences throughout the world. To achieve this, GEO partners with Northeastern colleges and units to integrate global experiences into their curricula and to enhance their capacity in operating global programs. GEO’s own signature programs are carefully designed and operated to complement students’ on-campus studies, to deepen students’ knowledge of the world and their chosen field of study, develop intercultural and political sensitivity, utilize and strengthen foreign language skills, and help students explore global career options. Through these programs, GEO facilitates global experiences for over 2,700 NU students and 200 additional foreign incoming students.
With supervision from the Special Assistant & Project Manager, the GEO Administrative Assistant, Program Design serves as one of the main points of contact for the GEO office, actively liaising with the colleges, external departments, and international visitors. This position requires sound judgment in responding to inquiries as appropriate and connecting the inquirer with the applicable Program Development Manager/Curriculum Integration Manager. The GEO Administrative Assistant, Program Design must have exceptional organizational skills and the ability to balance a high volume of details across various types of evolving short term and long term global experience programs. The GEO Administrative Assistant, Program Design is responsible for coordinating program design activities and visitors (including space reservations, email invitations, assisting with agenda-setting, recording minutes, and processing food orders), and also assists with researching global partners for program design.
The GEO Administrative Assistant, Program Design is often the first GEO team member with whom liaisons from the colleges and international partners interact, and therefore plays a critical role in creating an office atmosphere that is responsive to their needs by exhibiting a welcoming and helpful disposition, and having a broad knowledge and understanding of the GEO office and programs.","•	Associate’s Degree plus 3+ years of related work experience required, Bachelor’s Degree plus 1+ years of university-level study abroad office experience preferred.
•	Previous experience studying abroad at the undergraduate level or time living abroad.
•	Must have demonstrated flexibility and ability to adapt to a varying range of needs. 
•	Exceptional time management, multitasking, organizational skills, and attention to detail. 
•	Strong interpersonal, oral, and written communication skills. 
•	Ability to interact with study abroad program representatives, faculty, and students in a highly professional manner with an understanding of protocol and confidentiality. 
•	Dependability is essential.
•	Must be able to maintain a high level of confidentiality.
•	Proficiency in Excel and other Microsoft Office software is required. Comfort with learning new systems and software is required. Familiarity with Salesforce and Terra Dotta is preferred.
•	Ability to work both independently and as a member of a team.
•	Must effectively represent the University to outside institutions and universities.",
NUin Program Liaison,STFR005267,Office of the Chancellor,,Remote,Part Time,10,04/18/2019,"This position is a non-benefits eligible, short-term commitment with full work days internationally for the Fall 2019 semester (dates vary by location). This on-site position also requires attendance at a mandatory training period in Boston, Massachusetts for the full month of June 2019.
The N.U.in Program is a unique opportunity for freshmen accepted for Spring Admission to Northeastern University. Students study at one of our N.U.in international partner institutions during the Fall semester and enter Northeastern University in the Spring. Partner universities or institutions abroad provide academic courses to the participants while N.U.in staff provide on-site leadership and support services.
We are hiring a N.U.in Program Liaison for each N.U.in program location. The N.U.in on-site staff support the physical, emotional, social, and academic needs of first-year students. These staff members, in addition to support staff at the host institution, focus on creating positive and valuable experiential learning for students in their academic coursework, host city, and student residences. Site staff work non-traditional hours to ensure the safety and wellbeing of students. Program Liaisons supervise a team of International Coordinators. Site staff enthusiastically embody the mission and values of The N.U.in Program and Northeastern University while working and living in close proximity to first-year students.
The N.U.in Program Liaison will support all facets of the N.U.in Program at one of our  N.U.in locations.
Position responsibilities include, but are not limited to: 
•	Ensure and track quality and diversity of academic and social programs during evening and weekends
•	Encourage student academic success, responding to student concerns and connecting students to on-site academic, medical and mental health resources 
•	Act as the primary point of contact for student and staff safety and security during crises and manage escalated emergencies for the duration of the N.U.in program
•	Serve as a Northeastern University student conduct hearing officer for the N.U.in Program student conduct cases
•	Supervise, support, and evaluate a team of International Coordinators in all aspects of their professional development and needs
•	Serve as a liaison with staff and faculty from the host institution and Northeastern University staff in Boston through regular meetings and written reports
•	Serve as an event coordinator and liaison for Northeastern guests during site visits
The N.U.in Program Liaison will work collaboratively to ensure the safety and wellbeing of students and contribute to the development and overall success of the program. Responsibilities may vary based on site placement.","This highly demanding position requires a significant amount of patience, flexibility, assertiveness, diplomacy, self-initiative, as well as substantial experience living abroad and working in fast-paced and ambiguous environments.  
•	Master’s Degree required in relevant field such as Higher Education, International Education or Student Development
•	Minimum 4 years of demonstrated student service experience or higher education experience in a residence life or student affairs capacity
•	Experience with supervision, leading teams and managing diverse groups of staff
•	Experience living, working, or studying abroad
•	Experience working closely with high school or undergraduate students (in a counselor, residence life, student affairs, or related role)
•	Experience with crisis management, mediation, and conflict resolution
•	Flexibility and demonstrated ability to excel in fast-paced environments, navigate ambiguity and take actions that satisfy diverse interests
•	Proven ability to coordinate and manage events for large groups with enthusiasm and attention to detail
•	Experience with budget reporting 
•	Proven ability to work well under challenging conditions, demonstrate sound judgement, and take actions that satisfy diverse interest while achieving programmatic goals
•	Fluent in English
•	Must have the ability to obtain and maintain any required work authorization for the duration of your appointment and work location assignments
•	Location/area expertise and local language proficiency preferred (if applicable)
At Northeastern University, we strive to create a vibrant and diverse community, characterized by collaboration, creativity and an unwavering commitment to excellence. Our core mission is to educate students for a life of fulfillment and accomplishment and to create and translate knowledge to meet global and societal needs. We seek accomplished staff to help us advance this mission.","This position is a non-benefits eligible, short–term commitment, with full work days in Boston, Massachusetts and internationally (exact dates may vary by location).
Attendance at educational sessions held in Boston, Massachusetts for the full month of June is required.
Site staff international assignment decisions are made throughout the Spring. Our aim is to build a team for each N.U.in program location that will work well together to fulfill the mission of the university, and as such location assignments are subject to change based on the needs of the N.U.in program. Cultural and language experience in the regions we operate and location preferences are considered. Careful attention is given to each individual’s skills and experience. The N.U.in Program seeks individuals who have the personal and professional flexibility to succeed at any of our 2019 N.U.in program locations.
A criminal background check is required for this position."
Assoc Dir - Payroll Services,STFR005440,Human Resources Management,,Boston Main Campus,Full Time,14,04/19/2019,"The Associate Director for Payroll Services at Northeastern University reports to the Director for HR Operations Services and is responsible for leading payroll and tax services and performance outcomes for this function within Human Resources Management.  Responsible for two direct reports (leads in payroll and tax services) and associated teams and performance outcomes; will oversee and ensure necessary systems, processes, audits and controls are established to support a large and highly-complex, growing, global-focused organization.  Ensures all funding and reporting deadlines are met.  Delivers exceptional, high-touch customer care and responsiveness; develops and reports on key metrics and drives performance against service level agreements (SLAs).","Education:
•	Bachelor’s degree in related field – Finance, Accounting, Human Resources, Business, required.  
•	Master’s degree, preferred
•	Certified Payroll Professional (CPP), required and must be maintained.  (Note: if not present at time of hire, will be required to attain within the first 12-18 months in role)
Relevant Experience:
•	 6 – 8 years of expierence in payroll administration experience required, with a minimum of 3-5 years of leadership experience, strongly preferred.
•	Must have relevant experience in large, complex, multi-state environment.  Higher-education, healthcare, or other large, complex industry experience, strongly preferred.  Canada and/or other non-domestic experience, strongly preferred.
•	Experience with non-resident alien tax issues and treaties and the annual tax filings.
•	Experience with payroll system implementations, system enhancements and/or conversions, and implementing audits, controls, metrics dashboards and service level agreements (SLAs)
•	Successful leadership of high-performing teams; highly skilled in performance management including individual and team development, training, coaching, improved morale
•	Demonstrated success developing and implementing successful projects, policies to drive compliance and business optimization of systems.",A criminal background check is required for this position.
Director of Learning Experience Design,STFR005441,Office of the Chancellor,,Boston Main Campus,Full Time,13,04/19/2019,"The Director of Learning Experience (LX) Design will serve as a leader in evidence-based, best-in-class learning experience design for the Lifelong Learning Network and the broader mission of Northeastern University. This individual will oversee general operations of the OEL Instructional Design team and be responsible for the mentoring and management of staff, to serve as a voice of innovation and to support the efforts of his/her team to design and develop captivatingly rich, learner-centric learning experiences, from non-credit learning modules to full academic course experiences. He/she will develop appropriate professional development opportunities and process enhancements for team and individual growth.
The Director will supervise Senior Instructional Designers / Team Leads who each supervise small teams of full-time staff. In addition to full-time staff, the Director will also be responsible for day-to-day management and operations with outside eLearning firm(s); this work encompasses scoping and managing project creep, tracking to budget, and providing feedback on a regular basis to ensure ongoing smooth operations and forward momentum. In addition to supporting the vendor work, the Director will be tasked with supporting the Senior Director in establishing a national contractor network, (“the Network”), and will have day-to-day management and operational responsibilities in support of that body of work, including overseeing the OEL staff responsible for training/onboarding, and providing ongoing feedback and mentoring to both Network members and internal full-time who are tasked with overseeing and managing projects with Network members.
This position reports and works in close collaboration with the Senior Director of Experiential Learning Design & Product Development.
This person will be responsible for and/or demonstrate the following skills or experiences:
•	In collaboration with peers, leadership and in consultation with designers, manage the instructional design team to ensure timely completion of design and learning experience projects, while maintaining a high quality end product. Proactively implement needed updates, changes, upgrades as necessary to ensure the design process is on the cutting edge of best practices in online course development in higher-education and supports the mission and goals of LLN and NU. 
•	Provide strong project management skills to ensure appropriate resource allocation and the on-time design, development and launch of programs and courses in market.
•	Engage and foster relationships with faculty and campus community. Trouble-shoot issues as they arise at any point in the program development process.
•	Experience with instructional design approaches, evidenced-based design and experiential learning approaches for online (design, development skills, knowledge and application of evidence-based approaches, research and trends).
•	Demonstrate strong interpersonal communication skills, enthusiasm, positive attitude, ability to communicate with peers and colleagues around difficult and challenging discussions in an objective and proactive manner
•	Develop with team and leadership innovate systems for monitoring academic quality, student engagement and student success in assigned programs.
•	Engage and foster relationships with faculty and campus community. Trouble-shoot issues as they arise at any point in the program development process.
•	Working closely with faculty training and support team, identify and support faculty development needs.","This position requires a Master’s degree in Instructional Design, Educational Psychology or a related field and or demonstrated equivalent work experience. Background in a traditional academic discipline with specialization on the field of online design preferred although professional experience can be an equivalent. The candidate must have a minimum of 5 years’ experience in higher education with a track record of innovation with learning technologies and an understanding of learning science principles and technology trends. He/she must be able to work strategically with many constituencies, peers, faculty, students, campus administrators and leadership etc. Teamwork and strong organizational and interpersonal skills are essential. He/she must have the ability to thrive in a fast-paced environment; and ability to understand the online design processes. A thorough knowledge and experience with best in class approaches to online learning required.",
Director of Product Development & Media Design,STFR005442,Office of the Chancellor,,Boston Main Campus,Full Time,13,04/19/2019,"The Director of Product Development and Media Design will serve as a senior member of the learning experience design community at Northeastern. This individual will serve as an early thought leader and contribute to the initial vision of new learning products, especially wherein digital media and video apply. In some cases, the director will lead projects through initial rounds of development sprints while building or bringing together the appropriate product team to support the vision and goal of a product long term.
The successful candidate will provide creative direction and leadership, inspiring high-performing creative teams to create and implement innovative concepts and models of experiential online learning with strong innovative digital media strategies; cementing Northeastern’s role as a leader in this field. This individual will oversee general operations of the OEL Multimedia team and be responsible for the mentoring and management of staff, to serve as a voice of innovation and to support the efforts of his/her team to design and develop captivatingly rich, learner-centric learning experiences, from non-credit learning modules to full academic course experiences. He/she will develop appropriate professional development opportunities and process enhancements for team and individual growth.
This position involves collaboration with academic leaders, faculty, and industry partners and works cross functionally across the OEL team and Northeastern University playing an active role with tasks that are vital to successful design, creation, and implementation of innovative media projects for online learning products and digital learning experiences. In addition to functional leadership responsibilities, the Director of Product Development and Media Design will work collaboratively with the other senior product team, directors, instructional designers, multimedia staff, and quality assurance professionals to support and enhance their output adding richness and publisher-quality content and illustrations of their work.
The Director will supervise Senior Multimedia Developers / Team Leads who each supervise small teams of full-time staff. In addition to full-time staff, the Director will also be responsible for day-to-day management and operations with outside eLearning and media creation firm(s); in collaboration with the project management team, this work encompasses scoping and managing project creep, tracking to budget, and providing feedback on a regular basis to ensure ongoing smooth operations and forward momentum.
In addition to supporting the vendor work, the Director will be tasked with establishing a contractor network, (“the Network”), and will have day-to-day management and operational responsibilities in support of that body of work including providing ongoing feedback and mentoring to both Network members and internal full-time who are tasked with overseeing and managing projects with Network members.
This position is a member of Senior Product Team and reports to the Senior Director of Experiential Learning Design & Product Development.
This person will be responsible for and/or demonstrate the following skills or experiences:
Creative Direction:
·	Develops creative, innovative, and cost effective design strategies that meet product vision & media 
	requirements, utilizing project experience, current market trends, competitor intelligence, and innovative 
	thinking.
·	Leads and inspires high-performing creative teams to deliver insights-driven strategy, ideation, 
	conception, development, execution, and delivery of creative media assets & learner experiences.
·	Monitors progress of ongoing creative design projects; provides guidance and leadership to media 
	design teams ensuring high quality standards in all creative media design and learner experience 
	deliverables.
Operational Excellence:
·	Engage and foster strong relationships with academic and industry stakeholders;  
	collaborates with college partners across the University to ensure project needs are met, stay within
	scope, budget, timeline and high quality standards.
·  Collaborates with Project Management team to ensure that timelines, deliverables and resource
	allocations are adhered to, and ensure the production feasibility of designs.
·	Supports profitability efforts by encouraging and actively enabling innovation, creativity, and cost
	efficiency through all creative media design creation and learner experience projects.
·	Leads ‘post-mortem’ project review sessions for assigned clients; utilizes information from review
	sessions to recommend best practices for design strategy, concept creation, visual innovation,
	message delivery, and execution.

Employee Mentorship
·	Manage the multimedia team to ensure timely completion of design and learning experience projects, 
	while maintaining a high quality end product. Proactively implement needed updates, changes, 
	upgrades as necessary to ensure the design process is on the cutting edge of best practices in online 
	course development and media design in higher-education and supports the mission and goals of LLN 
	and NU.
·  Focuses the team’s efforts on achieving SMART objectives and goals aligned with OEL & NU Strategic 
	Imperatives; acknowledges employees’ efforts and rewards results.
·	Sets high and clearly defined standards for direct reports; provides current, objective, and complete 
	positive and constructive feedback.
·	Drives organizational change that aligns to strategic vision; demonstrates adaptability and fosters an 
	environment that encourages open mindedness and flexibility in the face of ambiguity and change.
·	Serves as a coach and mentor; provides coaching and feedback on specific skill development and 
	encourages employees to pursue upward and lateral growth opportunities to enhance expertise and 
	drive career development.
•	Manage the multimedia team to ensure timely completion of design and learning experience projects, while maintaining a high quality end product. Proactively implement needed updates, changes, upgrades as necessary to ensure the design process is on the cutting edge of best practices in online course development and media design in higher-education and supports the mission and goals of LLN and NU.
•	Experience with instructional design approaches, evidenced-based design and experiential learning approaches for online (design, development skills, knowledge and application of evidence-based approaches, research and trends).
•	Demonstrate strong interpersonal communication skills, enthusiasm, positive attitude, ability to communicate with peers and colleagues around difficult and challenging discussions in an objective and proactive manner.","-Minimum of 10 years of experience in higher education with a track record of innovation with learning technologies and an understanding of online multimedia dynamics, learning science principles and technology trends.
-Ability to design, develop, and implement high-quality video, graphic, and user-interface designs for Web-based learning platforms. 
-A high level of fluency and comfort with both front-end design processes and back-end site architecture.
-Ability to perform a thorough needs analysis for target audience and suggest specific design strategies and technology options appropriate to the needs of that audience.
-Ability to work strategically with many constituencies: students, faculty, program managers, directors, deans, and program support staff. 
-Teamwork and strong organizational, leadership and interpersonal skills are essential. 
-Ability to thrive in a fast-paced environment and ability to understand the online design processes. 
-A thorough knowledge and experience with best in class approaches to online learning is required.",
Postdoctoral Research Assoc,STFR005287,College of Science,,Boston Main Campus,Full Time,10,02/19/2019,"Postdoctoral Research Associate: Computational Chemistry.  The Lopez group (Northeastern University) seeks an enthusiastic postdoctoral researcher to use their theoretical chemistry background to solve problems in green chemistry and renewable energy. The candidate should have a strong background in theoretical chemistry and or organic chemistry with experience in managing collaborative efforts with experimentalists. The main focus of the research will be to elucidate the mechanisms of light-promoted pericyclic cascade reactions. The candidate should be familiar with single-reference and multireference (CASSCF and or RASSCF) computations on molecular ground- and excited-state structures to deepen the understanding of electronic transitions in organic substrates and the role of substituent effects on reactivities and selectivities. The primary responsibility of the postdoc is to perform and communicate the research. It is expected that the postdoc will contribute to research grant proposals, write manuscripts, and mentor graduate and undergraduate students. The appointment is for one year and may be extended pending regular progress evaluation.","Ph.D. in chemistry, theoretical, data science or related field; strong technical expertise and demonstrated independence in the design and theoretical characterization of organic and or organometallic ground- and excited states, including reaction mechanism determination. The ideal candidate will have excellent communication skills, familiarity with python, and proven track record of mentorship of undergraduate and graduate students.
How to apply:  Applications should contain a cover letter briefly describing candidate’s background and specific research interests, a full CV with a publication list, Ph.D. completion date, and the names and contact information for three references who might be contacted for recommendations. Review of applications will begin immediately.
The position will be available starting immediately, and the appointment will be for one year, renewable for an additional 1-2 years, depending on continuation of funding.",
HR Coordinator,STFR005436,Office of the Chancellor,,Boston Main Campus,Full Time,9,04/18/2019,"The Human Resources Coordinator executes HR transactions and provides HR operations support across all the division’s human resources activities, including but not limited to recruitment, onboarding, training, and performance management. This position provides critical administrative and clerical support to the divisional HR team, including personnel transactions, file and record maintenance, and report preparation. The Coordinator processes and facilitates a wide variety of hiring, onboarding, and off-boarding tasks for full-time, part-time, temporary, and contract employment for the division. The Coordinator answers inquiries from managers and staff, directs employees to resources, and helps resolve problems, working as the primary liaison with HRM Operations. S/he is charged with troubleshooting and proactively resolving issues, creating process documentation for routine transactions, and establishing and improving HR procedures and processing.
The HR Coordinator participates on team projects assigned by his/her manager and performs special projects at the manager’s request. As a member of the HR team, the incumbent provides excellent customer service, responding to initial employee inquiries and escalating where appropriate. S/he must be detail-oriented, able to communicate professionally, and maintain a high level of confidentiality.","•	Bachelor’s degree required
•	1-2 years of professional human resources experience required
•	Ability to handle a high level of sensitive and confidential employee information, maintaining confidentiality and exercising discretion at all times
•	Excellent written and verbal communication skills 
•	Strong proofreading, attention to detail, and follow through skills are essential 
•	Strong organizational and time management skills, with the ability to manage multiple priorities
•	Demonstrated accuracy, thoroughness, and quality of work
•	Must demonstrate a proven ability to effectively work with competing priorities and a diverse set of customers/clients, with a strong team-orientation and flexible approach to work
•	Advanced MS Office proficiency, including spreadsheet, database, presentation and research skills",
Administrative Coordinator,STFR005433,Bouve College of Health Sciences,,Downtown Boston Campus,Part Time,9,04/17/2019,"The Administrative Coordinator will report directly to the Director of the Doctor of Philosophy (PhD) in Nursing  Program and the Director of the Doctorate of Nursing Practice (DNP) program.  Duties will include management, support, and independent activities to provide efficient operation of the PhD/DNP Programs.  The individual will function as a team member in conjunction with faculty, students, administration, and staff.  The Administrative Coordinator will oversee the internal operations of these programs and will establish and maintain administrative systems to ensure efficient functioning of these doctoral programs within the School of Nursing. The person will enable the Directors to maintain broad oversight of constituent business related to students, faculty, practice partners, and alumni affairs. Other activities include but are not limited to coordinating admissions, progression in the program, and graduation activities by interfacing with other units within the university. In addition, this person supervises work study students and graduate assistants.  S/he will provide assistance to students for scholarship applications and maintain their confidential materials.  The primary objective of this position is to assist the School of Nursing in fulfilling its mission and achieve its goals.","Associate’s Degree or post High School education with 3-5 years of professional administrative experience required. Bachelor’s Degree preferred.  Higher education experience a plus and/or experience working in a large organization or company interfacing with many departments. 
Technical skills: Must be proficient with advance computer knowledge, and competent in using office equipment such as copiers, scanners, fax and multi-line phone. Be efficient in using Microsoft Word and Excel with 2 or more years’ experience with additional program and application systems.
Organization skills: must have excellent organizational skills and be able to prioritize with multiple tasks and can work independently. Due to the varying levels at which this role must operate, self-direction, flexibility, a hands-on approach, project management and the ability to manage several initiatives and tasks simultaneously are critical for success.
Interpersonal skills: Should possess excellent communications skills, including verbal and written with editing experience. Must possess exemplary customer service orientation and demonstrate the ability to communicate at all professional levels.",Criminal background check is required.
Research Assistant,STFR005437,Bouve College of Health Sciences,,Boston Main Campus,Full Time,9,04/18/2019,"The Speech and Neurodevelopment Lab, in the Bouvé College of Health Sciences at Northeastern University, Boston, MA (http://nuweb9.neu.edu/snl/), under the direction of Dr. Emily Zimmerman, is seeking a research assistant. This is a benefits-earning position that requires a minimum 1-year commitment. The research assistant’s duties include recruitment and scheduling of infants, testing of infants in the lab as well as at off-campus sites (daycare centers, homes), data management and database maintenance both in the lab setting as well as across data centers in Puerto Rico.
Please include a cover letter describing your research experiences and career goals, CV, and 2-3 references with contact information (phone number and email address) for each of the referees.
Review of applications will begin immediately with the goal of filling the position sometime in June or July, 2019.","The successful candidate will have a bachelor’s degree in speech-language sciences, psychology, or related field, and some prior research experience. Strong computer and managerial skills are essential. In addition, the successful candidate must be highly attentive to details, have excellent interpersonal skills, be capable of working independently as well as with others in a complex, demanding, and exciting research environment, and must enjoy interacting with infants and their parents.",
Administrative Coordinator,STFR005438,"College of Arts, Media and Design",,Boston Main Campus,Full Time,9,04/18/2019,"The CAMD Administrative Coordinator is responsible for developing effective systems for managing the Associate Deans’ and Assistant Deans’ administrative and operational needs and for providing planning and oversight for the entire CAMD Dean’s Office.
Undertake and manage special projects in the Dean’s office.  Provide direct support for Associate Deans and Assistant Deans for both reoccurring and short term projects.  Projects can include, but are not limited to, analyzing data and preparing reports. Providing high level documentation preparation (e.g. spreadsheets, PowerPoint presentations, and templates).  Assisting with communication drafts.  Assisting the Tenure and Promotion process by compiling information from TRACE reports and proof reading dean letters.  Responsible for sending and tracking all contracts to part-time faculty.
This person will serve as the Dean’s office financial officer by managing/monitoring the $1M Dean’s Office budget/spending; tracking expenses through Concur and expense reconciliations; serving as the Dean’s Concur proxy; completing monthly budget tracking reports; executing contracts, purchase orders, and payments to vendors; prepare periodic reports to brief associate deans on departmental budget issues.
Provide a comprehensive range of duties to ensure overall efficiency of daily operations in the Dean’s Office, including meeting logistics, contact and department coverage lists, College email, and assisting with Dean’s Office communications. Responsible for coordinating with IT in resolving technical/computer/phone issues and coordinate the use of Dean’s Office conference rooms. Responsible for managing and maintaining office supplies and equipment, as well as overall office maintenance (ordering, repairs, clean–up of all common areas in office which could require collaboration with facilities department). Provide administrative back-up support to Dean in the absence of Special Assistant/Project Manager. Will be responsible for ensuring consistent front desk coverage.
Person will oversee all aspects of the Dean’s Office events including space reservations, menu selections, publicizing events via methods such as social media and posters, managing all necessary AV needs, Risk Management, University Counsel, and various vendors.  Person will work alongside the Marketing Coordinator on larger college events, such as, CAMD graduation and VIP events. Some evening and weekend hours will be required.
This person will have the responsibility of hiring and training staff of work-study students. This includes the recruitment and hiring process, training, and supervision to serve as the central communication resource for the office by providing customer service to NU community and public. This includes welcoming and assisting visitors, fielding incoming calls, sending messages and/or answering questions, and addressing any immediate concerns and problems.
The candidate must possess excellent verbal and written communication skills and do so professionally and effectively.  Manage relations with key constituents and communicate with the Dean, Department Heads and other Dean’s Office staff to delegate and/or follow-through on responsibilities as appropriate.","Bachelor’s degree required; masters preferred.  Minimum of 3-5 years of experience required, preferably in higher education or an executive setting.  Individual must have strong organizational, communication (both verbal and written), managerial and interpersonal skills. Must have project management ability, the ability to independently prioritize and manage tasks and demands along with excellent attention to detail.  Must have excellent computer skills and be proficient with Microsoft Office applications such as Word, Excel and PowerPoint.",This position requires a criminal background check.
