,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query
0,,,,,,,,,,,,computer vision
1,Jul ’11,Startup,https://angel.co/imrsv,New York City,Computer Vision,IMRSV,"
Emotion Recognition using Webcams
","$2,018,000",11-50,Acquired,imrsv.com,computer vision
2,Aug ’11,Startup,https://angel.co/gazehawk,Mountain View,,GazeHawk,"
Better display ads via eye tracking
",-,-,Acquired,gazehawk.com,computer vision
3,Aug ’11,Startup,https://angel.co/blue-river-technology,Sunnyvale,Computer Vision,Blue River Technology,"
Automatic weed elimination for agriculture as alternative to herbicides www.bluerivert.com
","$30,100,000",11-50,Series A,BlueRiverT.com,computer vision
4,Oct ’12,Startup,https://angel.co/waygo,San Francisco,Augmented Reality,Waygo,"
Instant, visual, mobile translation (by Translate Abroad)
",-,1-10,-,waygoapp.com,computer vision
5,Oct ’11,Startup,https://angel.co/matterport,Sunnyvale,Maps,Matterport,"
3D FOR THE REAL WORLD (www.matterport.com)
","$56,000,000",51-200,Series C,matterport.com,computer vision
6,Apr ’12,Startup,https://angel.co/dekko,San Francisco,3D,Dekko,"
World changing 3D Computer Vision for Wearables
","$5,100,000",1-10,-,dekko.co,computer vision
7,Nov ’14,Startup,https://angel.co/diffbot,Mountain View,Developer APIs,Diffbot,"
We structure the world's knowledge
","$10,000,000",11-50,,diffbot.com,computer vision
8,Jul ’12,Startup,https://angel.co/gumgum,Santa Monica,Computer Vision,GumGum,"
GumGum is an artificial intelligence company with expertise in computer vision.
","$36,825,000",51-200,,gumgum.com,computer vision
9,Jan ’12,Startup,https://angel.co/jumio,Silicon Valley,Payments,Jumio,"
Fast and Secure Payments
","$33,400,000",-,-,jumio.com,computer vision
10,Jan ’14,Startup,https://angel.co/viewdle,Palo Alto,Augmented Reality,Viewdle,"
","$13,500,000",-,Series B,viewdle.com,computer vision
11,Oct ’12,Startup,https://angel.co/prism-skylabs,San Francisco,Technology,Prism Skylabs,"
Disruptive video intelligence and analytics 
","$24,000,000",11-50,Series B,prism.com,computer vision
12,Jul ’12,Startup,https://angel.co/occipital,Boulder,Computer Vision,Occipital,"
Bringing spatial computing to everyday life
","$35,015,000",51-200,Series C,occipital.com,computer vision
13,Feb ’13,Startup,https://angel.co/rtf,Silicon Valley,Cloud Computing,Rising Tide,"
VC Firm single-mindedly focused on character, commitments and results.
",-,1-10,-,rtf.vc,computer vision
14,Jan ’12,Startup,https://angel.co/gazemetrix,Mountain View,Brand,Gazemetrix,"
Helping brands identify Image based social media risks and opportunities in real-time
","$140,000",1-10,Acquired,gazeMetrix.com,computer vision
15,Feb ’12,Startup,https://angel.co/metail,London,Retail Technology,Metail,"
Virtual fittingroom technology for fashion retailers
","$24,886,349",11-50,,metail.com,computer vision
16,Apr ’12,Startup,https://angel.co/triplelift,London,Native Advertising,TripleLift,"
Programmatic Native Advertising
","$16,625,000",51-200,Series B,triplelift.com,computer vision
17,Mar ’13,Startup,https://angel.co/ldv-capital,-,-,LDV Capital,"
 Investing in people building visual technology businesses with deep domain expertise
",-,1-10,-,ldv.co,computer vision
18,Mar ’14,Startup,https://angel.co/canary,New York City,Computer Vision,Canary,"
First Smart Home Security Device for Everyone
","$51,200,000",51-200,Series B,canary.is,computer vision
19,Dec ’13,Startup,https://angel.co/mapillary,Malmö,Maps,Mapillary,"
A platform for extracting map data from street-level images
","$24,550,000",11-50,Series B,mapillary.com,computer vision
20,May ’16,Startup,https://angel.co/scaleapi,San Francisco,Developer APIs,Scale AI,"
The API For Training Data
","$22,500,000",11-50,Series B,scale.ai,computer vision
21,Apr ’12,Startup,https://angel.co/kairos,Miami,Developer APIs,Kairos,"
State-of-the-art, ethical face recognition for developers and businesses worldwide.
","$2,900,000",11-50,Seed,kairos.com,computer vision
22,Aug ’12,Startup,https://angel.co/floored,New York City,Graphics,Floored,"
Interactive 3D Real Estate
","$6,300,000",11-50,Acquired,floored.com,computer vision
23,Aug ’12,Startup,https://angel.co/the-eye-tribe,Palo Alto,Computer Vision,The Eye Tribe,"
Eye Tracking for the Mass Market
","$4,100,000",11-50,Acquired,theeyetribe.com,computer vision
24,Jun ’13,Startup,https://angel.co/placemeter,New York City,Real Time,Placemeter,"
​Turns public video feeds into the first real time, structured data layer on locations
","$7,843,000",11-50,Acquired,placemeter.com,computer vision
25,Dec ’12,Startup,https://angel.co/mavrx,San Francisco,Agriculture,Mavrx,"
Using imagery and data to provide actionable insights to the global agriculture industry.
","$22,420,000",11-50,Series A,mavrx.co,computer vision
26,Dec ’12,Startup,https://angel.co/silverpush,Gurgaon,Artificial Intelligence,SilverPush,"
Artificial Intelligence driven advertising for video content
","$4,050,000",51-200,Series A,silverpush.co,computer vision
27,Dec ’12,Startup,https://angel.co/ogmento,-,-,Ogmento,"
","$15,047,451",11-50,Series A,,computer vision
28,Mar ’13,Startup,https://angel.co/meta-1,New York City,Augmented Reality,meta,"
Most advanced computer glasses in the cosmos
","$23,000,000",1-10,,meta-view.com,computer vision
29,Sep ’13,Startup,https://angel.co/blinkfire-analytics,Chicago,Visual Search,Blinkfire Analytics,"
Using AI and Computer Vision to optimize the sponsorship marketplace
","$900,000",11-50,,blinkfire.com,computer vision
30,Sep ’13,Startup,https://angel.co/radar,New York City,Retail Technology,RADAR,"
RFID & computer vision platform that automates and augments all retail store processes
","$5,830,000",11-50,Seed,goradar.com,computer vision
