"title","company","location","description","salary","link"
"Computer Vision Scientist/Engineer","Expedition Technology, Inc.","Dulles, VA","Computer Vision Scientist/Engineer

At Expedition Technology, we push the boundaries of what is possible every day. Our engineers collaboratively solve the toughest problems in Computer Vision, Digital Signal Processing, Image Processing and more using Machine Learning/Deep Learning. We are a research-focused company whose mission it is to solve our customer's most pressing needs creatively and with cutting-edge algorithms. The solutions we develop enable autonomous operation, improve intelligence and simplify how things get done. We're doing this by building the most talented, multi-disciplinary research and engineering development team possible.

Are you an experienced (mid to senior level) Computer Vision/Image Processing scientist or engineer? Do you enjoy working on hard problems in an environment that respects your independence and need for work-life balance? If so, Expedition might just be the right place for you.

Note: US Citizenship is a requirement for ALL positions. All employees at Expedition Technology must hold or be eligible to obtain a US Government Security Clearance of Top Secret or higher. Non-US Citizens are not eligible for this level of clearance.

Key Responsibilities
Apply technical workflows for image processing, detection and tracking, full-motion-video analysis, and object recognition
Adapt existing codes to process and visualize data, which may include framing imagery, electro-optic (E/O), thermal, Synthetic Aperture Radar (SAR), or LiDAR
Research and apply the latest machine learning/artificial intelligence methodologies for computer vision and image processing
Evaluate algorithm performance and develop modifications as needed
Develop applications that will efficiently process large data sets
Independently research available literature to fill in knowledge gaps and expand expertise
Prepare high quality graphics and technical briefings
Prioritize multiple tasks and complete technical milestones on schedule using agile development
Work both independently and with a team of scientists, engineers and software developers
Position Requirements
Due to security clearance requirements, US Citizenship is required for all of our positions.
An active TS/SCI US Government Security Clearance is highly preferred.
BS, MS, or PhD in electrical engineering, physics, mathematics, computer science, image science or closely related field. Advanced degrees highly desired.
Proficiency in Python/Numpy/Scipy, C/C++, or Julia development ; Python highly preferred
Desired Skills
We are seeking candidates with technical experience in several of the following topics: (need not have experience with all)
Scientific software development in one or more of Python/NumPy/SciPy, C/C++, or Julia; Python highly preferred
Algorithms and data structures relevant to efficient scientific software development
Experience with modern deep learning and probabilistic programming frameworks (TensorFlow, PyTorch)
Bayesian statistics and inference
Detection, tracking and estimation theory
Satellite or airborne image processing
Full motion video processing
Synthetic Aperture Radar (SAR) Processing
LiDAR data processing
Machine learning algorithms; deep learning experience with 2D and 3D Convolutional Neural Nets especially desired
Data fusion and image fusion
Image classification and/or automated target recognition
Spectral and geo-spatial image processing
EXP is proud to be an Equal Opportunity Employer that believes a diverse range of talent creates an environment that fuels creativity and innovation. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, disability, national origin, genetic information or protected veteran status.","",""
"Staff Computer Vision Scientist","WeWork","Palo Alto, CA","Research Scientist/Manager:
Computer Vision

Research & Applied Science @ WeWork

We are hiring computer vision scientist to learn how people interact with their physical environment.

WeWork Applications

Computer Vision is one of the critical technologies for making buildings smart. Leveraging computer vision technologies including object detection, recognition, tracking and 3D modeling, we not only make WeWork spaces more effective, efficient, and engaging, but also learn how people interact with spaces and with each other. Our projects include
People counting, tracking, and recognition;
Monitoring a construction site, understanding who works on what for how long;
Object and scene detection to support applications ranging from room booking to cleaning;
3D Reconstruction, point cloud data management, robot vision;
Augmented reality.
Roles & Responsibilities

We are looking for experienced (5+ years) researchers and engineers who are comfortable with a high degree of uncertainty, and are able to find the intersection between academic research and commercially available solutions. Responsibilities include:
Conduct research in the field of computer vision and machine learning.
Define applications and design end-to-end solutions.
Collect, cleanse and analyze large-scale datasets.
Prototype and productize systems.
Qualifications
M.S./PhD in Computer Science, or a related field, and a solid publication record
Strong coding skills in C++ and Python
Experience in developing and training neural network models.
Excellent written and verbal communication skills, ability to communicate effectively to both technical and nontechnical audiences.
Apply now!","","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=446743&s=149&guid=0000016a33fe5395805f4526b0415fa5&src=GD_JOB_VIEW&t=SRFJ&vt=w&cs=1_e881f18d&cb=1555650485477&jobListingId=3028752906"
"Vice President, Software Engineering","Kencast","Norwalk, CT","As a Vice President of Software Engineering, you will lead a team on specific projects critical
to our customers’ needs with opportunities to configure teams for projects as you and our fast-paced business
grow and evolve. We need our engineers to be versatile, display leadership qualities and tackle new problems
across the spectrum as we continue to push technology forward. We invite you to add to our extensive &
growing patented technology base.
• Design, develop, test, deploy, maintain and improve software and hardware.
• Manage individual project priorities, deadlines and deliverables.","",""
"Grok Code? Software Engineer Wanted!","Active911","Corvallis, OR","Active911, Inc. is looking for one or more super smart, hard working programmers who want to work on a team of brilliant people and help make the world a better place! You'll live and work in Oregon's Willamette Valley, 50 minutes from the Pacific Ocean and close to skiing, kayaking, and mountain hiking. The Pacific Northwest is green year-round besides being the micro brewery capital of the world and home to a lot of smart folks.

• Salaried, full time position
• Health insurance through PacificSource
• Gym Membership
• ~ 8 paid holidays per year
• 10-12 paid vacation days per year increasing at 1, 2, 5, 10, and 15 years
• Simple IRA retirement plan
• Relocation assistance

Some college is a plus, but a degree is not required. What we mostly care about is how smart you are, and what your work ethic / personality is like. We want someone who LOVES programming, who does it because it is fun and not because it is a job. Here's what you'll look like, as our ideal candidate:

• You program in your off hours, for fun. It's a hobby as well as a living.
• You probably have other hobbies that are technical or require creative craftsmanship
• Your friends and teachers all thought you were smart...
• ...AND you worked hard enough to get good grades
• You like learning new programming languages and are familiar with several of: C/C++,
Java, PHP, Perl, Javascript, HTML5/CSS, Ruby, SQL
• You're well rounded, probably enjoying music, hiking, or some other unrelated activity
• You probably had a lot of technical skills BEFORE you went to college
If you are passionate about programming with 2-3 years minimum experience, please apply. Note that this job is 100% onsite in Oregon - no remote work or work from home.

To Apply:

telnet://mcp.active911.com:9001

Please note that some work may be done for Nova Dynamics, as well as Active911, Inc. For more information about the two companies, please visit their websites.

Active911, Inc.---www.active911.com
Nova Dynamics---www.novadynamics.com","Employer Provided Salary:$50K-$80K","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=568770&s=58&guid=0000016a33fe5395be69dea8d82a0521&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_352cb51e&cb=1555650501032&jobListingId=3158335439"
"Embedded Software Engineer","SareKon Inc","Rochester, NY","Position

The Embedded Software Engineer will act as the principal for the firmware component of a hardware design. They will work in unison with the hardware design team to create firmware and test system functionality. This is a challenging long term project that covers all aspects of what you can do with a microcontroller, this is not for an inexperienced firmware developer to learn how things work.


Required proficient Skills:

-Expert knowledge of embedded software and firmware development, including C and C++.
-Ability to read schematics and debug digital hardware using oscilloscope, logic analyzer, or similar tools for troubleshooting.
-Expert knowledge integrating software and hardware using embedded data bus protocols, UART,SPI,I2C for Microchip PIC controller
-Experience parsing and assembling of packets for use over the serial data ports on a system that has no RToS. examples: assembling UDP packets, decoding GPS NMEA data strings, etc
-Proficiency with Ethernet TCP/IP network communication
-Expert level experience with Microchip embedded tools
-Must be able to learn a large amount of material in a short amount of time


Qualifications

Bachelor of Science in Computer Science, Computer Engineering, Electrical Engineering discipline along with 5+ years of relevant experience and/or the equivalent combination.

Demonstrated subject matter experience.

Candidates must be eligible to work in the United States.
*Note: We are not able to sponsor or transfer any visas at this time.","",""
"Embedded Software Engineer","ASM NEXX Inc.","Billerica, MA","Seeking an emerging software applications superstar that enjoys developing machine control software for semiconductor processing equipment.

This is not your 'every-day' software coding type of job! If you're looking for an exciting opportunity to get hands-on experience and work as part of an active agile software engineering team, this opportunity is for you! You'll have opportunities to get out into the customer sites and observe your coding and machine controls in action.

At ASM Nexx, you'll also have great mentoring opportunities while working under the direction of a principal software engineer. You'll create and implement distributed device level control software that enables high-speed motion control of multiple axes. Our semiconductor equipment is used by companies that are creating the next generation of devices for IoT, (Internet of Things), mobile phones, and other connected devices. These products incorporate a diversity of mechanical, fluid, vacuum, and automation subsystems, which enable high-speed wafer processing equipment. Our technology makes semiconductor devices smaller, faster, and more power to improve the quality of lives. Come join us and build your future!

Primary Functions:
Develop software that incorporates state-of-the-art control software, connected together with factory integration and scheduling software, to include AI based predictive diagnostic software.
Working with process and equipment engineers, translate product requirements into machine control software requirements.
Collaborate with process engineering to implement data-driven chemical and material control algorithms for advanced process control using database architecture.
Run software tests and report on results.
Opportunities for global travel to assist customers with software upgrades and troubleshoot and implement software solutions.
Requirements:
Bachelor's degree in Computer Science, Mechanical or Electrical Engineering, or relevant field, combined with 2 or more years' related software experience. (Master's degree preferred, but not essential).
Familiarity with equipment control software development, testing, and quality control.
Proficiency with C, C++, and C# .net programming
Ability to obtain a passport and travel approximately 10-15%, including both domestic and international travel.
Must be able to occasionally work in a clean-room environment and wear required personal protective equipment.
Self-motivated individual with ability to work alone and/or with limited supervision.
Ability to stand, walk, bend, lift up to 20 lbs. independently.
Candidates selected will be required to complete a drug screening and background check.
Women, minorities, and veterans are encouraged to apply.
We offer medical, dental, vision, life, and disability insurance, along with a matching 401k retirement savings plan and an on-site fitness center.

Job Type: Full-time

Experience:
C, C++, C# .net programming: 2 years (Required)
equipment control software development: 2 years (Required)
Computer Science, Mechanical or Electrical Engineering: 2 years (Required)
Education:
Bachelor's (Required)
License:
Passport (Required)","Employer Provided Salary:$70K-$80K",""
"Senior Software Engineer (Python)","Farfetch","New York, NY","The role:

As a Senior Software Engineer, you’ll contribute to the engineering of the next-generation data science products and interfaces that connect our Machine Learning technology to the vast ecosystem of internal and external applications. This is a really exciting time to join the business, with our recent acquisition of Stadium Goods and our IPO back in 2018, you’ll have the chance to be a part of a brand new function and work exclusively on large scale, high-impact projects.

We’re looking for an experienced Senior, designing and leading the development of large scale projects.

A flavor of what we use in the data science team: Docker, Flask, PyTest, SqlAlchemy, Airflow, Postgres, Spark, BigQuery, Terraform, Ansible, Google Compute Engine, Scikit-learn, PyTorch, and NumPy.

What you’ll do:
Collaboratively design, build, and maintain Python micro-services in our cloud data platform.
Work with other Software Engineers, Data Scientists, and Data Engineers to deliver efficient data products.
Provide creative ideas to improve core data products.
Be responsible for the health of production systems.
Design and develop scalable and performant services with strong emphasis in algorithmic design and scalability.
Have a team oriented mindset and seek to share knowledge and uplift the rest of the team
Who you are:
Experienced in designing large scale systems that take advantage of Big Data technologies like Spark, BigQuery, etc.
Advanced in Python and experienced in the creation of services using frameworks like Flask/Django.
Disciplined in approach to testing (TDD/BDD, code review, documentation).
Experienced in distributed systems, service oriented architectures, design and implementation of high throughput, low latency applications.
Experienced in containerization tools like Docker and configuration management tools like Ansible.
Experienced building and scaling batch/asynchronous systems. Using tools like Airflow/Celery/RabbitMQ.","$94K-$159K (Glassdoor est.)","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=512837&s=58&guid=0000016a33fe5395be69dea8d82a0521&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_994046e2&cb=1555650524428&jobListingId=2901472730"
"Software Engineer","Buildable","McMinnville, OR","Do you want to love where you work and have your decisions and efforts make a direct impact on success? Buildable, Yamhill County’s fastest-growing custom software development firm, is looking for a Mid-Level Software Engineer to join their tight-knit team in McMinnville. With Buildable’s clients in an array of vertical markets, there are always exhilarating and refreshing problems to be solved. The atmosphere at Buildable makes every day exciting and rewarding.

Position
We’re looking for an experienced developer with a minimum of 3-5 recent years as full-stack engineer building web apps in a professional setting -- someone that doesn't just love solving challenging technical problems but cares about who we're solving these problems for. The right candidate will work in McMinnville with a small, dedicated team of engineers, designers, and project managers iterating quickly to ensure we build the best solutions.


Responsibilities

· Work on a Scrum team creating new features and fixing defects in our core products

· Write secure, maintainable, self-documenting code within business-driven timelines

· Communicate and collaborate in a team environment via email and Microsoft Teams.

· Flexibility and autonomy. Able to take direction as well as mentor others.

· Contribute to an environment that embraces best practices, continuous improvement, and professionalism

· Write high-quality code and evaluate the code quality of your peers.


Education + Experience

· Bachelor of Science in Computer Science, or equivalent professional experience is required

· 3-5 years of ASP.NET software development experience


Required Knowledge + Skill

· Expert knowledge of C#, .NET Framework

· ASP.NET / ASP.NET Core

· RESTful API workflow

· Multi-Tasking, LINQ, Entity Framework, ReactiveUI, MVVM

· Javascript, Typescript

· JQuery, RxJs

· Angular or other Single Page Application frameworks (Angular, React, Vue, Knockout)

· HTML/CSS, JSON, XML

· Microsoft SQL Server, T-SQL

· Git source control management

· Troubleshooting and debugging skills

· Strong verbal and written communication skills

· Previous experience working on a Scrum/Agile team


Not required, but desired:

· Knowledge of LDAP, SSO, DFA

· Ubuntu, or other Linux

· AWS, Azure


Compensation and Benefits
Competitive compensation based on experience.
Flexible Hours with PTO
Medical, Dental and Vision for Employee and Family
Annual Bonus Profit sharing
Professional Development Opportunities

LVSYS Corp dba Buildable is an equal opportunity employer - Buildable provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex (including pregnancy), national origin, ancestry, age, marital status, sexual orientation, gender identity or expression, disability, veteran status, genetic information or any other basis protected by law.","",""
"Principal Software Engineer","Micronotes","Boston, MA","NO AGENCIES - Please!!!!

Candidate MUST be legally authorized to work in the US for any employer.

Candidate MUST currently live within commuting distance to Boston, MA

-----------

About Micronotes
Micronotes is a high-growth, venture-backed, AI-driven marketing automation company. Our conversation-marketing platform enables financial institutions to engage with their digital users via quick, informative conversations—the modern version of in-branch interactions. These engagements help improve user loyalty and provide an effective opportunity for cross-selling financial products and services.
We are seeking a self-motivated Principal Software Engineer with strong technical skills related to design and development of an AI-driven, API-focused, microservices-based system. You should be passionate about software architecture, software design, innovative technology, and creating great software. The ideal candidate will combine great design and coding skills with architectural sense and the passion to do great things.
The Opportunity
Work with a highly skilled and motivated team in a startup environment
Own the system architecture of the Micronotes products
Work closely with executive management to implement the company's strategic technology and business vision
Migrate the company's monolithic architecture to a more scalable microservices-based architecture
Design and implement RESTful APIs for internal and external use
Mentor members of the technical staff
Based in CIC Boston - https://cic.com/boston/
The Skills and Attributes You Bring
5+ years of industry experience designing and building distributed, scalable software solutions
Experience designing scalable distributed systems, with microservices-based architectures a big plus
Experience designing and building robust RESTful APIs
Applied C#, Javascript, Node.js, Python experience (or equivalents)
Experience with responsive web design and related technologies
Experience using Microsoft SQL Server, as well as relational database design
Experience using Git for source control (GitFlow a plus)
Experience working in an Agile team using Scrum (or similar methodology)
Understanding of DevOps best practices a plus
Experience with Azure, AWS, and cloud services a plus
Experience with Machine Learning techniques a plus
Experience with retail banking a plus
Highly organized and detail-oriented
A positive attitude and willingness to learn
Dependable and trustworthy
Strong interpersonal and communication skills
Entrepreneurial in spirit and consider no task to be too small
Ability to work well independently and with others","","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=528295&s=58&guid=0000016a33fe5395be69dea8d82a0521&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_80a0de0e&cb=1555650539946&jobListingId=2927701801"
"Principal Software Engineer","Reflektion Inc.","San Mateo, CA","Responsibilities
You will build innovative search platform used to power Reflektion best-in-class text, voice-text, conversational and image search.
You will provide technical mentorship to other members of the team, and leverage your experiences to vocalize best practices and ensure proper sustainable engineering standards are followed.
You will strive to continually improve and simplify the search infrastructure, and will apply your love of tackling challenging problems to innovate on core search areas such as indexing, query execution, metrics tracking, maintaining 5 9s of uptime, and scaling for the future.
You will design and code massively scalable services to provide a continually improving search experience, and your work will be seen by millions of customers daily.
You will experiment with various algorithms to optimize for customer’s goals including revenues, engagement, etc.
Basic Requirements
Bachelor’s Degree in a technical discipline such as Computer Science, Computer Engineering, etc.
At least 5 years experience working on Search Performance, Search Relevance, Query Understanding and Information Retrieval. An excellent understanding of information retrieval, established skill at search relevance and query understanding.
At least 8 years of experience building large distributed web based systems and experience in Python, Java, Go or C++ programming
Track record of delivering complex search systems and cross-functional projects
Excellent written and verbal communication skills with the ability to present complex technical information in a clear and concise manner to a variety of audiences
Passionate about writing and maintaining high-quality software that solves real-world meaningful problems at scale.
Passionate about helping your teammates grow, and continually expanding the team’s technical knowledge
Experience deep diving and solving complex issues in a distributed system.
Enjoy optimizing system performance of a large distributed system.
Able to shepherd projects from prototype stage into production
Background in test-driven development
Preferred Requirements
Experience with Elasticsearch / Lucene, AWS a big plus
Experience in international language support
Experience in eCommerce vertical","Employer Provided Salary:$180K-$200K",""
