,Job_Titile,Job_URL,Company_URL,Company,Rating,Job_Tyoe,Job_description,Post_Date,City,State,ZipCode,Min_salary,Max_salary
0,Board Certified Behavior Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AepZiqrW7K3PHs0dmZV6DKVDdH2y7D4lQHI28j2gtWUEMY5OU0iQRPk-DNwHAAzSaoDWFFuLH3CpCHwfhpQPmDnZWg9UN9otA_FY4xKgJKXk3TAPd6VPoheWmnv1bT9jiAAvkezhyuMC5lPCWX6Rkb6G0RY2R7G1XfIrE4nmvdwjoeHh7_7R7FdT30V_nCNAeXqfcYQTzbLZ2wE-CdF50jSGVwZZiWfrxahAlBnLm9pZv5swYR1KWeNEbFnjZbSlPPmyOh9TVNTpnimtYq3ZPJFQEjrCcdDs7zV2gIasxcbknFVTjUWiGIaQUs_oeyAYGrSvAx4k2kLSVNkTbLdyhU-7D19nKeFebv5zdtmnkm5VIb7sGozfTS_0zjNOfELRajxIPCLEpHIReSv4jA9fmdTf9fmjHBiyx6D7J_Dl_k0cyRVKNM5h3Wu2m3sFKol79R_GczCJ2WKc1fnCODntkr7eDjJ8AilRV9bCwwJGSPJpupRn7nJWQoCX74c9Fv66s=&xkcb=SoAf-_M3WwjnH4A2Jb0LbzkdCdPP&p=0&fvj=1&vjs=3,https://www.indeed.com/cmp/North-Oakland-Autism-Center,North Oakland Autism Center,3.9,"Full-time
+1","Our ideal candidate will competently manage a caseload of 5-7 clients, provide supervision to behavior technicians and run parent coaching sessions that meet…",11/14/22,Lake Orion,MI,48362,50000.0,90000.0
1,"Economic Analyst – Remote ***Guaranteed minimum of $100,000+ first year***",https://www.indeed.com/company/Augusta/jobs/Economic-Analyst-Guaranteed-Minimum-51506070750c5e98?fccid=da5dcf4845161c01&vjs=3,https://www.indeed.com/cmp/Augusta-7,Augusta Precious Metals,3.8,"Full-time
+1",We will provide in-house systems and compliance training.,12/09/22,San Francisco,CA,94134 ,100000.0,99835.17476732162
3,Legal Compliance Analyst - Hybrid job,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Auw088v_g3iCQsAKrg-1ddR39RF1lm37BeTzwxg85fA8Tr9nBV1LXm8UQw3gDuiP94y0NlElMa_5iBAF6BLqTUmG4bQuSjP5ghDJhDzVB2fEWXUU348imDPAuyJBKgfE-XGD1QJ5lldTC5P9xgB3A-Xtfmur05mlsq1GK42edPNo6lhKntBtVUMagC5B2e3OHEvsJnwv6DbRPDBbbyFUVcrZuCoqV6qk5iZRfL9xreS2S_ALnhggbBNT67n6aX7w_rPL8dOx8gST6P6hr_ZxYQx2qPpzl3bhKYUCBW6xJMRQ9LPt-RJMMwAJePkoU_LWYY82EBhSLQ8O0dr-LiCaX4LMyKpjJbxVnAZTD4QTOFYbxf6PfSPK9FULaokzBe-dqB3twNAqpMaS2LDkTfD6nPsCV3D2M353WrEIDt_FsU47gi8c3QiqgDl5B_KMKXxpI0E7ododRBObWkr7jtYNoBLtKFULFhXxKORLFS818KVFBoyUue7dgs&xkcb=SoCC-_M3WwjnH4A2Jb0IbzkdCdPP&p=3&fvj=1&vjs=3,https://www.indeed.com/cmp/Odoo-Inc,Odoo Inc,4.5,Full-time,Odoo ERP system is enterprise resource planning software used company-wide for the management of business processes.,,South Paris,ME,4281,75000.0,110000.0
9,Health Policy Analyst,https://www.indeed.com/rc/clk?jk=e310b2feb1791c51&fccid=3e901f592b439cea&vjs=3,https://www.indeed.com/cmp/Centers-For-Disease-Control-and-Prevention,Centers for Disease Control and Prevention,4.2,"Full-time
+1",Public Trust/Moderate Background Investigation (5) is required.,12/12/22,Denver,CO,80207 ,89834.0,138868.0
12,Service Desk Analyst,https://www.indeed.com/company/Spruce/jobs/Service-Desk-Analyst-5089dec1352d96a3?fccid=c48e788a5f55ea2d&vjs=3,https://www.indeed.com/cmp/Spruce,Spruce,3.4,Contract,"Monitor and answer the Service Desk phone, e-mail message queues, and auto-triggered request queues during their assigned tour (I, II or III).",11/25/22,Grand Island,NE,68801,40.0,60.0
16,Board Certified Behavior Analyst (BCBA) - Soar Autism Center,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-oEocIezJjdxBYOy9BFXoUyuwCpQEOfGwU-P2mO-up4dYRMEMvrI4tO8qG4JrOfrqtXZf81XGjVIE1ViZmxyJvSIgpAUi5I13A80_yThlIfPYkiWjWoU-DUaT27WJR27CnO0P63DiSZWd0BCPwnT_VOmKumO7wnTg3lKyaQhvAwr6cCcv2QKdco8NTPwviMWeb2LyhtyYphlghX3Wu_LerwIbx26NJrpyha7tnR2UmWByEuez7vPtzxId0wSq6xRkeXjp1KFJRtb08ryg6NACgrTr_RNGca9O9w06Al2nQmbP-0i589XkO6kBGZMx-RR7TZBXkUllS4Xx-di18UGiqYD7ysHo8Hdq6e81gZtOLM3K7EM8WHoEI_2MVOSPcxw6cuPlPBDvkaIUWFtgnLa42rso6-hvvgzozfY86-lIWkELG8HMnMqE-XANLjjvwjh5hwJVpG8bDhgEBqyQJ-jZxBCXnVpOftLh7F1cJJoa5vFmDa4rXq5ouCqzZpcqWaR8xWarSGCS11uE3nkWptQkvwGvZbdTb4E=&xkcb=SoCv-_M3WwjlPs2eN50LbzkdCdPP&p=1&fvj=1&vjs=3,https://www.indeed.com/cmp/Soar-Autism-Center-1,Soar Autism Center,4.8,Full-time,"We follow CDC and public health guidance related to Covid-19, including vaccines/boosters, masks, and testing.",11/27/22,Lake Orion,MI,48362,70000.0,85000.0
17,Planning Analyst (Hybrid),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASgvb-ETMaHj4XoCHHEvyY-4yoogW6Q-x0jMS31WMKn2zXVelvK0gdvTvZBLTvOrIAFVAeWGnLwiXLmPBEO3agd6t1Y7IkUJ3SWGBfYdVg2SNTO-RxZT6ffS-pSD_5Rbn_bDt1s5xAxQUhMeH8PmqOFUpyKwvIkNCqRsM1iuSjEcCPwQg_ilxrQwCJLeLLj-tIXdunoRR1fXkZE8_VHQyRvkZfqHU42P69sKF6RgoDF5aK7iwMQboHV29sbT-kI7tLuBzOrqTHxC_iUZqlHXUJ48mW_FsK3roS8e-EASFuY4Xe-DkZ124jz_5ikh7EHDufpHwLkcyBoR7S792HEiLOmheJFtSEzUFSzU_JZWSiJCQb2R64cNx5rj7aK-5Rrbt01L-uwqjX2gSJcbllKyc0soCnwr8CcfrOryNAY-BPqEDYWfvBBkCBU2ng7ccl_JpeSo5W81NfpWiA9TGlinfTOfSZYviq72H3xq-NsOPQV2qvJpyQHTf15BrlnySXgHyho_QiS6inHg==&xkcb=SoAb-_M3WwjlPs2eN50KbzkdCdPP&p=2&fvj=0&vjs=3,https://www.indeed.com/cmp/State-of-Connecticut,State of Connecticut - Department of Social...,3.9,Full-time,Exceptions are rare and limited to documented events that incapacitate a candidate during the entire duration of the job posting time period.,12/02/22,San Francisco,CA,94134 ,71147.0,92072.0
19,Board Certified Behavior Analyst (BCBA)- New Clinic!,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ACaI7dvFj1kG90XpR0ROSX9mYROX8BPPfmEaZiqE7oXVp2H-l0f8bs2KjmXMdRf7LXBzxMG40MOX5HWWzDniqoUjA0HNW9jsfGZ4sJ9POG392Jl3CwAUSU8Gf714Ngpibi_bOy880Og9gCFoBBxXG3xInJM5kKEr3jU1xyYp5jvyJJvwrBYaQQso0XZS7beUvveTjnQYgvvQ109qHv178XVVPtEB77FotTQbZu_isPHBOc5T5ImeZUXC7EQO9Dh9qg62tOsDSindHRJ52vKPMgsiTS9-qadxjPJ14vqhdi5cqfCu-pGV4hsR6y2oCiYonQYkUJ0TR7hv0q1ytTkHTcPfUfPVWchI_W9T1nXRW_X8qGLv1-4MFT5iXLhwJpHsNDTuIACswm8ActWIb0SOrBuQDXMTN_N2iEg0z1BlRAme_mL-0vyYQ2fdGfITD_UGZgv_oSxnvF-2AFHi01Gowux3KRwGTCvm0dUEJYRpJTsAY81yJFKKXmQtDEMXujbHgjjnsFJmlPZnZXw6_guzbrTbVlDV68-z0=&xkcb=SoAy-_M3WwjlPs2eN50IbzkdCdPP&p=4&fvj=1&vjs=3,https://www.indeed.com/cmp/Stride-Autism-Centers,Stride Autism Centers,4.5,Full-time,Stride’s ABA program for preschool learners (ages 2-6) utilizes both structured and natural teaching strategies.,11/14/22,South Paris,ME,4281,75000.0,93500.0
21,Investment Analyst,https://www.indeed.com/rc/clk?jk=9395289ef8d1c7f2&fccid=595d42593839d3a2&vjs=3,https://www.indeed.com/cmp/3M,3M,3.9,Full-time,"Supporting the public equity, private investment, and absolute return portfolios through due diligence of investment managers and funds, including research,…",12/02/22,Boston,MA,02109 ,68641.78181076673,99835.17476732162
24,Donor Data Analyst,https://www.indeed.com/rc/clk?jk=231fa36a1cc8a9fc&fccid=293914d8e1bfb395&vjs=3,https://www.indeed.com/cmp/The-Trevor-Project,The Trevor Project,4.2,Full-time,Train team members on application use and best practices in data requirements and structureEnsure system interfaces with external applications to Development…,11/14/22,Grand Island,NE,68801,75000.0,90000.0
