Job_Title,Job_URL,Company_name,Company_URL,Rating,Salary,Job_Type,Job_description,Post_Date,Location
Senior Software Engineer - .NET - Hybrid,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cu66TZchO32zTMNvretCRKnChEQgHLzOWsYPBdRI1oBczLMxwr6TtN0YqRXKCVLRsqkZVif-qQd5Z8vRTE4850FC-6qSGTfc2wzFJUc6vyAZPQuL-qfIsfG-OcZJkCBur01bDmh9xYTc4Oj6uhgzIdk4VmAnpcOZTuxc8xWP-pzefFq2UeSqzGi2PR7kCpBoOwl2veFCyP5WLZhcSRVH20lTDGeQWf35t9pPfrxOgxCZsFNnILE4hTEW2wjyH9ktkDfsNsLiXdAdwPNTSGe8NaH0eTLIFay0er3fCGjPh2fU_Eyq9GIpEXflN3iB3Ic50hBXh7-U-35_lg6yf4jY5ie3lHdTFF5k2iTIP65xQ7bGF8g49Ni71OdytFXOJQuFPufsSNWmZ-Qlwj5l1IPyV2fvO7o5vGIbYKKm4bRDWiJKn6Nupd_dutEPs3mWXTUN_UQCJ4NPmTYhe3CtjvPo75PJjoFOOCm_wj1ThHwuyAYmXv7gLqevoFyj9OWOLt0vbKD3ohYZFpHg==&xkcb=SoCy-_M3VJKh5CQgcZ0LbzkdCdPP&p=0&fvj=1&vjs=3,RXO,,,"$128K - $162K a year
 Indeed est.",On call,Mentor developers and helps resolve technical roadblocks; conduct collaborative code reviews and coordinates the deployment and implementation of software…,"Posted
Posted 8 days ago","Chicago, IL 60601 
(Loop area)"
Senior Network & Cloud Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDAS9l9J0b9bEPYJuonvBuLLCUVMoNVdhbvUVgUfk3pL28RPo_IWZpJbIwbX5b4AsjJcdG44AXytJ0ooYVRi0eaY5FK6Kz5v0hh6xkD8Ya6WrotLaFLYw22Tp1QDJ8HliJ-ttoABBNKssbwgOk_1JAhIwvJXLHYBzyX-4qfUl34MiG94AZ7BWT4sqP925Y8eIW4SVveRAMaz-188YrcuIgKlrrdTCuK5mjWgxA2L8utReOZsuFxoLwSY7b-GktbNnJdqb7RQ_PepiVuKD7ELD3D5-OKSQadj0ZicqbFB4vtYAKGM983SQZas0XsASUv1d10_AGW38lyZ-86hRKnEOmOn-OVycpfyzE09awRjVTJtJ3Vq3tTSx2qHdzYmEQz07-LLKdwV6AsJuHltBd6yDWraANIV7hfWS0CyMRjF0i0NS7M7bBu3AzTwGA2gaRDd-6Drth4HRlESUwvjShahD-8pTcXG4xR6iDJC3s9G_HwHSfe9RGJqCub0iPdlFF9vA=&xkcb=SoAG-_M3VJKh5CQgcZ0KbzkdCdPP&p=1&fvj=1&vjs=3,DominionTech Computer Services,https://www.indeed.com/cmp/Dominiontech-Computer-Services-1,5,,Full-time,Server Virtualization: on-premises and in the cloud.,"Posted
Posted 30 days ago","Williston, VT 05495"
Intermediate Software Developer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKmhbL2QASHcqpRZBrHo9_xo8fSm0WLh-uf4EosIsPFlZvHBljofQ2eO5ZJm5Q4CMPws9hgI7L3eikqkeh7lsDtvxxzFSdcZv1xl7xVaApdvqKgx3ySsUl3bTG9tsvLsutyHkbA-lS5TULt9XBgOHS0ZL2b5w5y_nxGpisb1_hxIr8R2CC1WcT_DLiB6ME1K6WVbLE_FHVUxwc83rUKE6cpFhbJ7XtBdCou38sQcuuaMZSnF6JmN148S0g1kMTLNgimLmwQoXX9ICR_i5yrp9VHR_77EtLq8IfnN3Cmt8lQzs55AMqH87hwFKD09k-u9EJr4wh9hcdeA1mfv3tC2_ya8FTfdHujMiEf8R_M5t5r5KoE8I9H95EwjiaX6s6AoenN0Zn2kQanT1SXaQJsNkdiqx4KNQqoSM-TpUB8QB8l6G7T51Qiz_g4NDl4d_tZWnFAmlyibyhHqGykFM_f5EUC2QeEaBzf42V6Fqxm4M_U7d8MJAkPCET0a54NNS6TQJK7i7FLNnroA==&xkcb=SoCb-_M3VJKh5CQgcZ0JbzkdCdPP&p=2&fvj=1&vjs=3,Cornell Pump Company,https://www.indeed.com/cmp/Cornell-Pump-LLC,4.3,"$82.7K - $105K a year
 Indeed est.",Full-time,"The successful candidate will join a well-formed and productive team implementing the components of a cloud-based system, focused on writing code to support our…","Posted
Posted 30+ days ago","Clackamas, OR 97015"
AWS Cloud Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DNzMMefu6HVCIxNV5QeEAhmhkRe0kbX4T_r7puRXegr4SjOGL-1fKYY40VPCGW-12lpxcGC00RooE_8PyRNzl4V2XMxbVpwAcUskbVwaf2O3wj6-X7YiRz4qY0UEJYNRz7MjDAJBKY5-UnnJAVwlo--DCGaZGZfS3jnvoBPohuwOOjQurrUY8dSDYJtBEZVPxa6nHZvFqqo4ysQ84cH4danVECEz_Y5ywXVVSPbOCCODcMXTS7FbrvaFxB56YCIj-n0pJ1XY1UrzGu4susMIcZBHCzqtRv0nNBnlO276oYOR1Oq4Kc50KZwoOs0-L4P2pwsFdL65MZn8CHoc0wJqmsfb3NVvBsQqR2ehxAYiMrfgh_UtEkac-DdXSuFkO8p9Pk3vcq2-_yvki2zPHaUpYyOg5revvbMB92obiX8pDvoqVZUDbZ3Wo84M6CrT492TpSxgmbnp77nVvk8IAaqXb_MbRNCMRDrsdetuNRAmU83ulp8dPM31K80b4VTwju_Us-lFXwhuJKhHOvWKcMj6yTJ26Sgyil3UfR3GQtWSe_wyoDHRuhCIKZi6WXrAjXya0=&xkcb=SoD3-_M3VJKh5CwgcZ0LbzkdCdPP&p=3&fvj=0&vjs=3,i4DM,https://www.indeed.com/cmp/I4dm-5,5,"$112K - $142K a year
 Indeed est.",Full-time,Build a cloud-based technical architecture that meets the needs and takes advantage of cloud capabilities.,"Posted
Posted 2 days ago",Remote
Azure Developer,https://www.indeed.com/company/Infinity-Quest/jobs/Azure-Developer-ec28d9de62a56aa5?fccid=8a1252dc7db432f1&vjs=3,Infinity Quest,,,,Contract,Develop and implement cloud migration strategies.,"Posted
Posted 1 day ago","Redmond, WA"
Javascript and VUE JS (Google Cloud) developer,"https://www.indeed.com/company/Rounds-Consulting,-LLC/jobs/Javascript-Vue-Js-Developer-20d0259cf0640148?fccid=5564d6006184fd21&vjs=3","Rounds Consulting, LLC",,,,Full-time,Mentor junior developers: 5 years (Preferred).,"Employer
Active 2 days ago",Remote
Senior Python Developer,https://www.indeed.com/company/Wipro/jobs/Senior-Python-Developer-ae32accf51aaad17?fccid=8d25321c1defe73f&vjs=3,Wipro,https://www.indeed.com/cmp/Wipro,3.8,,Full-time,Strong Understanding on CICD pipeline on AWS cloud.,"Posted
Posted 15 days ago",Remote
Junior Oracle Cloud Developer,https://www.indeed.com/company/taa-solutions-llc/jobs/Junior-Oracle-Cloud-Developer-cdf89cb46cf817c0?fccid=dc14d8d15c8abaea&vjs=3,TAA Solutions LLC,,,,"Full-time
+1","E.Design and develop APIs for cloud, on-premises, and hybrid solutions using Oracle Integration Cloud (OIC).","Posted
Today",Remote
SQL Server Developer II - Remote,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbQeAEQJ-rk4Jm3ZGkxyTr4pVCbTgJQqPjNaqrSvx2PDLMKJh1hKx3UHskYTG_enNHMIyp5cl3weXY2wy88XlJI5ZmnDV1sz__SSuMfc9vgusr_zHTueqVjeDtz_svMomfjmhWupljcGncbQ7ndbc2rxBAF8N_FNBP16MesJux-ZAgQ3rFadJCbdkJqdaCDzsWdGRqThAIx2oF1KNbrXsizCdnIjKvuVELADPI_UEhen6Z4EryhA1mm9aOcL07VGaEiStt5bj0iuLNv-iqquzV8KP259o069qp3_obgMgBwKQy4tXjljTzb0ACi79AOnNIFaZWAm3utpgNk5QazFceiiq3EIA7COPOy1h8Bw24J75Fty-FgxEOftRT6Ho7cnBfH6TCIsVvnqrOVzumByxi0IeeY1QudB2Oo1iKymOdSesD2O8GdnvQDHOP50WJRyRvjIqDtNmKqUwsoUyXyc-GJqOtLl1PV1Xk1mV-Y7ncmXTmOPoDPLBqdkQk2jVtpDKMPMU8Gt-ep_whxQWehItT0gjay5WiagjD5yLcwsniTCi9nlGoHcsfh8SM1_3uiv4=&xkcb=SoDN-_M3VJKh5NQgcZ0PbzkdCdPP&p=8&fvj=0&vjs=3,Medical Mutual of Ohio,https://www.indeed.com/cmp/Medical-Mutual-of-Ohio,3.9,"$82.2K - $104K a year
 Indeed est.",Full-time,"Experience with multiple hardware and software platforms (e.g. mainframe, distributed, cloud, etc.).","Posted
Posted 30+ days ago","Remote in Brooklyn, OH 44144"
UI Developer,https://www.indeed.com/company/Narvee-Tech/jobs/Ui-Developer-b2dcc4cc516c3e54?fccid=98598599847643a5&vjs=3,Narvee Tech,,,,Contract,\** Proven experience in building and deploying software solutions utilizing public cloud.,"Posted
Posted 30+ days ago",Remote
