Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,1/11/2019,,,Former Employee ,Good Company,,0,"Good people, interesting work, great benefits in general",Financial challenges impact employee stability,,5,,,,,
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/18/2019, Call Center Customer Service Representative,,Former Employee ,Fast pace and a lot of information to remember.,,0,Great Benefits and fun people to work with.,"Micromanagement, and the training could be better",,3,3,3,4,4,3
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/18/2019, Commercial Insurance Specialist,"Stevens Point, WI",Former Employee ,Recommended,More than 5 years,0,"I had great coworkers with good benefits. Also, had the ability to work from home.",Sometimes there was a lack of communication.,,4,4,5,4,5,2
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/12/2019, Senior Underwriter,"New York, NY",Current Employee ,No Place For Us,More than 5 years,0,"Benefits are really good, including gradually increasing PTO,health,401k match,remote working abilities and schedule flexibility.","Senior positions continue to be filled by outside hires,
No up-or-out for middle management, and Apathetic long time employees riding out the latest changes until new management changes direction,
New work flow includes more committees than the US Congress.","Identify talented workers within our company committed to our mutual success for promotion and allow them to interview for higher roles.

No need to flush the culture of the company, just because of the previous ELT. It's legacy has given it a strong market position.

Don't reduce staff unless you've made the role redundant with technology.",3,4,3,1,3,2
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/15/2019, Senior Information | Cyber Security Risk & Control Lead,,Former Employee ,"Cyber Governance, Risk, Compliance (GRC) | Technology Risk & Control | Information Security",More than 8 years,0,There are opportunities for growth and development,Recent changes have affect overall employee morale,,4,3,3,3,3,3
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/13/2019, Account Executive,"San Diego, CA",Former Employee ,Inside sales,More than a year,0,Great first inside sales position where company provides leads,Not all managers are created equal,Let employees have a say in which team they go to,5,4,4,5,4,3
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/10/2019, Senior Actuarial Analyst,"New York, NY",Current Employee ,Bad Work-Life balance,,0,Benefits are very good. It’s a big company so you can get a lot of exposure to different lines and functions,The atmosphere with constant reorganization’s is full of stress and employees who are over worked.,,3,,,,,
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/10/2019, Senior Systems Engineer,"Fort Worth, TX",Former Employee ,Average,More than 5 years,0,Great people. Freedom to work as I saw fit.,"Turnover from layoffs is seemingly never ending.
No raises.",,3,5,3,2,2,2
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/14/2019, Audit Manager,"New York, NY",Current Employee ,Disappointed,More than a year,0,"Good Company and benefits. However, being an insurance company there are not too much differences if you get a policy in other company",management doesn't care about employees. the excessive amount of changes generate too much confusion between actions and messages from senior management.,,3,3,2,2,4,1
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/11/2019, Actuary,"New York, NY",Current Employee ,Pricing actuary,Less than a year,0,Great place to learn. Can get involved in different project.,Is not for the person who is looking for a steady working environment.,,5,5,5,5,5,2
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/9/2019, Financial Advisor,"Denver, CO",Current Employee ,Financial Advisor,More than a year,0,Incredible support system and flexible structure. Company pushes for an entrepreneurial culture. Intelligent local leaders that help newer advisors transition and grow their practice.,None to mention at this time.,Keep up the great work.,5,5,5,5,5,5
AIG,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/9/2019, Systems Analyst,"Houston, TX",Former Employee ,Laid off,Less than a year,0,"Challenging work, benefits, and nice people",Poor Management and no employee loyalty,,3,,,,,
