Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,4/16/2019, Administrative Officer,,Former Employee ,Great experience!,,0,Friendly and professional environment. Great entry level experience for finance.,Work can be a little repetitive and daunting at times.,,5,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,4/18/2019, Regional Sales Associate,,Current Employee ,Good place to work,,0,Get good experience in the retirement industry.,Difficult to advance career. Get the experience then Jump ship for more $$$$,,4,4,4,4,4,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,4/8/2019,,,Former Employee ,Not bad!,,0,"Friendly Co-workers
Growth in the company",Typical finance job with rude management,,3,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,3/18/2019, Advisor,,Current Employee ,Excellent,,0,Great Environment to work in,I have nothing bad to say,,4,4,4,4,4,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,4/5/2019, Financial Services Representative,"Orlando, FL",Former Employee ,Pay system is aweful,Less than a year,0,"Employees are friendly, Good location",Pay is sporadic depending on when tje first falls you'll expeeience pay delays. If there are five weeks in the month you'll experience pay delays. You won't receive your final pay. They will claim they pay you ahead so they don't owe a final check.,Get new managememt,1,1,1,1,1,1
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,2/28/2019,,,Former Employee ,Asset Mgmt intern good,,0,good managers and good people all around,salary too low and the internship period was too short,,4,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,3/13/2019, Agent,,Former Employee ,Good Experience,,0,It was good to learn about the insurance industry,You had to work very long hours.,,3,3,3,5,5,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,2/11/2019, Financial Professional,,Former Employee ,Okay place to work,,0,Opportunity if just starting in financial services profession.,"Hard to make ends meet, small salary, with Commission.",,3,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,2/8/2019,,,Current Employee ,Customer service advisor,,0,"The people (not the managers)
Overtime rates","The hours
3 weeks holiday
Shift work
The managers",,2,1,2,1,1,1
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,2/7/2019, Director,"New York, NY",Former Employee ,Politics,More than 3 years,0,remote work is very nice,politics is rampant throughout org,,3,4,4,3,3,1
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,1/21/2019,,"Austin, TX",Former Employee ,"Good Experience, not so good work life balnce",,0,opportunity for promising career in the future,very difficult to start unless you are very well connected,,3,1,2,3,3,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,12/31/2018,,,Current Employee ,IT Manager,,0,professional environment with smart reliable people,large company - slow to move,,4,4,4,4,4,4
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,1/14/2019,,,Current Employee ,Good International Company with Great Global mobility,,0,Good International Company with Great Global mobility and great benefits,"Poor work-environment, not team-work activities, a lot of senior people. Company should hire more young people.",,3,3,2,5,5,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,12/14/2018,,,Current Employee ,Financial Profesional,,0,"Great work environment, good benefits.",There are Limited options for growth.,,4,4,4,3,3,4
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,1/17/2019, Operations,"Chicago, IL",Former Employee ,Very high turnovers for a reason,More than a year,0,Schedules could be flexible if one is not on the phones,Management are there because they outlast others not because of their merits. A very chaotic place with very poor communications.,Listen to your employees.,1,2,1,2,3,1
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,12/22/2018,,"Charlotte, NC",Current Employee ,Senior Manager,More than a year,0,They have Great Pay and Benefits,They have a Poor Training model,Focus on the training model for new hires,3,4,3,4,5,2
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/21/2018, Financial Advisor,"Pittsburgh, PA",Current Employee ,Financial advisor,,0,"Great people,good training , diverse culture","Paying rent, paying for large portion of benefits",None,5,5,5,4,2,5
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/20/2018,,,Current Employee ,CSR,,0,PTO and Vacation were very nice,May be on the phone the entire duration of the shift,,4,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/14/2018,,,Current Employee ,Financial Consultant,,0,"Great resources, open architecture platform, and management to help as you get started",Can take a while to get traction,,5,5,5,5,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/12/2018,,"New York, NY",Former Employee ,Great employer,More than a year,0,"Large organisation, so lots of opportunity to meet different people and do a variety of jobs.",Slow to move with organisational change.,,5,5,4,4,4,4
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/11/2018,,,Current Employee ,DM,,0,Flexible schedule and growth opportunities,small salary for the amount of work,,3,5,2,4,3,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/29/2018,,,Current Employee ,Leave when you can,,0,"Create your own schedule, good place to start",Don't work here for long,,1,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,11/6/2018,,,Current Employee ,Great benefits weak management,,0,Good pay and benefits. I liked things like tuition reimbursement and paid maternity leave.,There’s definitely a “kiss up/ it’s not what you know it’s who you know” environment in the Life Operations Inforce area.,"Get to know your employees, nurture them. Don't be afraid of change and innovation.",3,4,3,3,4,1
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,10/22/2018,,,Current Employee ,Work for your opportunities,More than 8 years,0,"Tuition reimbursement, work life balance, career advancement opportunities, friendly environment, diverse atmosphere.","Hiring externally for certain roles, pay can be more competitive, technology is a bit outdated",,4,4,4,4,4,4
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,10/17/2018, Futures Associate,"Bala Cynwyd, PA",Current Employee ,Future Advisors Program,Less than a year,0,Great work culture and sales training program,People with poor time management skills will not succeed,Take more time with interns,4,5,5,4,2,4
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,10/15/2018,,,Current Employee ,Financial Professional,,0,"Make your own schedule
Management empowers employees - they want you to be successful
Comprehensive weekly training",Hard to start out of college without having a healthy savings account,,4,5,5,5,5,5
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,10/20/2018,,,Current Employee ,Business manager,,0,"Average salaries and benefits, flex time, home office, great parental leaves","No meal plans, no dental or vision, difficult management, lot of turnover",,3,4,3,3,4,3
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,9/21/2018, Service,"Charlotte, NC",Former Employee ,Employee,More than a year,0,Great place to work for. Awesome,There are no down sides to this company,,5,4,4,4,4,4
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,9/16/2018,,,Former Employee ,Okay company,,0,"Nice people, easy to get along with",Low starting salary and you have to work really hard to get ahead,,4,,,,,
AXA,https://www.glassdoor.com/Reviews/AXA-Reviews-E10343.htm,9/17/2018,,,Former Employee ,financial professional,,0,complete freedom in how i grow my biz,no leads were given to me,,4,,,,,
