Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,7/28/2017, Private Fixed Income,,Former Employee ,Private Fixed Income,,0,Great culture and work environment,investments are cut and dry in terms of deal flow and analysis,,5,,,,,
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,3/27/2019, Customer Service Representative,"Des Moines, IA",Former Employee ,Not great,More than 3 years,0,There was a lot of young people,have to live in Iowa,,3,2,2,2,2,2
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,10/9/2017,,,Former Employee ,Associate,More than a year,0,Nice work environment; good culture.,"Like any job, long hours.",,3,,,,,
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,5/3/2017, Business Analyst,"West Des Moines, IA",Former Employee ,Great margins and future,More than 8 years,0,Great corporate direction and earnings,Globally limited by EU regulations,,5,5,5,5,4,5
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/30/2017, Manager,"West Des Moines, IA",Former Employee ,Manager,More than a year,0,"Innovative work environment, good employee engagement practices, competitive wages","Financial services industry is not terribly compassionate -- Aviva selected one family each year to whom to extend corporate compassion, but largely see people as accounts",Stay focused on producing financial results,3,4,3,4,4,3
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,12/7/2016,,,Former Employee ,Review,,0,The colleagues are pretty great,Management does not seem to know what they are doing.,,4,3,2,3,3,2
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,9/27/2016, Insurance Underwriter,"West Des Moines, IA",Former Employee ,Great company to work for,More than 5 years,0,A great company to work for. My work was appreciated by upper management and my co-workers were very great people to work with.,Usual politics but the benefits and perks outweigh these.,,4,5,4,3,3,5
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,9/22/2016, Analyst,"Quincy, MA",Former Employee ,Analyst,More than 8 years,0,Autonomy. Ability to work with various technologies. Education and development opportunities widely available. Good atmosphere with co-workers. Fair severance.,"Like anywhere there are tough times and emergencies. Just do your best to manage through them. Like anywhere, directives can come from the top that adversely impact you regardless of personal performance.","Obviously the merger was a big change. In retrospect, it does not look like it was a wise decision by senior management. However, that probably should have been seen on the front end.",4,4,3,4,3,3
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,8/23/2016,,,Former Employee ,Athene destroyed this perfectly good company,,0,Culture and environment were committed to greatness,Athene purchased and dumped outstanding talent,All companies are run by people and you forgot that when $$$ over people,3,3,5,1,3,4
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,7/15/2016,,,Current Employee ,good,,0,"friendly staff, cares for employees",can't think of any now,,5,,,,,
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,3/1/2016,,,Former Employee ,Program Manager,,0,Great place to work.great people,cannot think of any..its a great co,,4,5,5,4,4,3
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,1/13/2016,,,Current Employee ,PMO Manager,,0,"Great ethics, work life balance, flexibility. Great career opportunities. Highly professional and skilled work base.","You have to fight for your own career, there is no career mentorship.",,5,5,5,5,5,5
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,12/11/2015, Senior Compliance Associate,"Chicago, IL",Current Employee ,Disorganization from London,More than a year,0,Regional CEO (former) had good vision and insight,Constant change of direction from UK management,,3,4,2,3,4,4
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,10/31/2015,,,Former Employee ,Strategic Changes: One Too Many,,0,The work environment in the Des Moines office was very productive and supportive; not sure how things changed after the company was bought by Athene.,"Aviva Investors made too many strategic changes every year -- driven by the head office in London. Hopefully, this is no longer a nagging issue.",Do not interfere too much at every step. There is no need for strategic changes every year. Perhaps a strategic change should be done no more frequently than every 5 years.,4,,,,,
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,9/9/2015,,,Former Employee ,"Progressive, smart company",,0,"Very talented staff, willing to invest in all aspects of the business, very customer focused","Big and complicated, fair amount of bureaucracy",,4,3,4,4,5,5
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,9/3/2015,,,Former Employee ,Compliance,,0,There was room for advancement depending on the location you were at.,Takeover and acquisitions made working there stressful.,"Make sure to include everyone, even people who work remotely, in all meetings and discussions.",3,3,3,3,3,3
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,8/5/2015,,,Former Employee ,Software developer,,0,"Good, friendly, good office, work life balance",didnt pay much and projects are not too excited,,4,4,4,4,3,5
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,6/17/2015, Manager,"Des Moines, IA",Former Employee ,Salary,,0,The salary was good for the area and competitive within is localized market. Raises were often modest and bonuses were decent.,The company was going through some growing pains which meant budget cuts in certain areas and left you uncertain about future salary growth.,Employees can't live with ambiguity for very long. Being clear on the direction of the firm early on is usually much appreciated.,4,4,5,4,4,4
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/15/2015,,"New York, NY",Current Employee ,Bus Analyst,More than 3 years,0,decent place to work for,not a great career path,,4,4,3,3,3,2
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,4/2/2015,,,Former Employee ,Good compensation but not very stable,,0,Good compensation and benefits package.,Company was sold and a lot of positions were eliminated.,,3,,,,,
Aviva,https://www.glassdoor.com/Reviews/Ally-Financial-Reviews-E7222.htm,11/13/2014,,,Current Employee ,Company Sold to Athene/Global Atlantic,,0,"Awesome CEO, nice building, on-site cafeteria and gym",Business was sold and job was eliminated,,2,,,,,
