Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,12/23/2018, Salesperson,"Pasadena, CA",Current Employee ,Great,More than 5 years,0,"Very happy with the support and assistance provided by Berkshire Hathaway. Form management to staff, a first class organization. Very lucky they accepted me","In the industry itself, none",Keep doing it,5,5,5,5,5,5
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,1/10/2019,,,Current Employee ,Not a laidback job,,0,Fun people to work with,Takes awhile to make any real money,,3,0,0,0,0,0
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,1/7/2019,,"Omaha, NE",Current Employee ,agent,More than a year,0,They gave me plenty of support,"They were mired in
Corporate culture",,4,0,0,0,0,0
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,12/17/2018,,,Current Employee ,IT,,0,Fun place to work at.,Dont really have any cons to speak of right now.,,3,3,3,3,3,3
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,9/19/2018, Realtor,"Las Vegas, NV",Former Employee ,Realtor,Less than a year,0,Good upbeat work environment.,Lacks privacy in the office area,Streamline the sales process for new agents,4,3,3,4,3,4
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,8/20/2018,,,Former Employee ,Property Manager,More than 3 years,0,Family atmosphere and folks with long time experience in the property management industry.,Every place has its cons. Nothing outstanding.,,4,4,4,3,4,4
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,9/1/2018,,,Former Employee ,Administrative clerk,,0,This is a real Company,"IT’S A SCAM!!!! I REPEAT IT’S A SCAM. I applied for this position which would be working from home and this company tried to scam me. Luckily I read the reviews and listened to my mother and did some research about it. The company itself is real and they offer real jobs, but the company is so big that people pose as hiring managers for the company. They will contact you through email and via text about your interest in the job. They will then make you down Google Hangout. They will ask you a series of questions and then by the end of the interview tell you got the job. IT’S A SCAM! The job offer isn’t real they just tell you that. They offer to send to money for “ work supplies “ but really they just want you to deposit a FRAUDULENT check so they can have access to your account. They make the job and the benefits sound really good and make you think that you got this IMAGINARY job but it’s all a SCAM. Please stay away, and make sure that if it an actual job offer not people trying to scam you. If they try to make you download a messaging app or Google Hangouts it’s a scam. If they tell you that you’re hired and try to send you a check through the mail it’s a scam.",,1,1,1,1,1,1
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,5/30/2018,,,Former Employee ,It was a good experience real friendly co workers,,0,If you are a new agent then you will learn a lot.,Structure of company is more for independent agents,,3,5,5,4,4,4
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,5/11/2018,,"Clarkston, MI",Current Employee ,Real Estate Developer,More than a year,0,The admin are amazing. The management invest in the staff. Owners are constantly investing in new technologies. Three more words.,"The money is not as high as I would like. I don't feel challenged enough. I would like to be a salaried employee, as opposed to a commissioned employee.",I have none to give.,5,5,5,5,5,5
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,5/2/2018,,,Former Employee ,Executive Assistant,,0,"Good company culture, lots of successful agents , great training.",Assistants get taken advantage of.,Find a way to regulate the employment of the executive assistants.,3,3,4,3,2,4
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,4/8/2018,,,Former Employee ,Company in Transition,Less than a year,0,"There were some really mice, competent people working there.",Turnover of competent staff was very high.,,3,3,2,3,3,2
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,5/4/2018, Real Estate Agent,"Oakland, CA",Former Employee ,Beware,Less than a year,0,Name and managers will make it seem luxurious culture and know how to treat their agents well.,"They will take your customers , even if you did all the work until escrow is opened and pay you nothing . Jealousy and greed . Upper management in San Ramon office will not speak with you . All about them collecting your money.","Treat your agents as humans. Too much greed - and this goes out to the Oakland , Piedmont, San Ramon offices especially . Small world.",1,1,1,1,1,1
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,3/29/2018,,,Former Employee ,Financial Analyst,,0,A good company to work for.,No Cons regarding this employer.,,5,5,5,5,5,5
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,1/5/2018,,"Omaha, NE",Former Employee ,?,More than a year,0,"Company events are always fun. Pay is no where near good. Benefits are good. There are some good folks there but management needs to be careful of who they put in.high positions. Instead of an intelligence test being conducted, try conducting some sort of cultural acceptance paychology test.","If youre a minority, you will be suppressed and made to feel unqualified for higher pay and role. They will most definitely pay you less money and add additional duties to your job while they tend to make themselves feel accomplished in doing so. Managers, HR, and COO of one of their insurance companys are very gamey and monopolize against you in attempt to make you look like the bad guy for calling them on their games, inconsistency, and lies of what they promise in their interviews and orientation.",Pay people what they are worth and stop expecting people to do more for what youre paying them.,2,1,1,1,1,1
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,11/18/2017, Real Estate Broker/Sales Associate,"Edison, NJ",Current Employee ,Global,More than 10 years,0,I like the corporate atmosphere without being harsh. Professional and ethical standards guide the business. Individual offices have strong leadership. Agents are exposed to new ideas and practices in the business on a global level. Change of leadership has been very positive in my current office.,"Poor communication between agents within the office. Subtle attitudes of discrimination , specially, from the Asian agents who prefer to work with their own.","Hire Brokers who have rounded experience in all spheres. Personal, ethical, commercial, business, and life experiences. Leadership qualities are very important. Agents should be able to grow on all levels and have inclusive attitudes. There should be a reward system to recognize humanistic and leadership qualities. Accountability for over all performance.",5,4,3,3,2,4
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,11/10/2017, Car Salesman,"Scottsdale, AZ",Current Employee ,Sales professional,More than a year,0,It offered a base pay of 30k a year plus a commission plan to make money.,55+ hour work weeks. Such long hours make it hard to have a work life balance. High pressure sales. Hard targets to reach to actually make commission.,,2,1,2,2,2,3
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,10/23/2017,,,Former Employee ,Berkshire,,0,"Good company, good manager, opportunity to grow",People can be cut throat,,4,0,0,0,0,0
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,11/13/2017, Realtor,,Current Employee ,No Assistance from Broker in Clearwater FL,More than a year,0,"Great Brand Name, Helpful co-workers, Beautiful office, and clean office","If you are a new agent do not sign up in Clearwater, FL. You will not get the attention you need from the Broker. He is unavailable, and will not give you the time of day.",Re-think this broker,1,1,1,1,1,1
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,10/8/2017,,,Current Employee ,HR Sucks,,0,A Warren Buffet company umbrella.,"Its not what you know, but WHO you know.",Focus on retention of the qualified instead of hiring the inexperienced.,1,0,0,0,0,0
Berkshire,https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E94.htm,8/22/2017,,"McKinney, TX",Current Employee ,Great place to work,Less than a year,0,"Friendly people to work with, hours are good.",I have to work every Saturday.,,4,0,0,0,0,0
