Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,3/4/2019,,,Current Employee ,n,More than a year,0,challenging work. exposure to many technologies,No cons for the two years i worked there,,5,5,5,5,5,5
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/18/2019," Asset Services Manager, Assistant Vice President","Jersey City, NJ",Current Employee ,"A good place to work, just know when to grow and go",More than 10 years,0,A lot opportunities to learn and grow under the right Manager.,As a global organization inclusiveness for all should be a larger part of the conversations at Senior Management levels.,,4,3,4,4,4,3
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/18/2019,,,Former Employee ,Senior manager,More than 10 years,0,"streamlined communication, flexibility, and benefits","opportunity for growth, unless able to relocate",,5,4,5,3,5,5
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/17/2019, Risk Operations Analyst,,Current Employee ,Decent,,0,"Decent pay, good with internal promotions, flexibility is also available",Some departments don't know what they are doing.,To many gaps with communication,4,4,4,4,4,3
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/15/2019, AML Compliance Analyst,"O'Fallon, MO",Current Employee ,AML Compliance Analyst,More than 5 years,0,"Diversity networks, Additional Training, Mentor Network",Lack of Change Management Training or Development for Mid Managers,"Focus on development opportunities for Mid Level Managers as their weaknesses show in team performance. Also, get back to Power of One culture, this seems to be lacking with the new leadership standards. Some new people don't even know what this is.",5,4,4,4,4,4
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/16/2019, Quality Analyst,"Irving, TX",Former Employee ,Good Company to Work For,More than 8 years,0,Working from home is a bonus. The medical benefits are some of the best. Great Peers/Team Environment Good.,Opportunities for internal career advancement is very subjective. The company believes in a diverse work environment so advancing from within is challenging as the company would rather hire from the outside versus taking into consideration all the skills/knowledge an internal employee can bring to the table.,"Although the company does a good job of collecting data from employee surveys and round table discussions, not enough is done to implement change for career growth and merit increases.",4,4,4,3,4,3
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/16/2019, Senior Analyst,"Tampa, FL",Current Employee ,Plenty of Opportunity for Motivated,More than 5 years,0,You can shoot up the ladder quick--it's a real meritocracy in my area,"You have to work very hard and be legitimately meritorious to advance, but you must also be aggressive with lateral movement and networking to find an area that is progressing. Much stagnation in some departments","Ops needs more, better managers and staff. Seniors need *MUCH* better insight into the quality of their managers. So many managers are gifted in appearing to do good work while doing as little as possible",4,2,3,5,4,4
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/15/2019, Vice President,"New York, NY",Current Employee ,Sales in ICG,Less than a year,0,"Smart people, big clients, good pay",Culture is lacking and negative attitudes.,Keep on building the culture out. Its definitely a work in progress but not where it should be compared to other banks.,4,5,3,4,4,4
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/15/2019, Senior Executive Administrative Assistant,"New York, NY",Current Employee ,Great Benefits,More than 10 years,0,"Being able to work Remotely when needed
Employee Bank Benefits have gotten better
Schedule
Movability","Some managers treat the Administrative Staff differently
Working remote and benefits like Summer Fridays is not across the board",,4,3,3,3,3,3
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/11/2019, Vice President/Information Security Professional,"Irving, TX",Current Employee ,Awesome Company,More than 3 years,0,,,,5,5,4,3,5,5
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/12/2019, Analyst,,Current Employee ,Big Company,More than a year,0,,,,4,5,3,4,4,4
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/10/2019,,,Former Employee ,Good for exp,More than 3 years,0,Good benefit for employees,More collaboration is new among teams,,4,3,3,4,5,2
Citi,https://www.glassdoor.com/Reviews/Citi-Reviews-E8843.htm,4/8/2019, Workforce Capacity Coordinator,"Irving, TX",Current Employee ,"Culture has change, but still relaxed",More than 10 years,0,Benefits are great. Managements works with you to have a schedule that provides work life balance,Not much professional develop tenure employees. Gap in pay for tenure employees and current market rate,,4,4,4,1,3,3
