Company,Glassdoor_Review_Link,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,10/20/2017,,,Former Employee ,Nice place to work,,0,"Everyone I worked with as a remote closer was very nice, helpful and welcoming.","Sometimes email responses were slow, but that was because of volume.",,5,0,0,0,0,0
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,5/2/2017,,,Former Employee ,Overall great place to work,,0,Great place to work amongst fantastic colleagues who are willing to share knowledge / experience,Pay is lower than if worked in private industry,,5,4,5,3,3,4
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,3/23/2017,,,Former Employee ,Great people that care!,,0,Friendly and fun work environment. The Loan Officer I worked for genuinely CARES about his clients and their best interests (remember not all Loan Officers are created equal). Decent pay (role depending).,"Located in DTC (which was a far commute for me). If you aren't looking for a career in the mortgage world, their is not much crossover for other employment opportunities. Prepare to be glued to your phone/email.",,4,3,4,4,4,4
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,1/10/2017,,,Current Employee ,Loan processor,,0,Excellent potential to earn money,It is good working for Bank of England job require,None,3,1,3,4,2,5
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,8/18/2016, Senior Loan Officer,"England, AR",Former Employee ,Professional Management,More than a year,0,"Self- Starter ,experienced problem solver, charismatic, hard worker , reliable, get it done !","not always tradition in approach , willing use discretion in allowed by management , sometimes people jealous even when decisions are allowed and if employees seem to view you as go to person because you have taken the initiative to help solve customer issues with good results","make sure you know what the issues and concerns are. Then use company guideline in the procedures to resolve issue, when appreciate involve immediate management",3,,,,,
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,2/9/2016,,,Current Employee ,Processing Assistant,,0,"Free spirited, clean office, team members are very nice and overall ok to work for for beginners but you must be self sufficient.","Very unorganized, low in pay, no training, high exceptions low pay, too many family members working under one roof.",,2,2,2,1,1,2
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,11/17/2014, Credit Manager,,Current Employee ,Enjoyable,More than a year,0,Very enjoyable culture and management. Younger crowd working there but very informational and smart. Had a nice time with this company.,"Long hours, generating your own leads. Often times required to network outside of standard business hours and company time. Long work weeks ensue.",,4,3,4,2,3,3
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,4/8/2019, PMO Analyst,"London, England (UK)",Former Employee ,great place to work,More than a year,0,"work life balance, friendly culture, professionalism is great. lots of opportunities to invest in yourself and receive training.",Can be very bureaucratic at times. E.g. meetings have piles of papers and agendas which are not summarised.,,5,5,5,5,5,5
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,4/13/2019,,,Current Employee ,Analyst,,0,Interesting and stimulating work in some areas. Opportunity to engage and present externally and at a senior level. Good training opportunities available for some staff and generally good/flexible work life balance,Poor Finance/HR department: progressive erosion of employee benefits and real term pay cuts over last 10 years. Budget freezes leading to fewer opportunities for progression and training.,"Budgets and pay scales should increase in line with inflation by default. More should be done to even total pay between final salary pension staff and new staff.
Hotdesking doesn't work and wastes time - it doesn't promote agility.",3,4,3,3,2,4
Bank of England,https://www.glassdoor.com/Reviews/Bank-of-England-Reviews-E10100.htm,3/29/2019,,,Former Employee ,They talk about wellbeing but they don't follow through,,0,"When they've driven you into the ground, the sick pay is generous.
Pretty building",More and more work piled on and nothing ever taken away. The people who project themselves better get all the recognition whether or not they do the best job. The bloated Central Services function appears to justify its existence by creating complicated and bureaucratic systems for everything. The rest of the staff has to waste time on this bureaucracy. They also decide in November to change the timetable for end of year performance reviews. Either decide earlier or put off changes until the following year.,"Value the people who do the day job the best, not the people who project themselves best.",2,1,1,1,5,1
