Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000258,R0007297,"Customer Service Rep, ",4/24/2019,820-Round Lake Beach,
C0000258,R0007272,District Director of Operations-MO,4/24/2019,Missouri-Remote,
C0000258,R0007287,Operations Support II,4/24/2019,"Fairfield, OH",
C0000258,R0006312,"Sr. Analyst, Marketing Analytics",4/24/2019,"Cincinnati, OH",
C0000258,R0007288,Store Manager,4/23/2019,"Redding, CA",
C0000258,R0006859,Floating Store Manager- 2420,4/23/2019,"Detroit, MI",
C0000258,R0007035,Customer Retail Service - PT Traverse City 6658,4/23/2019,"Traverse City, MI",
C0000258,R0007238,"Sales and Service Specialist - Retail - Grand Blanc, MI",4/23/2019,"Grand Blanc, MI",
C0000258,R0007258,Customer Service Support I - Retail,4/22/2019,"Sacramento, CA",
C0000258,R0007211,Accountant I,4/19/2019,"Fairfield, OH",
C0000258,R0007221,Field Management II,4/18/2019,Wisconsin-Remote,https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Wisconsin-Remote/Field-Management-II_R0007275-1
C0000258,R0007216,Customer Service Representative,4/18/2019,"Greenville, SC",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Fairfield-OH/Accountant-I_R0007220-1
C0000258,R0007053,"Customer Service Representative, Texas City",4/18/2019,"Texas City, TX",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Providence-RI/PROVIDENCE-2766-FT-RETAIL-SALES---SERVICE-SPECIALIST_R0007128-1
C0000258,R0005286,Customer Service Rep,4/17/2019,"Redding, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Riverside-CA/Sales---Service-Specialist---146-Riverside_R0007289-1
C0000258,R0006399,Customer Service Representative,4/17/2019,"Redding, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Westland-MI/Customer-Service-Representative--4238_R0007296-1
C0000258,R0006699,Store Manager,4/17/2019,"Redding, CA",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Redford-MI/Customer-Service-Representative--5938_R0007284-1
C0000258,R0007212,"Sales and Service Representative I - Retail Swartz Creek, MI",4/17/2019,"Swartz Creek, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Westland-MI/Customer-Service-Representative--4238_R0007285-1
C0000258,R0007210,Customer Sales Rep - #5935,4/17/2019,"Grand Rapids, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/R0007297  /Customer-Service-Rep--820-Round-Lake-Beach_PostedYesterday-1
C0000258,R0007194,Warwick Part Time Retail Sales & Specialist-1,4/16/2019,"Warwick, RI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Fairfield-OH/Operations-Support-II_R0007287-1
C0000258,R0007193,Middletown Full Time Sales & Service Specialist,4/16/2019,"Middletown, RI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Cincinnati-OH/Sr--Analyst--Marketing-Analytics_R0006312-1
C0000258,R0007203,CSR 1- #4119,4/16/2019,"Grand Rapids, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Redding-CA/Store-Manager_R0007288-1
C0000258,R0007182,Customer Service Representative,4/16/2019,"Greenville, SC",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Detroit-MI/Floating-Store-Manager--2420_R0006859-1
C0000258,R0007183,Customer Service Representative,4/16/2019,"Easley, SC",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Traverse City-MI/Customer-Retail-Service---PT-Traverse-City-6658_R0007035-1
C0000258,R0007188,Sales and Service Store Manager  - FT Floating - 4177 Cadillac,4/16/2019,"Cadillac, MI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Grand Blanc-MI/Sales-and-Service-Specialist---Retail---Grand-Blanc--MI_R0007238-1
C0000258,R0007181,Part Time Floating Loan Teller,4/16/2019,"Providence, RI",https://cngholdingsinc.wd5.myworkdayjobs.com/Axcess_Financial/job/Sacramento-CA/Customer-Service-Support-I---Retail_R0007258-1
