Company_Id,Job ID,Job Position Name,Posted Date,Location,url
C0000176,R893,"Market Area Manager - San Jose, CA",4/24/2019,California,
C0000176,R2160,Collector | Start Date 6/3/2019,4/24/2019,"Henderson, Nevada",
C0000176,R2161,Bilingual Collector | Start Date 6/3/2019,4/24/2019,"Henderson, Nevada",
C0000176,R2168,Market Area Manager,4/24/2019,Texas,
C0000176,R2166,"Senior Developer (Liferay/Java), Portal Services",4/24/2019,,
C0000176,R1913,"Developer (Mid-Level or Senior), Enterprise Services",4/24/2019,"Southfield, Michigan",
C0000176,R2159,"Manager, Application Development, Collection Applications",4/23/2019,"Southfield, Michigan",
C0000176,R1768,Predictive Modeling Expert,4/23/2019,"Southfield, Michigan",
C0000176,R1988,"Analyst, Predictive Analytics",4/23/2019,"Southfield, Michigan",
C0000176,R2139,Collector | Start Date 6/3/2019,4/23/2019,"Southfield, Michigan",
C0000176,R2141,Bilingual Collector | Start Date 6/3/2019,4/23/2019,"Southfield, Michigan",
C0000176,R2138,"Market Area Manager -- Hickory North, NC",4/23/2019,North Carolina,
C0000176,R1999,"Legal Assistant, Regulatory Complaints",4/19/2019,"Southfield, Michigan",
C0000176,R1976,"Market Area Manager - Fort Worth North, TX",4/19/2019,Texas,
C0000176,R2130,"Market Area Manager -- Rockford, IL",4/19/2019,Illinois,
C0000176,R2012,"Product Manager, Finance & HR",4/18/2019,"Southfield, Michigan",
C0000176,R1345,"Market Area Manager - Fort Worth, TX",4/17/2019,Texas,
C0000176,R2127,"Market Area Manager - Kennewick, WA",4/17/2019,Washington,
C0000176,R2125,"Automation Developer, Orginations",4/17/2019,"Southfield, Michigan",
C0000176,R2111,Repossession Contractor Coordinator,4/16/2019,"Southfield, Michigan",
C0000176,R2028,"Director, Originations Development",4/16/2019,"Southfield, Michigan",
C0000176,R2119,Attorney Coordinator,4/16/2019,"Southfield, Michigan",
C0000176,R1844,"Market Area Manager - Billings, MT",4/12/2019,Montana,
C0000176,R2036,Spanish Bilingual Collector | Start Date 5/13/2019,4/12/2019,"Henderson, Nevada",
C0000176,R2094,"Market Area Manager - Escondido, CA",4/10/2019,California,
C0000176,R2092,"Market Area Manager - Vineland, NJ",4/10/2019,New Jersey,
C0000176,R1743,"Quality Assurance Tester, Collections Application",4/9/2019,"Southfield, Michigan",
C0000176,R1752,"Intern, Analytics Reporting Analyst",4/8/2019,"Southfield, Michigan",
C0000176,R1973,"Developer, Collection Applications",4/8/2019,"Southfield, Michigan",
C0000176,R1990,"Associate Analyst, Ancillary Product and Data Vendor Management",4/8/2019,"Southfield, Michigan",
C0000176,R1568,"Manager/Sr. Manager, Call Center Analytics",4/8/2019,"Southfield, Michigan",
C0000176,R1679,Associate Help Desk Analyst,4/8/2019,"Southfield, Michigan",
C0000176,R1164,"Market Area Manager - Idaho Falls, ID",4/5/2019,Idaho,
C0000176,R1885,"Market Area Manager - Jacksonville East, FL",4/5/2019,Florida,
C0000176,R1765,"Market Area Manager - Ocala, FL",4/5/2019,Florida,
C0000176,R1481,"Market Area Manager - Thousand Oaks, CA",4/5/2019,California,
C0000176,R768,"Market Area Manager - Victoria, TX",4/5/2019,Texas,
C0000176,R2081,"Market Area Manager - Philadelphia, PA",4/4/2019,Pennsylvania,
C0000176,R2035,Collector | Start Date 5/13/2019,4/3/2019,"Henderson, Nevada",
C0000176,R2078,"Market Area Manager -- Reno, NV",4/3/2019,Nevada,
C0000176,R2075,Recruiter,4/3/2019,"Southfield, Michigan",
C0000176,R1923,"Staff Attorney, Compliance",4/2/2019,"Southfield, Michigan",
C0000176,R2073,"Market Area Manager -- Lynchburg, VA",4/1/2019,Virginia,
C0000176,R2001,"Market Area Manager -- Colorado Springs, CO",3/28/2019,Colorado,
C0000176,R2000,"Market Area Manager -- Grand Junction, CO",3/28/2019,Colorado,
C0000176,R1567,"Dialer Analyst, Call Center Analytics (Mid Level or Senior)",3/27/2019,"Southfield, Michigan",
C0000176,R2052,"Market Area Manager - Canton, GA",3/27/2019,Georgia,
C0000176,R2044,"Market Area Manager - Lawrenceville, GA",3/27/2019,Georgia,
C0000176,R958,"Manager/Sr. Manager/Director, Predictive Analytics",3/26/2019,"Southfield, Michigan",
C0000176,R1670,"Market Area Manager -- Eugene, OR",3/25/2019,Oregon,
C0000176,R1845,"Market Area Manager -- Providence, RI",3/25/2019,Rhode Island,
C0000176,R920,"Data Analyst, Analytic Solutions",3/25/2019,"Southfield, Michigan",
C0000176,R1991,"Market Area Manager - Florence, AL",3/25/2019,Alabama,
C0000176,R1989,"Market Area Manager -- Greenwood, IN",3/25/2019,Indiana,
C0000176,R1984,"Market Area Manager - Daytona, FL",3/25/2019,Florida,
C0000176,R1974,"Market Area Manager - Irvine, CA",3/25/2019,California,
C0000176,R1792,"Market Area Manager - Lancaster, CA",3/25/2019,California,
C0000176,R1869,"Market Area Manager - Fremont, CA",3/25/2019,California,
C0000176,R1362,"Market Area Manager - Bronx, NY",3/25/2019,New York,
C0000176,R1933,"Market Area Manager - Boise, ID",3/25/2019,Idaho,
C0000176,R1505,"Market Area Manager - Rosenberg, TX",3/25/2019,Texas,
C0000176,R1750,"Intern, Test Analyst",3/25/2019,"Southfield, Michigan",
