Company_Id,videoId,viewCount,commentCount,likeCount,dislikeCount,channelId,tags,publishedAt
C00001,_ObwDOiPcPE,914,0,9,1,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2019-02-21T08:09:07.000Z
C00002,3KzksUUVpS4,2251,5,29,2,UC5deUW7Kadp7x2wHZ48AQRw,"['buffett 2013', '2013 berkshire hathaway', '2013 berkshrie', 'berkshire 2013', '2013 buffett', 'berkshire hathaway 2013', 'munger 2013', '2013 charlie munger', 'charlie munger 2013', '2013 munger', 'Berkshire Hathway', 'Berkshire', 'berkshire hathaway annual meeting', 'Warren Buffett', 'Buffett', 'buffett interest rate', 'Charlie Munger', 'buffett gdp', 'meeting', 'Munger', 'buffett books intrinsic value', 'buffett tax rate', 'charlie', 'warren', 'hathaway', 'annual', 'buffett federal reserve', 'federal reserve', 'fed']",2018-07-19T07:08:19.000Z
C00003,y4luue9VZag,278866,500,3670,359,UCLpcyeOMyhRUifU3cn1AEhQ,"['Students', 'student', 'uk', 'university', 'entrepreneur', 'internship', 'intern', 'insight week', 'goldman sachs', 'jp morgan', 'investment banking', 'investment', 'banking', 'finance', 'careers', 'corporate ladder', 'interviews', 'interview', 'questions', 'advice', 'mentor', 'mentee', 'guidance', 'linkedin', 'youtube', 'viral', 'London', 'how much do investment bankers earn', 'investment banking pay', 'investment banking salary', 'investment banking bonuses', 'investment banking internship', 'a day in the life', 'bonuses and salaries', 'money']",2018-11-14T17:00:09.000Z
C00004,8MsuagRd8pg,11344,74,124,23,UCyxmNJp8tUblosjXWS9k_9Q,"['Citibank', 'Citibank USA', 'Citibank scam', 'Citibank Scandal', 'Citibank fraud', 'Citibank Debit Card', 'Citibank Commercial', 'Citibank Exposed']",2017-06-10T16:19:42.000Z
C00005,8NNk_FW27iQ,79829,748,550,53,UCNZyLULUQBp5e9Q1cKtvk6Q,"['CBS2 News At 11', 'Jessica Layton', 'Local TV', 'LaGuardia Airport', 'Queens', 'Astoria', 'New York']",2018-12-28T04:24:35.000Z
C00006,jz8TJnd3U1U,433,0,1,0,UCxWVnw8--2gWVJ4BF7ILeSw,,2019-03-28T18:37:04.000Z
C00007,lM_lW58wTdY,92,0,2,0,UCYmO1xmdjW-n-IGOBJeaH0A,"['Chris Lagno', 'BNYMELLON', 'Carol Noel', 'novick law', 'don novick', 'Grace Allen', 'samuel Oppenheimer', 'Ludwig Bamberger', 'Russian mafia', 'bank fraud', 'misrepresentation']",2019-01-09T18:50:52.000Z
C00008,dp8PhLsUcFE,3293293,2,11625,1389,UCUMZ7gohGI9HcU9VNsr2FJQ,"['News', 'bloomberg', 'wall street', 'brexit', 'markets', 'finance', 'investing', 'business', 'donald trump', 'livestream', 'president', 'america', 'politics', 'senate', 'congress', 'davos', 'interest rates', 'janet yellen', 'GDP', 'Stock market', 'equities', 'stocks', 'bitcoin', 'cryptocurency', 'federal reserve']",2018-11-06T18:55:47.000Z
C00009,eSXCY2Hhc_s,2139,3,16,1,UCE2606prvXQc_noEqKxVJXA,,2017-11-23T04:32:14.000Z
C00010,wjmIIBvSPfs,840,0,6,0,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2018-09-12T16:28:31.000Z
C000011,S09sYBVo2Es,201699,178,1864,155,UCNjPtOCvMrKY5eLwr_-7eUg,"['Alux', 'Alux.com', 'Alux Youtube', 'luxury living', 'luxury lifestyle', 'luxury homes', 'luxury cars', 'alux watches', 'fine living', 'most expensive things in the world', 'new life', 'most expensive', 'extravagant things', 'billionaire lifestyle', 'tiffany & co.', 'tiffany & co diamonds', 'blue box package', 'tiffany', ""breakfast at tiffany's"", 'tiffany ring', 'tiffany jewelry', 'tiffany engagement', 'necklace', 'commercial', 'unboxing', ""tiffany's review"", 'history', 'documentary', 'luxury brand', ""most expensive tiffany's""]",2017-07-09T16:08:21.000Z
C000012,JxpVNfNHIV8,884,1,0,0,UC8yH-uI81UUtEMDsowQyx1g,"['SABC News', 'actuality', 'world news', 'local news', 'Iraj Abedian', 'Cyril Ramaphosa', ""Moody's""]",2019-03-29T17:40:20.000Z
C000013,vCIWokkuotY,78,1,2,0,UCX3J5LGdWHwp4wqXYulQ2uw,"['complot', 'mundial', 'citigroup', 'capitalismo', 'nuevo orden mundial', 'censura', 'cobardes']",2011-06-27T20:27:52.000Z
C000014,gurZ25EiM2M,66507,[],347,11,UCkwx042y-SOBDbIk6SrMU5g,"['Investment Banking (Industry)', 'Internship (Job Title)', 'Morgan Stanley (Business Operation)', 'career', 'Finance (Industry)']",2015-11-06T11:43:48.000Z
C000015,nOTT0JHgVOs,728,0,2,0,UCG2B6emunc-8ACAChpHv0qQ,,2017-07-24T14:04:19.000Z
C000016,QrVVSoqwnq8,700,0,10,0,UCIALMKvObZNtJ6AmdCLP7Lg,['Bloomberg'],2018-04-02T15:12:29.000Z
C000017,ktSQZP_vYug,3829,0,14,0,UCJLo-ihNo6sVMPvRzGVPRoQ,,2013-10-07T21:48:20.000Z
C000018,5F55aaWWm5Q,489,0,2,0,UCDhqADfY8S2N8BfrffZAc2w,"['nasdaq', 'stock market', 'stocks', 'finance', 'financial', 'trading', 'trader', 'stock']",2019-04-04T14:00:48.000Z
