Company_Id,Title,viewCount,channelTitle,commentCount,likeCount,dislikeCount,tags,videoId,channelId,categoryId,publishedAt
C00001,"AXA CEO on Earnings, Business Strategy, 2020 Targets",914,Bloomberg Markets and Finance,0,9,1,['Bloomberg'],_ObwDOiPcPE,UCIALMKvObZNtJ6AmdCLP7Lg,25,2019-02-21T08:09:07.000Z
C00002,2013 Berkshire Hathaway Annual Meeting Afternoon Session | Warren Buffett | Charlie Munger,2251,Buffett Online,5,29,2,"['buffett 2013', '2013 berkshire hathaway', '2013 berkshrie', 'berkshire 2013', '2013 buffett', 'berkshire hathaway 2013', 'munger 2013', '2013 charlie munger', 'charlie munger 2013', '2013 munger', 'Berkshire Hathway', 'Berkshire', 'berkshire hathaway annual meeting', 'Warren Buffett', 'Buffett', 'buffett interest rate', 'Charlie Munger', 'buffett gdp', 'meeting', 'Munger', 'buffett books intrinsic value', 'buffett tax rate', 'charlie', 'warren', 'hathaway', 'annual', 'buffett federal reserve', 'federal reserve', 'fed']",3KzksUUVpS4,UC5deUW7Kadp7x2wHZ48AQRw,27,2018-07-19T07:08:19.000Z
C00003,A Day in the Life of a Goldman Sachs Analyst (The HONEST Truth),278866,Afzal Hussein,500,3670,359,"['Students', 'student', 'uk', 'university', 'entrepreneur', 'internship', 'intern', 'insight week', 'goldman sachs', 'jp morgan', 'investment banking', 'investment', 'banking', 'finance', 'careers', 'corporate ladder', 'interviews', 'interview', 'questions', 'advice', 'mentor', 'mentee', 'guidance', 'linkedin', 'youtube', 'viral', 'London', 'how much do investment bankers earn', 'investment banking pay', 'investment banking salary', 'investment banking bonuses', 'investment banking internship', 'a day in the life', 'bonuses and salaries', 'money']",y4luue9VZag,UCLpcyeOMyhRUifU3cn1AEhQ,26,2018-11-14T17:00:09.000Z
C00004,CITIBANK SHITTY BANK don&#39;t open an account with these fuckers SCAM!,11344,Adeyto,74,124,23,"['Citibank', 'Citibank USA', 'Citibank scam', 'Citibank Scandal', 'Citibank fraud', 'Citibank Debit Card', 'Citibank Commercial', 'Citibank Exposed']",8MsuagRd8pg,UCyxmNJp8tUblosjXWS9k_9Q,19,2017-06-10T16:19:42.000Z
C00005,Transformer Explodes At Con Edison Substation In Queens,79829,CBS New York,748,550,53,"['CBS2 News At 11', 'Jessica Layton', 'Local TV', 'LaGuardia Airport', 'Queens', 'Astoria', 'New York']",8NNk_FW27iQ,UCNZyLULUQBp5e9Q1cKtvk6Q,25,2018-12-28T04:24:35.000Z
C00006,"Get Ready to Rummmbble Over @Fanniemae, @FreddieMac",433,Lou Giserman,0,1,0,,jz8TJnd3U1U,UCxWVnw8--2gWVJ4BF7ILeSw,1,2019-03-28T18:37:04.000Z
C00007,"BNYMELLON Bank, a corrupt fraudulent bank that screwed me and my family over...",92,Richard Alevizos,0,2,0,"['Chris Lagno', 'BNYMELLON', 'Carol Noel', 'novick law', 'don novick', 'Grace Allen', 'samuel Oppenheimer', 'Ludwig Bamberger', 'Russian mafia', 'bank fraud', 'misrepresentation']",lM_lW58wTdY,UCYmO1xmdjW-n-IGOBJeaH0A,25,2019-01-09T18:50:52.000Z
C00008,Bloomberg Global News,3293293,Bloomberg,2,11625,1389,"['News', 'bloomberg', 'wall street', 'brexit', 'markets', 'finance', 'investing', 'business', 'donald trump', 'livestream', 'president', 'america', 'politics', 'senate', 'congress', 'davos', 'interest rates', 'janet yellen', 'GDP', 'Stock market', 'equities', 'stocks', 'bitcoin', 'cryptocurency', 'federal reserve']",dp8PhLsUcFE,UCUMZ7gohGI9HcU9VNsr2FJQ,25,2018-11-06T18:55:47.000Z
C00009,Unionbank going &#39;full force&#39; on digital: official,2139,ABS-CBN News,3,16,1,,eSXCY2Hhc_s,UCE2606prvXQc_noEqKxVJXA,25,2017-11-23T04:32:14.000Z
C00010,"Evercore&#39;s Schlosstein on Post-Crisis Banking, Fiscal Policy, M&amp;A",840,Bloomberg Markets and Finance,0,6,0,['Bloomberg'],wjmIIBvSPfs,UCIALMKvObZNtJ6AmdCLP7Lg,25,2018-09-12T16:28:31.000Z
C000011,15 Things You Didn&#39;t Know About TIFFANY &amp; CO.,201699,Alux.com,178,1864,155,"['Alux', 'Alux.com', 'Alux Youtube', 'luxury living', 'luxury lifestyle', 'luxury homes', 'luxury cars', 'alux watches', 'fine living', 'most expensive things in the world', 'new life', 'most expensive', 'extravagant things', 'billionaire lifestyle', 'tiffany & co.', 'tiffany & co diamonds', 'blue box package', 'tiffany', ""breakfast at tiffany's"", 'tiffany ring', 'tiffany jewelry', 'tiffany engagement', 'necklace', 'commercial', 'unboxing', ""tiffany's review"", 'history', 'documentary', 'luxury brand', ""most expensive tiffany's""]",S09sYBVo2Es,UCNjPtOCvMrKY5eLwr_-7eUg,27,2017-07-09T16:08:21.000Z
C000012,What to expect when Moody&#39;s announces SA credit rating: Iraj Abedian,884,SABC Digital News,1,0,0,"['SABC News', 'actuality', 'world news', 'local news', 'Iraj Abedian', 'Cyril Ramaphosa', ""Moody's""]",JxpVNfNHIV8,UC8yH-uI81UUtEMDsowQyx1g,25,2019-03-29T17:40:20.000Z
C000013,Desvelado Complot Mundial de Citgroup Para Dominar el Mundo,78,TonyMolony,1,2,0,"['complot', 'mundial', 'citigroup', 'capitalismo', 'nuevo orden mundial', 'censura', 'cobardes']",vCIWokkuotY,UCX3J5LGdWHwp4wqXYulQ2uw,27,2011-06-27T20:27:52.000Z
C000014,Internships at Morgan Stanley,66507,The Gateway,[],347,11,"['Investment Banking (Industry)', 'Internship (Job Title)', 'Morgan Stanley (Business Operation)', 'career', 'Finance (Industry)']",gurZ25EiM2M,UCkwx042y-SOBDbIk6SrMU5g,22,2015-11-06T11:43:48.000Z
C000015,Moelis and Company Rings The NYSE Opening Bell,728,New York Stock Exchange,0,2,0,,nOTT0JHgVOs,UCG2B6emunc-8ACAChpHv0qQ,25,2017-07-24T14:04:19.000Z
C000016,Brown Brothers Harriman&#39;s Chandler Says U.S. Economy Is Late in the Cycle,700,Bloomberg Markets and Finance,0,10,0,['Bloomberg'],QrVVSoqwnq8,UCIALMKvObZNtJ6AmdCLP7Lg,25,2018-04-02T15:12:29.000Z
C000017,Silicon Valley Bank: The Founders&#39; Story,3829,Silicon Valley Bank,0,14,0,,ktSQZP_vYug,UCJLo-ihNo6sVMPvRzGVPRoQ,27,2013-10-07T21:48:20.000Z
C000018,Tradeweb Rings the Nasdaq Opening Bell,489,Nasdaq,0,2,0,"['nasdaq', 'stock market', 'stocks', 'finance', 'financial', 'trading', 'trader', 'stock']",5F55aaWWm5Q,UCDhqADfY8S2N8BfrffZAc2w,25,2019-04-04T14:00:48.000Z
C000019,Driving Downtown - Hartford 4K - Connecticut USA,73890,J Utah,208,487,29,"['Driving', 'Downtown', 'Main', 'Street', 'St', 'Hartford', 'Connecticut', 'CT', 'USA', 'US', 'America', '4K', 'NRK', 'Slow TV', 'Drivelapse', 'Tour', 'Relax', 'Relaxation', 'Infrastructure', 'Roads', 'J Utah', 'Insurance', 'Wadsworth Atheneum', 'Mark Twain House', 'Aetna', 'Conning & Company', 'Phoenix Companies', 'UnitedHealthcare', 'Steam Boiler', 'Hartford Steam Boiler', 'Travelers', 'Lincoln National', 'Financial Services Group', 'Guide', 'Attractions', 'Walking', 'Things To Do', 'Visit', 'Museum', 'Stage', 'Science Center', 'state', 'capital', 'capitol', 'Bushnell', 'Harriet Beecher Stow', 'xl']",TjoyJ97rQwk,UCBcVQr-07MH-p9e2kRTdB3A,19,2016-09-27T23:30:00.000Z
