JOBID,CompID,title,summary,job_desc,salary,job_type
1,100,"Coordinator, Finance and Operations","This generalist role will be responsible for performing routine accounting, benefits administration, and other operational functions to support the finance and operations department of the...","$50,000 - $60,000 a yearThis position requires an intelligent, flexible person willing to learn new tasks and problem solve to advance the mission of Make-A-Wish® Massachusetts and Rhode Island. This generalist role will be responsible for performing routine accounting, benefits administration, and other operational functions to support the finance and operations department of the organization. This position requires an individual who is IT-savvy and able and willing to assume trouble-shooting and problem-solving IT tasks in partnership with our national and local IT partners. The position will also be responsible for assisting the Volunteer Management and Wish Program departments on a variety of recurring duties and special projects. This full-time, exempt position is based in our Boston office.Job Type: Full-timeSalary: $50,000.00 to $60,000.00 /yearExperience:Operations: 1 year (Preferred)Finance: 1 year (Preferred)Benefits offered:Paid time offParental leaveHealth insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsGym memberships or discounts","$50,000 - $60,000 a year",Full time
2,101,Financial Advisor / Wealth Manager,"You do not need prior finance experience to join us, but you do need energy, great people skills, a strong work ethic and entrepreneurial spirit. Significant career growth opportunities within the...","$75,000 - $100,000 a yearSuccess, for you and your clients. Earn the ability to create your own financial success through helping clients enjoy their own. You do not need prior finance experience to join us, but you do need energy, great people skills, a strong work ethic and entrepreneurial spirit. We will provide training, resources and the support that you will need to do better than your best.Being financially advanced requires a whole new level of thinking and doing.At McAdam, we’ve completely reinvented the concept of financial advice to take clients and their future to a whole new level. Unlike most advisors, we go beyond the traditional focus on one’s personal and financial life. We also consider an additional, more important driver of one’s financial picture—their profession.What a financial advisor does: Identifies and sets appointments with potential clients in teamsMeets with clients to assess their financial needsDevelops a customized financial plan to address each client’s outlined goalsMaintains strong relationships with clients, helping them to track their progress over timeProvides ongoing consultation and supportSome of the features of this position include: Robust three-year Mentorship Program including one-on-one training from seasoned leaders in the financial services industryComprehensive training includes financial planning, marketing techniques, consultative selling, client service, investment strategies and products, and regulatory compliance.Local and national marketing support, including brand advertising, that will help to expand and grow client relationshipsExtensive product offering covering virtually every category – including mutual funds, ETFs, stocks, bonds, IRAs, insurance, annuities, etc.The opportunity to build and grow relationships with clients that can last for many yearsSignificant career growth opportunities within the company, including the Advanced Advisor Path and a Fast-Track to Leadership Program (Advisor Coach, District Manager, Field Vice President, and other corporate opportunities)Finance plan with uncapped earning potential - top advisors can make $75,000 - $100,000+ in their first year - advisors must be comfortable with the majority of their compensation coming from their performance resultsVisit our website at www.mcadamfa.comRecent Awards: 2018 – McAdam Wins a 2018 Stevie® “Customer Service Department of the Year” Award2018 – McAdam Headquarters in Philadelphia Named 1 of 3 “Best Financial Services” by ThreeBestRated.com2017 – McAdam named a “SmartCEO 2017 Corporate Culture Award Winner”2017 – McAdam named to Inc. 5000list of fastest growing companies in America2017 – McAdam named One of the Fastest Growing RIA Firms in the U.S. by FA MagazineJob Type: Full-timeEducation:Bachelor's (Preferred)Work authorization:United States (Required)","$75,000 - $100,000 a year",Full time
3,102,Financial Coordinator / Scheduling Coordinator,"Hello! Cambridge Pediatric Dental Associates is a large Pediatric Dental and Orthodontic group practice located just outside of Harvard Square in Cambridge, MA. We are a warm, positive, fast-paced...","$18 - $28 an hourHello! Cambridge Pediatric Dental Associates is a large Pediatric Dental and Orthodontic group practice located just outside of Harvard Square in Cambridge, MA. We are a warm, positive, fast-paced office that is dedicated to providing truly excellent care to our young patients and their families.We are looking a team member to join us who would split his/her time between Financial Coordination and Scheduling Coordination. Approximately 20-25 hours/week would be spent working closely with our current Financial Coordinator to assist with accounts receivable, insurance claims, insurance coordination, billing, etc. The rest of the time would be spent working with our Scheduling Coordinator team at the front desk. As the face of our office, our front desk staff creates the initial foundation for the trusting relationships upon which our practice is built.The ideal fit would be someone who is positive, outgoing and excellent at multitasking.Prior experience with dental or medical coding and billing is required. Warmth and superior communication skills are prerequisites. The work days and hours are Monday-Friday from 8:00-5:00 pm with generous compensation.Interested candidates should email a cover letter and resume.www.cambridgepediatricdental.comJob Type: Full-timeSalary: $18.00 to $28.00 /hourExperience:Dental/Medical Billing: 1 year (Required)Collections: 1 year (Required)Accounts Receivable: 1 year (Required)",$18 - $28 an hour,Full time
4,103,Entry Level Business Analyst,"AtlanticTransTrading seeking for Business Analyst (BA) ,who works closely with the business and technical teams in analyzing and document the business needs (functional and non-functional requirements...","$70,000 - $75,000 a yearAtlanticTransTrading seeking for Business Analyst (BA) ,who works closely with the business and technical teams in analyzing and document the business needs (functional and non-functional requirements).Responsibilities:- Analyze clients systems and business processes.- Ability to facilitate requirement gathering and record information effectively with internal and external stakeholders, project managers and developers.- Develop project plans and managed project scope- Responsible for creating Business Process Modeling and Work Flow Diagrams.-Perform extensive Requirement analysis and developed use cases and workflows.- Assist in presenting reports and analysis to help guide the management.Requirements:- Bachelor's degree in business, information technology or a similarly related field required.-Knowledge using multiple software development methodologies including Agile/Scrum.-Excellent Verbal and oral communication skills.What We Do.The essence of AtlanticTransTrading lies in manufacturing, technology and revolutionary design. This has naturally transformed into expertise in creative design, working capital finance, international trade and many years of retail success. Combined with our core values of quality, collaboration and integrity, we have used a consultative approach to deliver increased growth for us and our clients. This afford us the opportunity to bring imaginative ideas into a material reality.Job Type: Full-timeSalary: $70,000.00 to $75,000.00 /year","$70,000 - $75,000 a year",Full time
5,104,Manual Tester/QA - Entry Level,"Bachelors/ Masters (Computer Science, Information Technology, Engineering, Finance, Business, Science, Health Care, Banking, Economics). We are looking for a responsible, self-motivated candidate with...","$55,000 - $60,000 a yearWe are looking for a responsible, self-motivated candidate with interest to learn Software Quality Assurance discipline.Essential Duties and ResponsibilitiesMonitor, measure, and improve software development and test processes.Diagnose product problems and assist Technical Support as needed.Work as part of a product development team.Design and implement manual test cases.Other duties as assigned..Knowledge/Skills/Abilities RequiredKnowledge of C#, Perl, HTML, XML, SQL a plus.Able to work and communicate well with others.Able to produce and exercise rigorous test procedures and recognize errors.Strong ownership and organizational skills.Able to work independently as required.Strong trouble-shooting and problem-solving skills.Proficient in English and related technical writing for communicating plans and results; MS Office applications (Word, Excel)Work successfully in a cross-functional team environmentready to relocate*QualificationsBachelors/ Masters (Computer Science, Information Technology, Engineering, Finance, Business, Science, Health Care, Banking, Economics).*Kindly apply with your updated resume, If interested.Job Type: Full-timeSalary: $55,000.00 to $60,000.00 /yearEducation:Bachelor's (Preferred)Benefits offered:Health insuranceDental insuranceOther types of insuranceOthers","$55,000 - $60,000 a year",Full time
6,105,Finance Operations Associate,"*Responsibilities:   Assist with all client service administrative needs, such as wire, journal and trade requests, and new client on-boarding process. * Assist with finalizing of outbound...","$40,000 - $45,000 a yearResponsibilities: Assist with all client service administrative needs, such as wire, journal and trade requests, and new client on-boarding process.Assist with finalizing of outbound communications, including letters, spreadsheets and quarterly performance reports.Assist with meeting preparation, including final preparation of documents and conference room set-up.Assist with maintaining electronic and paper filing systems as needed.Assist with updating the firm’s marketing materials as needed.Provide professional handling of incoming phone calls when needed.Experience: Strong PC Skills (Microsoft Office)Excellent written and oral communication skillsProfessional and courteous phone skillsStrong organizational and time management skills; ability to work efficiently and independentlyAbility to juggle and prioritize multiple projects and assignments that may be given from different DirectorsTeam player who is results-oriented; strong desire to get the job doneHigh degree of professionalism and confidence; ability to interact with all levels of an organizationEducation: Bachelor’s Degree requiredJob Type: Full-timeSalary: $40,000.00 to $45,000.00 /yearExperience:related: 1 year (Preferred)Work Location:One locationBenefits offered:Health insurancePaid time offDental insuranceOther types of insuranceRetirement benefits or accountsEducation assistance or tuition reimbursement","$40,000 - $45,000 a year",Part time
7,106,Bookkeeper,"Associate/BS degree in Finance, Accounting or Business Administration. LBC Boston is a diverse group of companies successfully managing both domestic and international projects in various industries...","$33,000 - $38,000 a yearLBC Boston is a diverse group of companies successfully managing both domestic and international projects in various industries including community development, healthcare, non-profit, venture capital, entertainment, hospitality and food retail.We are looking for a skilled bilingual bookkeeper to maintain our financial records including purchases, sales, receipts and payments. You will work closely with our accounting team to create and analyze financial reports, ensure full regulatory compliance, handle AP/AR procedures, and manage invoices and tax payments. Our ideal candidate is a fast learner and is self motivated.RESPONSIBILITIES- Record day to day financial transactions and complete the posting process- Verify that transactions are recorded in the correct day book, suppliers ledger, customer ledger and general ledger- Bring the books to the trial balance stage- Perform partial checks of the posting process- Complete tax forms- Enter data, maintain records and lunch reports and financial statements- Process accounts receivable/payable and handle payroll in a timely mannerREQUIREMENTS- Fluent in Russian & English Languages- Proven bookkeeping experience- Solid understanding of basic bookkeeping and accounting payable/receivable principles- Proven ability to calculate, post and manage accounting figures and financial records- Data entry skills along with a knack for numbers- Hands-on experience with spreadsheets and proprietary software- Customer service orientation and negotiation skills- High degree of accuracy and attention to detail- Associate/BS degree in Finance, Accounting or Business AdministrationWHAT WE OFFERCompetitive salary with paid sick & vacation timeHealth insurance (Blue Cross Blue Shield)Extensive Training with a senior member of the Accounting DepartmentBonusesFinancial support for your educationJob Type: Full-timeSalary: $33,000.00 to $38,000.00 /yearExperience:bookkeeping: 1 year (Preferred)QuickBooks: 1 year (Preferred)Work authorization:United States (Required)","$33,000 - $38,000 a year",Part time
8,107,Financial Coordinator / Scheduling Coordinator,"Hello! Cambridge Pediatric Dental Associates is a large Pediatric Dental and Orthodontic group practice located just outside of Harvard Square in Cambridge, MA...","$18 - $28 an hourHello! Cambridge Pediatric Dental Associates is a large Pediatric Dental and Orthodontic group practice located just outside of Harvard Square in Cambridge, MA. We are a warm, positive, fast-paced office that is dedicated to providing truly excellent care to our young patients and their families.We are looking a team member to join us who would split his/her time between Financial Coordination and Scheduling Coordination. Approximately 20-25 hours/week would be spent working closely with our current Financial Coordinator to assist with accounts receivable, insurance claims, insurance coordination, billing, etc. The rest of the time would be spent working with our Scheduling Coordinator team at the front desk. As the face of our office, our front desk staff creates the initial foundation for the trusting relationships upon which our practice is built.The ideal fit would be someone who is positive, outgoing and excellent at multitasking.Prior experience with dental or medical coding and billing is required. Warmth and superior communication skills are prerequisites. The work days and hours are Monday-Friday from 8:00-5:00 pm with generous compensation.Interested candidates should email a cover letter and resume.www.cambridgepediatricdental.comJob Type: Full-timeSalary: $18.00 to $28.00 /hourExperience:Dental/Medical Billing: 1 year (Required)Collections: 1 year (Required)Accounts Receivable: 1 year (Required)",$18 - $28 an hour,Full time
9,108,"Associate, Investor Relations","Strong working knowledge of corporate finance. Collaborate internally with deal teams, finance and legal to ensure consistency and accuracy of information...","$80,000 - $90,000 a yearThe Investor Relations Associate will report to the Director of Investor Relations who is responsible for supporting all public and private client management, strategic partnerships and business development activities, including coordinating investor relationships for THL Credit, Inc. (NASDAQ: TCRD) and various private vehicles. The IR Associate will produce, maintain and ensure the consistency and accuracy of all marketing materials. The IR Associate will also assist with responding to requests for information from current and prospective investors. This is an excellent opportunity for a high‐energy individual seeking to gain experience in marketing and investor relations in the financial services industry.

THL Credit offers a professional, friendly and entrepreneurial environment along with a competitive compensation package including medical, dental, vision, FSA, pre‐tax transit/parking, LTD, life insurance and 401(k) match. To learn more, visit us at www.thlcredit.com.

Responsibilities

Private Funds
“Own the message” – produce and maintain all THL Credit marketing materials for fundraising and LP relations (pitch books, due diligence questionnaires, annual meeting presentations), including supportive quantitative analysis
Collaborate internally with deal teams, finance and legal to ensure consistency and accuracy of information across various work products
Complete fund level analytics, benchmarking and other data requests as needed
Assist with the production of quarterly and annual portfolio update materials
Maintain essential databases for the investor relations team, including CRM database and datarooms
Assist business development team in tracking and completing all fundraising questionnaires and related diligence requests

Assist team in preparation of key materials for diligence meetings with potential investors
Regularly update and maintain all due diligence and offering materials in the data room

THL Credit, Inc. (NASDAQ:TCRD)
Assist with preparation of quarterly investor deck, annual report and other investor communications
Perform competitor analysis and benchmark TCRD’s performance against other BDCs
Track all investor meetings/outreach in CRM database
Help maintain investor relations email inbox and respond to investor inquiries

Desired Skills & Experience
2‐3 years of experience in financial services / investment management
Advanced proficiency with MS PowerPoint and Excel
Comfortable with maintaining and manipulating large amounts of data in excel
Strong working knowledge of corporate finance
Critical thinker, with keen attention to detail
Ability to triage multiple projects and adapt quickly to changing and/or competing priorities
High energy, motivated self‐starter","$80,000 - $90,000 a year",Full time
10,109,Client Advisor Associate,"Bachelor’s Degree in Finance, Business or Economics and a desire to achieve the Certified Financial Planner designation, and potentially the Chartered Financial...","$55,000 - $80,000 a yearAttention: This requires relocation to Santa Barbara, CA. Warning: It's consistently sunny and perfect.Base $50K-$55KBonus $15K-$25KTarget Earnings Year 1= $65K - $80KTarget Earnings Year 3= $150KWe’re hiring a polished, growth-minded Client Advisor Associate to join our award-winning team. If you’re ready to elevate your career with a leading wealth management company with over 98% client retention rate and a commitment to giving back, let’s go! Our ideal candidate is a financial professional with hustle and a couple years of experience working in a wealth management supportive role. You define ambition, have a sense of adventure, and a passion for purpose, both in life and in your approach to helping clients navigate their financial decisions. If you can articulate your proven success in a demanding supportive financial role, steering client relationships that drive results, we want to hear from you, ASAP!As Client Advisor Associate, your service-oriented nature and impeccable attention to detail are key in this position supporting your Lead Advisor and two Client Advisors. Interacting with high net worth individuals, executives, business owners, and families, you’re confident being yourself and possess a high emotional IQ. You’re articulate, polished and have an aptitude for financial vernacular. Extremely analytical and a great listener, you will master data gathering, drafting goals, and creating financial plans that speak to the clients in “their” language. Your commitment to making a positive impact in other people’s lives parallels your drive for personal and professional growth.Mission Wealth has offered 360-degree wealth management services to affluent families since 2000. Our dynamic planning process ensures that every piece of the puzzle is put into place as our clients’ lives unfold and their needs evolve. This gives them the complete picture and confidence in their future.Day-to-Day: Work with a high-performing & growth-orientated team in a gorgeous office near the beach in Santa BarbaraProvide technical financial support to clients and advisorsCreate and present client presentationsParticipate in client meetings: Conduct data gathering, case design and scenario buildingManage ongoing client service while taking on new clientsSpeak your mind, have your voice heard, innovate and streamline existing processes, and enjoy coming to work each dayGrow yourself personally and professionally with the support of your team and upper management with the goal to advance into a Client Advisor role after succeeding in the supporting Associate positionBe financially rewarded for putting in the hard workWhat You Bring: 2+ years’ proven experience in a financial support role, ideally within wealth managementBachelor’s Degree in Finance, Business or Economics and a desire to achieve the Certified Financial Planner designation, and potentially the Chartered Financial Analyst designationExcellent attention to detail, multi-tasking, and time management skillsStrong knowledge base across investments, economics, accounting, and financial planningProficient with the full MS Office Suite; ability to create complex and impactful presentations/analysisFamiliar with Junxure (CRM) or Salesforce, MoneyGuidePro, AdvisorView and MorningStarOutstanding ability to communicate, present and influence your team and clientsA sincere desire to make a difference not only in your clients’ lives, but in the world demonstrated through your own volunteer journeyNext step? Please submit your cover letter and resume outlining your detailed experience of proven success within wealth management. Be sure to share and one of your favorite volunteer projects too! We offer a competitive salary, team-based bonus plan, medical/dental/vision benefits, 401(k) and wellness packages plus education scholarships.Attention: This role is located in Santa Barbara, CA. Warning: It's consistently warm and sunny!Job Type: Full-timeSalary: $55,000.00 to $80,000.00 /yearExperience:financial data gathering and presentation planning: 2 years (Required)client-facing service in wealth management: 2 years (Required)volunteering and community: 2 years (Required)Education:Bachelor's (Required)Work authorization:United States (Required)","$55,000 - $80,000 a year",Full time
